Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,diersclubus.com,,?,,com,
Character Omission,dinerclubus.com,,?,,com,
Character Omission,dinersclbus.com,,?,,com,
Character Omission,dinersclubs.com,165.160.15.20,US,UNITED STATES,,com,
Character Omission,dinersclubu.com,,?,,com,
Character Omission,dinersclubus.cm,,?,,cm,
Character Omission,dinerscluus.com,,?,,com,
Character Omission,dinerscubus.com,,?,,com,
Character Omission,dinerslubus.com,,?,,com,
Character Omission,dinesclubus.com,,?,,com,
Character Omission,dinrsclubus.com,,?,,com,
Character Omission,dnersclubus.com,,?,,com,
Character Repeat,ddinersclubus.com,,?,,com,
Character Repeat,diinersclubus.com,,?,,com,
Character Repeat,dineersclubus.com,,?,,com,
Character Repeat,dinerrsclubus.com,,?,,com,
Character Repeat,dinerscclubus.com,,?,,com,
Character Repeat,dinerscllubus.com,,?,,com,
Character Repeat,dinersclubbus.com,,?,,com,
Character Repeat,dinersclubuss.com,,?,,com,
Character Repeat,dinersclubuus.com,,?,,com,
Character Repeat,dinerscluubus.com,,?,,com,
Character Repeat,dinerssclubus.com,,?,,com,
Character Repeat,dinnersclubus.com,51.254.28.160,GB,UNITED KINGDOM,,com,
Character Swap,dienrsclubus.com,,?,,com,
Character Swap,dinercslubus.com,,?,,com,
Character Swap,dinersclbuus.com,,?,,com,
Character Swap,dinersclubsu.com,,?,,com,
Character Swap,dinerscluubs.com,,?,,com,
Character Swap,dinersculbus.com,,?,custmx.cscdns.net,com,
Character Swap,dinerslcubus.com,,?,,com,
Character Swap,dinesrclubus.com,,?,,com,
Character Swap,dinresclubus.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Swap,dniersclubus.com,,?,,com,
Character Swap,idnersclubus.com,,?,,com,
Character Replacement,dibersclubus.com,,?,,com,
Character Replacement,dimersclubus.com,,?,,com,
Character Replacement,dineesclubus.com,,?,,com,
Character Replacement,dineraclubus.com,,?,,com,
Character Replacement,dinerdclubus.com,,?,,com,
Character Replacement,dinersckubus.com,,?,,com,
Character Replacement,dinersclibus.com,,?,,com,
Character Replacement,dinersclubis.com,,?,,com,
Character Replacement,dinersclubua.com,,?,,com,
Character Replacement,dinersclubud.com,,?,,com,
Character Replacement,dinersclubys.com,,?,,com,
Character Replacement,dinersclunus.com,,?,,com,
Character Replacement,dinerscluvus.com,,?,,com,
Character Replacement,dinersclybus.com,,?,,com,
Character Replacement,dinersvlubus.com,,?,,com,
Character Replacement,dinersxlubus.com,,?,,com,
Character Replacement,dinetsclubus.com,,?,,com,
Character Replacement,dinrrsclubus.com,,?,,com,
