Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,e-gld.com,,?,,com,
Character Omission,e-god.com,68.178.213.61,KR,KOREA REPUBLIC OF,,com,
Character Omission,e-gol.com,184.168.221.15,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Omission,e-gold.cm,,?,,cm,
Character Omission,e-old.com,192.64.147.201,,,com,
Character Omission,egold.com,74.117.221.21,KY,CAYMAN ISLANDS,,com,
Character Repeat,e--gold.com,,?,,com,
Character Repeat,e-ggold.com,,?,,com,
Character Repeat,e-goldd.com,,?,,com,
Character Repeat,e-golld.com,,?,,com,
Character Repeat,e-goold.com,,?,,com,
Character Repeat,ee-gold.com,,?,,com,
Character Swap,-egold.com,,?,,com,
Character Swap,e-glod.com,,?,,com,
Character Swap,e-godl.com,,?,,com,
Character Swap,e-ogld.com,,?,,com,
Character Swap,eg-old.com,,?,,com,
Character Replacement,e-fold.com,,?,,com,
Character Replacement,e-gild.com,,?,,com,
Character Replacement,e-gokd.com,,?,,com,
Character Replacement,e-golf.com,192.254.236.14,,mail.e-golf.com,com,
Character Replacement,e-gols.com,,?,,com,
Character Replacement,e-gpld.com,,?,,com,
Character Replacement,e-hold.com,50.63.202.40,US,UNITED STATES,smtp.secureserver.net,com,
Character Replacement,e0gold.com,,?,,com,
Character Replacement,r-gold.com,121.254.178.231,KR,KOREA REPUBLIC OF,,com,
Character Replacement,w-gold.com,185.53.178.9,,mail.h-email.net,com,
Character Insertion,e-0gold.com,,?,,com,
Character Insertion,e-gfold.com,,?,,com,
Character Insertion,e-ghold.com,,?,,com,
Character Insertion,e-goild.com,,?,,com,
Character Insertion,e-goldf.com,,?,,com,
Character Insertion,e-golds.com,72.52.4.119,US,UNITED STATES,localhost,com,
Character Insertion,e-golkd.com,,?,,com,
Character Insertion,e-gopld.com,,?,,com,
Character Insertion,er-gold.com,,?,,com,
Character Insertion,ew-gold.com,,?,,com,
Missing Dot,e-goldcom.com,,?,,com,
Missing Dot,wwwe-gold.com,,?,,com,
Bit Flipping,a-gold.com,211.234.63.232,KR,KOREA REPUBLIC OF,,com,
Bit Flipping,d-gold.com,104.31.90.109,,,com,
Bit Flipping,e-cold.com,68.178.213.61,US,UNITED STATES,,com,
Bit Flipping,e-eold.com,,?,,com,
Bit Flipping,e-ggld.com,,?,,com,
Bit Flipping,e-gkld.com,,?,,com,
Bit Flipping,e-gmld.com,,?,,com,
Bit Flipping,e-gnld.com,,?,,com,
Bit Flipping,e-godd.com,,?,,com,
Bit Flipping,e-gohd.com,,?,,com,
Bit Flipping,e-gole.com,,?,,com,
Bit Flipping,e-goll.com,,?,,com,
Bit Flipping,e-golt.com,,?,,com,
Bit Flipping,e-gomd.com,,?,,com,
Bit Flipping,e-gond.com,,?,,com,
Bit Flipping,e-oold.com,,?,,com,
Bit Flipping,e-wold.com,46.30.213.68,DK,DENMARK,mx2.pub.mailpod1-cph3.one.com,com,
Bit Flipping,emgold.com,23.236.62.147,,mx07.register.com,com,
Bit Flipping,g-gold.com,,?,,com,
Bit Flipping,m-gold.com,74.208.15.160,US,UNITED STATES,,com,
Bit Flipping,u-gold.com,121.254.178.234,KR,KOREA REPUBLIC OF,,com,
Homoglyphs,e-g0ld.com,,?,,com,
Homoglyphs,e-go1d.com,,?,,com,
Homoglyphs,e-golcl.com,,?,,com,
Wrong TLD,e-gold.ca,199.59.242.150,CN,CHINA,mx76.m2bp.com,ca,
Wrong TLD,e-gold.ch,217.196.177.131,CH,SWITZERLAND,parked02.worldsoft-mail.net,ch,
Wrong TLD,e-gold.de,185.53.179.7,,,de,
Wrong TLD,e-gold.edu,,?,,edu,
Wrong TLD,e-gold.es,,?,,es,
Wrong TLD,e-gold.fr,178.170.123.165,FR,FRANCE,,fr,
Wrong TLD,e-gold.it,,?,mail.e-gold.it,it,
Wrong TLD,e-gold.jp,,?,,jp,
Wrong TLD,e-gold.net,,?,,net,
Wrong TLD,e-gold.nl,,?,,nl,
Wrong TLD,e-gold.no,,?,,no,
Wrong TLD,e-gold.org,,?,,org,
Wrong TLD,e-gold.ru,46.8.44.179,RU,RUSSIAN FEDERATION,,ru,
Wrong TLD,e-gold.se,,?,,se,
Wrong TLD,e-gold.us,,?,,us,

