Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,e.com,,?,,com,
Character Omission,ea.cm,,?,,cm,
Character Repeat,eaa.com,96.45.83.170,US,UNITED STATES,aspmx.l.google.com,com,
Character Repeat,eea.com,141.8.224.183,CH,SWITZERLAND,,com,
Character Swap,ae.com,23.35.137.31,US,UNITED STATES,mxa-0017bf01.gslb.pphosted.com,com,
Character Replacement,es.com,130.187.4.2,US,UNITED STATES,spam1.es.com,com,
Character Replacement,ra.com,65.208.228.103,US,UNITED STATES,,com,
Character Replacement,wa.com,69.172.201.153,E­,,,com,
Character Insertion,eas.com,50.56.23.152,US,UNITED STATES,,com,
Character Insertion,era.com,216.46.166.205,US,UNITED STATES,mx.usa.net,com,
Character Insertion,ewa.com,199.119.115.179,US,UNITED STATES,barracuda.ewa.com,com,
Missing Dot,eacom.com,211.154.211.70,CN,CHINA,eacom.com,com,
Missing Dot,wwwea.com,76.74.212.106,US,UNITED STATES,,com,
Vowel Swap,ee.com,104.236.243.107,,mail1.infoserv.com,com,
Vowel Swap,ei.com,130.211.159.16,,mx2-us1.ppe-hosted.com,com,
Vowel Swap,eo.com,69.172.201.153,US,UNITED STATES,,com,
Vowel Swap,eu.com,204.13.84.103,US,UNITED STATES,mx-01.emailme.com,com,
Bit Flipping,aa.com,23.46.200.184,US,UNITED STATES,aa-com.mail.protection.outlook.com,com,
Bit Flipping,da.com,,?,,com,
Bit Flipping,ec.com,,?,,com,
Bit Flipping,eq.com,,?,,com,
Bit Flipping,ga.com,64.89.44.97,US,UNITED STATES,ip2.ga.com,com,
Bit Flipping,ma.com,162.243.25.108,,ma-com.p30.spamhero.net,com,
Bit Flipping,ua.com,96.45.83.103,US,UNITED STATES,mx1.ua.iphmx.com,com,
Wrong TLD,ea.ca,192.99.62.237,,ea.ca,ca,
Wrong TLD,ea.ch,,?,,ch,
Wrong TLD,ea.de,83.246.43.3,DE,GERMANY,mail.ea.de,de,
Wrong TLD,ea.edu,192.185.17.130,,alt3.aspmx.l.google.com,edu,
Wrong TLD,ea.es,,?,,es,
Wrong TLD,ea.fr,104.117.3.224,,,fr,
Wrong TLD,ea.it,,?,,it,
Wrong TLD,ea.jp,,?,,jp,
Wrong TLD,ea.net,159.153.234.85,US,UNITED STATES,,net,
Wrong TLD,ea.nl,213.193.247.119,NL,NETHERLANDS,aspmx3.googlemail.com,nl,
Wrong TLD,ea.no,89.221.244.108,SE,SWEDEN,mx2.eglo.c3s2.iphmx.com,no,
Wrong TLD,ea.org,74.205.116.223,US,UNITED STATES,aspmx2.googlemail.com,org,
Wrong TLD,ea.ru,91.218.229.11,RU,RUSSIAN FEDERATION,mail.ea.ru,ru,
Wrong TLD,ea.se,46.59.86.6,SE,SWEDEN,,se,
Wrong TLD,ea.us,,?,,us,

