Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,easbib.com,185.53.178.6,,mail.h-email.net,com,
Character Omission,easybb.com,74.117.114.80,CO,COLOMBIA,,com,
Character Omission,easybi.com,,?,mail.easybi.com,com,
Character Omission,easybib.cm,185.53.179.6,,mail.h-email.net,cm,
Character Omission,easyib.com,72.52.4.119,IT,ITALY,localhost,com,
Character Omission,eaybib.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Omission,esybib.com,185.53.179.7,,mail.h-email.net,com,
Character Repeat,eaasybib.com,199.191.50.73,,,com,
Character Repeat,eassybib.com,209.15.13.134,CA,CANADA,mail.b-io.co,com,
Character Repeat,easybbib.com,199.191.50.73,,,com,
Character Repeat,easybibb.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Repeat,easybiib.com,199.191.50.73,,,com,
Character Repeat,easyybib.com,67.55.92.183,CA,CANADA,mx7.easyybib.com,com,
Character Repeat,eeasybib.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Swap,aesybib.com,,?,,com,
Character Swap,easbyib.com,,?,,com,
Character Swap,easybbi.com,67.55.92.184,US,UNITED STATES,mx7.easybbi.com,com,
Character Swap,easyibb.com,,?,,com,
Character Swap,eaysbib.com,85.17.25.202,NL,NETHERLANDS,,com,
Character Swap,esaybib.com,141.8.224.169,CH,SWITZERLAND,,com,
Character Replacement,eaaybib.com,173.239.8.164,US,UNITED STATES,mx7.eaaybib.com,com,
Character Replacement,eadybib.com,185.53.179.8,,mail.h-email.net,com,
Character Replacement,eastbib.com,192.64.147.185,,,com,
Character Replacement,easubib.com,67.55.92.183,US,UNITED STATES,mx7.easubib.com,com,
Character Replacement,easybin.com,69.172.201.153,US,UNITED STATES,,com,
Character Replacement,easybiv.com,199.191.50.73,,,com,
Character Replacement,easybob.com,52.73.71.92,US,UNITED STATES,,com,
Character Replacement,easybub.com,144.76.0.242,DE,GERMANY,,com,
Character Replacement,easynib.com,,?,,com,
Character Replacement,easyvib.com,69.64.147.242,US,UNITED STATES,mail.b-io.co,com,
Character Replacement,essybib.com,72.52.4.119,US,UNITED STATES,localhost,com,
Character Replacement,rasybib.com,,?,,com,
Character Replacement,wasybib.com,85.17.25.202,NL,NETHERLANDS,,com,
Character Insertion,easaybib.com,199.191.50.73,,,com,
Character Insertion,easdybib.com,67.55.92.187,CA,CANADA,mx7.easdybib.com,com,
Character Insertion,easybibn.com,67.55.92.187,CA,CANADA,mx7.easybibn.com,com,
Character Insertion,easybibv.com,,?,,com,
Character Insertion,easybiob.com,199.191.50.73,,,com,
Character Insertion,easybiub.com,67.55.92.184,US,UNITED STATES,mx7.easybiub.com,com,
Character Insertion,easybnib.com,,?,,com,
Character Insertion,easybvib.com,,?,,com,
Character Insertion,easytbib.com,,?,,com,
Character Insertion,easyubib.com,,?,,com,
Character Insertion,erasybib.com,,?,,com,
Character Insertion,ewasybib.com,,?,,com,
Missing Dot,easybibcom.com,,?,,com,
Missing Dot,wwweasybib.com,185.53.178.22,,mail.h-email.net,com,
Singular or Pluralise,easybibs.com,141.8.224.169,TH,THAILAND,,com,
Vowel Swap,easybab.com,112.175.251.223,KR,KOREA REPUBLIC OF,,com,
Vowel Swap,easybeb.com,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,com,
Vowel Swap,eesybib.com,,?,,com,
Vowel Swap,eisybib.com,,?,,com,
Vowel Swap,eosybib.com,,?,,com,
Vowel Swap,eusybib.com,,?,,com,
Homophones,easybayeb.com,,?,,com,
Homophones,easybeyeb.com,,?,,com,
Bit Flipping,aasybib.com,,?,,com,
Bit Flipping,dasybib.com,,?,,com,
Bit Flipping,ea3ybib.com,,?,,com,
Bit Flipping,eacybib.com,,?,,com,
Bit Flipping,eaqybib.com,,?,,com,
Bit Flipping,earybib.com,69.64.147.28,US,UNITED STATES,,com,
Bit Flipping,eas9bib.com,,?,,com,
Bit Flipping,easibib.com,,?,,com,
Bit Flipping,easqbib.com,,?,,com,
Bit Flipping,easxbib.com,,?,,com,
Bit Flipping,easybhb.com,,?,,com,
Bit Flipping,easybic.com,103.224.212.228,,mx92.m1bp.com,com,
Bit Flipping,easybif.com,,?,,com,
Bit Flipping,easybij.com,91.121.150.64,FR,FRANCE,mx01.1and1.fr,com,
Bit Flipping,easybir.com,,?,,com,
Bit Flipping,easybkb.com,,?,,com,
Bit Flipping,easybmb.com,,?,,com,
Bit Flipping,easybyb.com,67.55.92.187,US,UNITED STATES,mx7.easybyb.com,com,
Bit Flipping,easycib.com,,?,,com,
Bit Flipping,easyfib.com,69.172.201.153,US,UNITED STATES,,com,
Bit Flipping,easyjib.com,93.89.224.17,TR,TURKEY,mx01.easyjib.com,com,
Bit Flipping,easyrib.com,52.71.185.125,Ñ4,,,com,
Bit Flipping,eawybib.com,,?,,com,
Bit Flipping,ecsybib.com,,?,,com,
Bit Flipping,eqsybib.com,,?,,com,
Bit Flipping,gasybib.com,,?,,com,
Bit Flipping,masybib.com,,?,,com,
Bit Flipping,uasybib.com,,?,,com,
Homoglyphs,easyblb.com,,?,,com,
Wrong TLD,easybib.ca,199.59.242.150,CN,CHINA,mx76.m2bp.com,ca,
Wrong TLD,easybib.ch,217.29.32.147,DE,GERMANY,,ch,
Wrong TLD,easybib.de,217.29.32.147,DE,GERMANY,mailin.pluspunkthosting.de,de,
Wrong TLD,easybib.edu,,?,,edu,
Wrong TLD,easybib.es,,?,,es,
Wrong TLD,easybib.fr,,?,,fr,
Wrong TLD,easybib.it,,?,,it,
Wrong TLD,easybib.jp,,?,,jp,
Wrong TLD,easybib.net,103.224.182.246,,park-mx.above.com,net,
Wrong TLD,easybib.nl,,?,,nl,
Wrong TLD,easybib.no,,?,,no,
Wrong TLD,easybib.org,54.235.218.22,US,UNITED STATES,,org,
Wrong TLD,easybib.ru,,?,,ru,
Wrong TLD,easybib.se,,?,,se,
Wrong TLD,easybib.us,,?,,us,

