Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,eaumsworld.com,69.162.80.51,US,UNITED STATES,,com,
Character Omission,ebamsworld.com,199.115.115.116,US,UNITED STATES,,com,
Character Omission,ebaumsorld.com,69.162.80.59,US,UNITED STATES,,com,
Character Omission,ebaumswold.com,162.210.195.123,,,com,
Character Omission,ebaumsword.com,208.73.210.202,US,UNITED STATES,,com,
Character Omission,ebaumsworl.com,127.0.0.1,ZZ,RESERVED,,com,
Character Omission,ebaumsworld.cm,,?,,cm,
Character Omission,ebaumswrld.com,69.16.230.43,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Omission,ebaumworld.com,103.224.182.253,,mx92.m1bp.com,com,
Character Omission,ebausworld.com,207.244.67.139,US,UNITED STATES,,com,
Character Omission,ebumsworld.com,141.8.224.25,RU,RUSSIAN FEDERATION,,com,
Character Repeat,ebaaumsworld.com,,?,,com,
Character Repeat,ebaummsworld.com,,?,,com,
Character Repeat,ebaumssworld.com,,?,,com,
Character Repeat,ebaumswoorld.com,,?,,com,
Character Repeat,ebaumsworldd.com,,?,,com,
Character Repeat,ebaumsworlld.com,,?,,com,
Character Repeat,ebaumsworrld.com,,?,,com,
Character Repeat,ebaumswworld.com,69.162.80.60,E¤,,,com,
Character Repeat,ebauumsworld.com,,?,,com,
Character Repeat,ebbaumsworld.com,,?,,com,
Character Repeat,eebaumsworld.com,127.0.0.1,Ñc,,,com,
Character Swap,beaumsworld.com,,?,,com,
Character Swap,eabumsworld.com,103.224.182.209,,park-mx.above.com,com,
Character Swap,ebamusworld.com,,?,,com,
Character Swap,ebaumsowrld.com,103.224.182.253,,mx92.mb5p.com,com,
Character Swap,ebaumswolrd.com,69.170.135.92,US,UNITED STATES,,com,
Character Swap,ebaumswordl.com,103.224.212.222,,mx92.mb5p.com,com,
Character Swap,ebaumswrold.com,199.59.242.150,Ïô,,mx76.mb1p.com,com,
Character Swap,ebaumwsorld.com,,?,,com,
Character Swap,ebausmworld.com,103.224.182.217,,mx92.mb5p.com,com,
