Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,ebcohost.com,208.73.210.202,US,UNITED STATES,,com,
Character Omission,ebschost.com,208.73.211.165,US,UNITED STATES,,com,
Character Omission,ebscohos.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Omission,ebscohost.cm,,?,,cm,
Character Omission,ebscohot.com,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Omission,ebscohst.com,69.162.80.53,CA,CANADA,,com,
Character Omission,ebscoost.com,,?,,com,
Character Omission,ebsohost.com,5.79.68.110,CN,CHINA,,com,
Character Omission,escohost.com,141.8.224.169,CO,COLOMBIA,,com,
Character Repeat,ebbscohost.com,,?,,com,
Character Repeat,ebsccohost.com,,?,,com,
Character Repeat,ebscohhost.com,,?,,com,
Character Repeat,ebscohoost.com,,?,,com,
Character Repeat,ebscohosst.com,,?,,com,
Character Repeat,ebscohostt.com,,?,,com,
Character Repeat,ebscoohost.com,,?,,com,
Character Repeat,ebsscohost.com,67.55.92.183,US,UNITED STATES,mx7.ebsscohost.com,com,
Character Repeat,eebscohost.com,,?,,com,
Character Swap,bescohost.com,,?,,com,
Character Swap,ebcsohost.com,199.191.50.73,,,com,
Character Swap,ebschoost.com,,?,,com,
Character Swap,ebscohots.com,185.53.179.7,,mail.h-email.net,com,
Character Swap,ebscohsot.com,,?,,com,
Character Swap,ebscoohst.com,,?,,com,
Character Swap,ebsochost.com,141.8.224.169,US,UNITED STATES,,com,
Character Swap,esbcohost.com,208.91.196.105,US,UNITED STATES,,com,
Character Replacement,ebacohost.com,54.217.222.113,US,UNITED STATES,mail.h-email.net,com,
Character Replacement,ebdcohost.com,,?,,com,
Character Replacement,ebscihost.com,68.178.213.61,US,UNITED STATES,,com,
Character Replacement,ebscogost.com,,?,,com,
Character Replacement,ebscohist.com,,?,,com,
Character Replacement,ebscohoat.com,,?,,com,
Character Replacement,ebscohodt.com,,?,,com,
Character Replacement,ebscohosr.com,,?,,com,
Character Replacement,ebscohosy.com,,?,,com,
Character Replacement,ebscohpst.com,,?,,com,
Character Replacement,ebscojost.com,,?,,com,
Character Replacement,ebscphost.com,,?,,com,
Character Replacement,ebsvohost.com,,?,,com,
Character Replacement,ebsxohost.com,,?,,com,
Character Replacement,enscohost.com,,?,,com,
Character Replacement,evscohost.com,,?,,com,
Character Replacement,rbscohost.com,,?,,com,
Character Replacement,wbscohost.com,,?,,com,
Character Insertion,ebnscohost.com,,?,,com,
Character Insertion,ebsacohost.com,,?,,com,
Character Insertion,ebscohgost.com,,?,,com,
Character Insertion,ebscohjost.com,,?,,com,
Character Insertion,ebscohoist.com,,?,,com,
Character Insertion,ebscohopst.com,,?,,com,
Character Insertion,ebscohosat.com,,?,,com,
Character Insertion,ebscohosdt.com,,?,,com,
Character Insertion,ebscohostr.com,,?,,com,
Character Insertion,ebscohosty.com,,?,,com,
Character Insertion,ebscoihost.com,,?,,com,
Character Insertion,ebscophost.com,,?,,com,
Character Insertion,ebscvohost.com,,?,,com,
Character Insertion,ebscxohost.com,,?,,com,
Character Insertion,ebsdcohost.com,,?,,com,
Character Insertion,ebvscohost.com,,?,,com,
Character Insertion,erbscohost.com,,?,,com,
Character Insertion,ewbscohost.com,,?,,com,
Missing Dot,ebscohostcom.com,,?,,com,
