Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,ecllege.com,199.59.242.150,PR,PUERTO RICO,mx76.m2bp.com,com,
Character Omission,ecolege.com,176.74.176.187,FR,FRANCE,,com,
Character Omission,ecollee.com,199.59.242.150,GB,UNITED KINGDOM,mx76.mb1p.com,com,
Character Omission,ecolleg.com,95.211.219.67,NL,NETHERLANDS,,com,
Character Omission,ecollege.cm,85.25.199.30,DE,GERMANY,,cm,
Character Omission,ecollge.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Character Omission,eollege.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Repeat,eccollege.com,,?,,com,
Character Repeat,ecolleege.com,,?,,com,
Character Repeat,ecollegee.com,144.217.102.61,US,UNITED STATES,ecollegee.com,com,
Character Repeat,ecollegge.com,,?,,com,
Character Repeat,ecolllege.com,103.224.182.247,,mx92.m1bp.com,com,
Character Repeat,ecoollege.com,,?,,com,
Character Repeat,eecollege.com,184.168.221.96,US,UNITED STATES,10,com,
Character Swap,ceollege.com,,?,,com,
Character Swap,eclolege.com,,?,,com,
Character Swap,ecolelge.com,,?,,com,
Character Swap,ecolleeg.com,185.53.178.7,,mail.h-email.net,com,
Character Swap,ecollgee.com,,?,,com,
Character Swap,eocllege.com,,?,,com,
Character Replacement,ecillege.com,185.53.179.7,,mail.h-email.net,com,
Character Replacement,ecoklege.com,,?,,com,
Character Replacement,ecolkege.com,,?,,com,
Character Replacement,ecollefe.com,,?,,com,
Character Replacement,ecollegr.com,,?,,com,
Character Replacement,ecollegw.com,,?,,com,
Character Replacement,ecollehe.com,,?,,com,
Character Replacement,ecollrge.com,,?,,com,
Character Replacement,ecollwge.com,,?,,com,
Character Replacement,ecpllege.com,,?,,com,
Character Replacement,evollege.com,,?,,com,
Character Replacement,exollege.com,,?,,com,
Character Replacement,rcollege.com,184.168.221.104,US,UNITED STATES,,com,
Character Replacement,wcollege.com,72.52.4.120,US,UNITED STATES,localhost,com,
Double Character Replacement,ecokkege.com,,?,,com,
Character Insertion,ecoillege.com,,?,,com,
Character Insertion,ecolklege.com,,?,,com,
Character Insertion,ecolleger.com,,?,,com,
Character Insertion,ecollegew.com,,?,,com,
Character Insertion,ecollegfe.com,,?,,com,
Character Insertion,ecolleghe.com,,?,,com,
Character Insertion,ecollerge.com,,?,,com,
Character Insertion,ecollewge.com,,?,,com,
Character Insertion,ecollkege.com,,?,,com,
Character Insertion,ecopllege.com,,?,,com,
Character Insertion,ecvollege.com,,?,,com,
Character Insertion,ecxollege.com,,?,,com,
Character Insertion,ercollege.com,52.71.185.125,CN,CHINA,,com,
Character Insertion,ewcollege.com,208.100.21.152,US,UNITED STATES,,com,
Missing Dot,ecollegecom.com,,?,,com,
Missing Dot,wwwecollege.com,103.224.182.239,,mx92.mb5p.com,com,
Singular or Pluralise,ecolleges.com,72.52.4.119,YE,YEMEN,localhost,com,
Vowel Swap,ecollaga.com,,?,,com,
Vowel Swap,ecolligi.com,,?,,com,
Vowel Swap,ecollogo.com,,?,,com,
Vowel Swap,ecollugu.com,,?,,com,
Bit Flipping,acollege.com,68.178.213.61,RU,RUSSIAN FEDERATION,,com,
Bit Flipping,dcollege.com,95.211.219.65,NL,NETHERLANDS,,com,
Bit Flipping,eaollege.com,,?,,com,
Bit Flipping,ebollege.com,,?,,com,
Bit Flipping,ecgllege.com,,?,,com,
Bit Flipping,eckllege.com,,?,,com,
Bit Flipping,ecmllege.com,,?,,com,
Bit Flipping,ecnllege.com,,?,,com,
Bit Flipping,ecodlege.com,,?,,com,
Bit Flipping,ecohlege.com,,?,,com,
Bit Flipping,ecoldege.com,,?,,com,
Bit Flipping,ecolhege.com,,?,,com,
Bit Flipping,ecollage.com,185.53.178.8,,mail.h-email.net,com,
Bit Flipping,ecolldge.com,,?,,com,
Bit Flipping,ecollece.com,,?,,com,
Bit Flipping,ecolleee.com,,?,,com,
Bit Flipping,ecollega.com,,?,,com,
Bit Flipping,ecollegd.com,,?,,com,
Bit Flipping,ecollegg.com,,?,,com,
Bit Flipping,ecollegm.com,,?,,com,
Bit Flipping,ecollegu.com,,?,,com,
Bit Flipping,ecolleoe.com,,?,,com,
Bit Flipping,ecollewe.com,,?,,com,
Bit Flipping,ecollgge.com,,?,,com,
Bit Flipping,ecollmge.com,,?,,com,
Bit Flipping,ecolluge.com,,?,,com,
Bit Flipping,ecolmege.com,,?,,com,
Bit Flipping,ecolnege.com,,?,,com,
Bit Flipping,ecomlege.com,,?,,com,
Bit Flipping,econlege.com,,?,,com,
Bit Flipping,egollege.com,,?,,com,
Bit Flipping,ekollege.com,74.208.236.223,US,UNITED STATES,mx01.1and1.com,com,
Bit Flipping,esollege.com,,?,,com,
Bit Flipping,gcollege.com,184.168.221.104,US,UNITED STATES,,com,
Bit Flipping,mcollege.com,74.220.199.6,US,UNITED STATES,,com,
Bit Flipping,ucollege.com,104.247.212.218,,mail.b-io.co,com,
Homoglyphs,ec0llege.com,,?,,com,
Homoglyphs,eco11ege.com,,?,,com,
Homoglyphs,eco1lege.com,,?,,com,
Homoglyphs,ecol1ege.com,,?,,com,
Wrong TLD,ecollege.ca,37.58.107.93,CA,CANADA,mail.efty.com,ca,
Wrong TLD,ecollege.ch,,?,,ch,
Wrong TLD,ecollege.de,72.52.4.90,US,UNITED STATES,mailgw.ns36.de,de,
Wrong TLD,ecollege.edu,67.20.106.134,US,UNITED STATES,alt2.aspmx.l.google.com,edu,
Wrong TLD,ecollege.es,,?,,es,
Wrong TLD,ecollege.fr,193.169.64.193,FR,FRANCE,301.prodomaines.com,fr,
Wrong TLD,ecollege.it,185.53.178.9,,mail.h-email.net,it,
Wrong TLD,ecollege.jp,,?,,jp,
Wrong TLD,ecollege.net,,?,,net,
Wrong TLD,ecollege.nl,213.189.18.107,NL,NETHERLANDS,ecollege.nl,nl,
Wrong TLD,ecollege.no,,?,,no,
Wrong TLD,ecollege.org,184.168.221.96,US,UNITED STATES,10,org,
Wrong TLD,ecollege.ru,31.31.205.163,RU,RUSSIAN FEDERATION,,ru,
Wrong TLD,ecollege.se,93.90.145.100,SE,SWEDEN,,se,
Wrong TLD,ecollege.us,67.227.226.241,US,UNITED STATES,mx174.mb5p.com,us,

