Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,e.gov,,?,,gov,
Character Repeat,edd.gov,,?,,gov,
Character Repeat,eed.gov,,?,,gov,
Character Swap,de.gov,167.21.128.20,US,UNITED STATES,mail.state.de.us,gov,
Character Replacement,ef.gov,,?,,gov,
Character Replacement,es.gov,,?,,gov,
Character Replacement,rd.gov,,?,,gov,
Character Replacement,wd.gov,,?,,gov,
Character Insertion,edf.gov,,?,,gov,
Character Insertion,eds.gov,,?,,gov,
Character Insertion,erd.gov,,?,,gov,
Character Insertion,ewd.gov,,?,,gov,
Missing Dot,edgov.com,208.73.210.202,US,UNITED STATES,,com,
Missing Dot,wwwed.gov,,?,,gov,
Bit Flipping,ad.gov,,?,,gov,
Bit Flipping,dd.gov,,?,,gov,
Bit Flipping,ee.gov,,?,,gov,
Bit Flipping,el.gov,,?,,gov,
Bit Flipping,et.gov,,?,,gov,
Bit Flipping,gd.gov,,?,,gov,
Bit Flipping,md.gov,206.16.194.214,KR,KOREA REPUBLIC OF,,gov,
Bit Flipping,ud.gov,,?,,gov,
Homoglyphs,ecl.gov,,?,,gov,
Wrong TLD,ed.ca,72.55.128.95,CA,CANADA,ed-ca.mail.protection.outlook.com,ca,
Wrong TLD,ed.ch,,?,,ch,
Wrong TLD,ed.com,209.68.45.164,US,UNITED STATES,mailwash27.pair.com,com,
Wrong TLD,ed.de,212.89.130.229,DE,GERMANY,mx4.eurodata.de,de,
Wrong TLD,ed.edu,,?,,edu,
Wrong TLD,ed.es,,?,,es,
Wrong TLD,ed.fr,,?,,fr,
Wrong TLD,ed.it,,?,,it,
Wrong TLD,ed.jp,,?,,jp,
Wrong TLD,ed.net,50.63.202.32,US,UNITED STATES,smtp.secureserver.net,net,
Wrong TLD,ed.nl,209.48.71.185,US,UNITED STATES,alt4.aspmx.l.google.com,nl,
Wrong TLD,ed.no,185.53.178.6,,,no,
Wrong TLD,ed.org,50.56.53.41,US,UNITED STATES,us-smtp-inbound-2.mimecast.com,org,
Wrong TLD,ed.ru,91.230.208.122,RU,RUSSIAN FEDERATION,mail.ed.ru,ru,
Wrong TLD,ed.se,193.13.74.146,SE,SWEDEN,mail.ed.se,se,
Wrong TLD,ed.us,,?,,us,

