Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,eicgames.com,,?,,com,
Character Omission,epcgames.com,52.71.185.125,US,UNITED STATES,,com,
Character Omission,epicames.com,,?,,com,
Character Omission,epicgaes.com,,?,,com,
Character Omission,epicgame.com,72.52.4.119,IT,ITALY,localhost,com,
Character Omission,epicgames.cm,,?,,cm,
Character Omission,epicgams.com,,?,,com,
Character Omission,epicgmes.com,,?,,com,
Character Omission,epigames.com,72.52.4.119,GB,UNITED KINGDOM,localhost,com,
Character Repeat,eepicgames.com,,?,,com,
Character Repeat,epiccgames.com,,?,,com,
Character Repeat,epicgaames.com,,?,,com,
Character Repeat,epicgamees.com,,?,,com,
Character Repeat,epicgamess.com,,?,,com,
Character Repeat,epicgammes.com,,?,,com,
Character Repeat,epicggames.com,,?,,com,
Character Repeat,epiicgames.com,,?,,com,
Character Repeat,eppicgames.com,,?,,com,
Character Swap,eipcgames.com,,?,,com,
Character Swap,epcigames.com,,?,,com,
Character Swap,epicagmes.com,,?,,com,
Character Swap,epicgaems.com,,?,,com,
Character Swap,epicgamse.com,,?,,com,
Character Swap,epicgmaes.com,185.53.179.29,,,com,
Character Swap,epigcames.com,,?,,com,
Character Swap,peicgames.com,,?,,com,
Character Replacement,eoicgames.com,,?,,com,
Character Replacement,epicfames.com,,?,,com,
Character Replacement,epicgamea.com,,?,,com,
Character Replacement,epicgamed.com,,?,,com,
Character Replacement,epicgamrs.com,,?,,com,
Character Replacement,epicgamws.com,,?,,com,
Character Replacement,epicganes.com,,?,,com,
Character Replacement,epicgsmes.com,,?,,com,
Character Replacement,epichames.com,,?,,com,
Character Replacement,epivgames.com,,?,,com,
Character Replacement,epixgames.com,,?,,com,
Character Replacement,epocgames.com,,?,,com,
Character Replacement,epucgames.com,,?,,com,
Character Replacement,rpicgames.com,,?,,com,
Character Replacement,wpicgames.com,,?,,com,
Character Insertion,epicgamers.com,173.236.181.64,US,UNITED STATES,epicgamers-com.mail.protection.outlook.com,com,
Character Insertion,epicgamesa.com,,?,,com,
Character Insertion,epicgamesd.com,,?,,com,
Character Insertion,epicgamews.com,,?,,com,
Character Insertion,epicgamnes.com,,?,,com,
Character Insertion,epicgasmes.com,,?,,com,
Character Insertion,epicgfames.com,,?,,com,
Character Insertion,epicghames.com,,?,,com,
Character Insertion,epicvgames.com,,?,,com,
Character Insertion,epicxgames.com,,?,,com,
Character Insertion,epiocgames.com,,?,,com,
