Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,eicurious.com,103.224.212.222,,mx92.m1bp.com,com,
Character Omission,epcurious.com,24.89.132.150,Y,,,com,
Character Omission,epicrious.com,24.89.132.150,US,UNITED STATES,,com,
Character Omission,epicuious.com,24.89.132.150,US,UNITED STATES,,com,
Character Omission,epicurios.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Omission,epicuriou.com,24.89.132.150,US,UNITED STATES,,com,
Character Omission,epicurious.cm,103.224.212.244,,mx92.m1bp.com,cm,
Character Omission,epicurius.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Omission,epicurous.com,98.124.199.70,US,UNITED STATES,,com,
Character Omission,epiurious.com,103.224.212.222,,park-mx.above.com,com,
Character Repeat,eepicurious.com,,?,,com,
Character Repeat,epiccurious.com,185.53.178.9,,mail.h-email.net,com,
Character Repeat,epicuriious.com,68.178.213.61,US,UNITED STATES,,com,
Character Repeat,epicurioous.com,69.162.80.51,US,UNITED STATES,,com,
Character Repeat,epicuriouss.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Repeat,epicuriouus.com,,?,,com,
Character Repeat,epicurrious.com,,?,,com,
Character Repeat,epicuurious.com,,?,,com,
Character Repeat,epiicurious.com,,?,,com,
Character Repeat,eppicurious.com,103.224.212.222,,mx92.m1bp.com,com,
Character Swap,eipcurious.com,72.52.179.175,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Swap,epciurious.com,,?,,com,
Character Swap,epicruious.com,213.247.47.190,NL,NETHERLANDS,mx7.epicruious.com,com,
Character Swap,epicuirous.com,69.162.80.51,US,UNITED STATES,,com,
Character Swap,epicuriosu.com,,?,,com,
Character Swap,epicuriuos.com,98.124.199.36,US,UNITED STATES,,com,
Character Swap,epicuroius.com,,?,,com,
Character Swap,epiucrious.com,,?,,com,
Character Swap,peicurious.com,,?,,com,
Character Replacement,eoicurious.com,67.55.92.184,US,UNITED STATES,mx7.eoicurious.com,com,
Character Replacement,epicirious.com,103.224.212.222,,park-mx.above.com,com,
Character Replacement,epicueious.com,,?,,com,
Character Replacement,epicuriius.com,,?,,com,
Character Replacement,epicuriois.com,208.91.196.152,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Replacement,epicurioua.com,,?,,com,
Character Replacement,epicurioud.com,54.217.222.113,US,UNITED STATES,mail.h-email.net,com,
Character Replacement,epicurioys.com,,?,,com,
Character Replacement,epicuripus.com,,?,,com,
Character Replacement,epicuroous.com,,?,,com,
Character Replacement,epicuruous.com,67.227.226.241,RO,ROMANIA,mx156.hostedmxserver.com,com,
Character Replacement,epicutious.com,69.162.80.55,US,UNITED STATES,,com,
Character Replacement,epicyrious.com,,?,,com,
Character Replacement,epivurious.com,,?,,com,
Character Replacement,epixurious.com,,?,,com,
Character Replacement,epocurious.com,,?,,com,
Character Replacement,epucurious.com,208.91.196.152,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Replacement,rpicurious.com,,?,,com,
Character Replacement,wpicurious.com,,?,,com,
Character Insertion,epicuirious.com,98.124.245.24,US,UNITED STATES,mail.b-io.co,com,
Character Insertion,epicureious.com,,?,,com,
Character Insertion,epicurioius.com,209.126.123.13,RU,RUSSIAN FEDERATION,,com,
Character Insertion,epicuriopus.com,,?,,com,
Character Insertion,epicuriouis.com,,?,,com,
Character Insertion,epicuriousa.com,,?,,com,
Character Insertion,epicuriousd.com,,?,,com,
Character Insertion,epicuriouys.com,,?,,com,
Character Insertion,epicuriuous.com,,?,,com,
Character Insertion,epicurtious.com,,?,,com,
Character Insertion,epicuyrious.com,,?,,com,
Character Insertion,epicvurious.com,,?,,com,
Character Insertion,epicxurious.com,,?,,com,
Character Insertion,epiocurious.com,,?,,com,
Character Insertion,epiucurious.com,,?,,com,
Character Insertion,epoicurious.com,,?,,com,
Character Insertion,erpicurious.com,,?,,com,
Character Insertion,ewpicurious.com,,?,,com,
Missing Dot,epicuriouscom.com,,?,,com,
Missing Dot,wwwepicurious.com,141.8.224.169,CH,SWITZERLAND,,com,
Vowel Swap,epacuraous.com,,?,,com,
Vowel Swap,epecureous.com,,?,,com,
Vowel Swap,epicarioas.com,,?,,com,
Vowel Swap,epicerioes.com,,?,,com,
Vowel Swap,epiciriois.com,,?,,com,
Vowel Swap,epicorioos.com,,?,,com,
Vowel Swap,epocuroous.com,,?,,com,
Vowel Swap,epucuruous.com,,?,,com,
Homophones,epayecurayeous.com,,?,,com,
Homophones,epeyecureyeous.com,,?,,com,
Homophones,epiecurious.com,,?,,com,
Bit Flipping,apicurious.com,23.23.241.244,US,UNITED STATES,aserp2050.oracle.com,com,
Bit Flipping,dpicurious.com,,?,,com,
Bit Flipping,e0icurious.com,,?,,com,
Bit Flipping,epacurious.com,185.53.179.7,,mail.h-email.net,com,
Bit Flipping,ephcurious.com,,?,,com,
Bit Flipping,epiaurious.com,,?,,com,
Bit Flipping,epiburious.com,,?,,com,
Bit Flipping,epic5rious.com,,?,,com,
Bit Flipping,epicerious.com,67.227.226.241,US,UNITED STATES,mx174.mb5p.com,com,
Bit Flipping,epicqrious.com,,?,,com,
Bit Flipping,epictrious.com,,?,,com,
Bit Flipping,epicu2ious.com,,?,,com,
Bit Flipping,epicubious.com,,?,,com,
Bit Flipping,epicupious.com,,?,,com,
Bit Flipping,epicuraous.com,,?,,com,
Bit Flipping,epicurhous.com,,?,,com,
Bit Flipping,epicurigus.com,,?,,com,
Bit Flipping,epicurikus.com,,?,,com,
Bit Flipping,epicurimus.com,,?,,com,
Bit Flipping,epicurinus.com,,?,,com,
Bit Flipping,epicurio5s.com,,?,,com,
Bit Flipping,epicurioes.com,,?,,com,
Bit Flipping,epicurioqs.com,,?,,com,
Bit Flipping,epicuriots.com,,?,,com,
Bit Flipping,epicuriou3.com,,?,,com,
Bit Flipping,epicuriouc.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Bit Flipping,epicuriouq.com,,?,,com,
Bit Flipping,epicuriour.com,,?,,com,
Bit Flipping,epicuriouw.com,,?,,com,
Bit Flipping,epicuriows.com,,?,,com,
Bit Flipping,epicurkous.com,,?,,com,
Bit Flipping,epicurmous.com,,?,,com,
Bit Flipping,epicuryous.com,,?,,com,
Bit Flipping,epicusious.com,,?,,com,
Bit Flipping,epicuvious.com,,?,,com,
Bit Flipping,epicuzious.com,,?,,com,
Bit Flipping,epicwrious.com,,?,,com,
Bit Flipping,epigurious.com,,?,,com,
Bit Flipping,epikurious.com,23.236.62.147,,,com,
Bit Flipping,episurious.com,,?,,com,
Bit Flipping,epkcurious.com,,?,,com,
Bit Flipping,epmcurious.com,,?,,com,
Bit Flipping,epycurious.com,,?,,com,
Bit Flipping,eqicurious.com,,?,,com,
Bit Flipping,ericurious.com,,?,,com,
Bit Flipping,eticurious.com,,?,,com,
Bit Flipping,exicurious.com,,?,,com,
Bit Flipping,gpicurious.com,,?,,com,
Bit Flipping,mpicurious.com,,?,,com,
Bit Flipping,upicurious.com,,?,,com,
Homoglyphs,epicuri0us.com,,?,,com,
Homoglyphs,epicurlous.com,,?,,com,
Homoglyphs,eplcurious.com,,?,,com,
Homoglyphs,eplcurlous.com,,?,,com,
Wrong TLD,epicurious.ca,72.55.137.168,CA,CANADA,,ca,
Wrong TLD,epicurious.ch,217.70.184.38,FR,FRANCE,fb.mail.gandi.net,ch,
Wrong TLD,epicurious.de,,?,,de,
Wrong TLD,epicurious.edu,,?,,edu,
Wrong TLD,epicurious.es,,?,,es,
Wrong TLD,epicurious.fr,,?,mx.epicurious.fr.cust.b.hostedemail.com,fr,
Wrong TLD,epicurious.it,,?,popsrv.unisource.it,it,
Wrong TLD,epicurious.jp,,?,,jp,
Wrong TLD,epicurious.net,68.178.213.61,US,UNITED STATES,,net,
Wrong TLD,epicurious.nl,188.93.150.122,NL,NETHERLANDS,,nl,
Wrong TLD,epicurious.no,,?,,no,
Wrong TLD,epicurious.org,,?,,org,
Wrong TLD,epicurious.ru,,?,,ru,
Wrong TLD,epicurious.se,,?,,se,
Wrong TLD,epicurious.us,165.160.15.20,US,UNITED STATES,custmx.cscdns.net,us,

