Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,epn.com,64.124.237.219,US,UNITED STATES,,com,
Character Omission,esn.com,45.33.14.247,,smtp.secureserver.net,com,
Character Omission,esp.com,50.28.73.74,US,UNITED STATES,esp-com.mail.eo.outlook.com,com,
Character Omission,espn.cm,85.25.199.30,DE,GERMANY,,cm,
Character Repeat,eespn.com,103.224.182.210,,park-mx.above.com,com,
Character Repeat,espnn.com,51.254.28.160,GB,UNITED KINGDOM,,com,
Character Repeat,esppn.com,98.124.199.83,US,UNITED STATES,,com,
Character Repeat,esspn.com,199.115.115.118,US,UNITED STATES,,com,
Character Swap,epsn.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Swap,esnp.com,209.15.13.134,Ñ,,mail.b-io.co,com,
Character Swap,sepn.com,69.172.201.153,@‚,,,com,
Character Replacement,eapn.com,138.197.218.80,US,UNITED STATES,,com,
Character Replacement,edpn.com,198.50.233.225,,,com,
Character Replacement,eson.com,98.124.245.24,US,UNITED STATES,mail.b-io.co,com,
Character Replacement,espb.com,98.124.245.24,US,UNITED STATES,mail.b-io.co,com,
Character Replacement,espm.com,184.168.221.104,US,UNITED STATES,,com,
Character Replacement,rspn.com,184.168.221.86,CA,CANADA,smtp.secureserver.net,com,
Character Replacement,wspn.com,50.63.202.7,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Insertion,erspn.com,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Insertion,esapn.com,98.124.199.61,MG,MADAGASCAR,,com,
Character Insertion,esdpn.com,185.53.179.8,,mail.h-email.net,com,
Character Insertion,espnb.com,208.91.196.152,PL,POLAND,,com,
Character Insertion,espnm.com,51.254.28.162,CA,CANADA,,com,
Character Insertion,espon.com,72.52.10.14,US,UNITED STATES,,com,
Character Insertion,ewspn.com,98.124.199.28,US,UNITED STATES,,com,
Missing Dot,espncom.com,199.59.242.150,RU,RUSSIAN FEDERATION,mx76.mb1p.com,com,
Missing Dot,wwwespn.com,98.124.199.118,US,UNITED STATES,,com,
Singular or Pluralise,espns.com,72.52.4.119,UA,UKRAINE,localhost,com,
Bit Flipping,aspn.com,75.126.100.23,US,UNITED STATES,,com,
Bit Flipping,dspn.com,64.191.153.40,Ç;,,mail.dspn.com,com,
Bit Flipping,e3pn.com,,?,,com,
Bit Flipping,ecpn.com,67.227.226.241,US,UNITED STATES,mx174.mb5p.com,com,
Bit Flipping,eqpn.com,184.168.221.42,US,UNITED STATES,mailstore1.secureserver.net,com,
Bit Flipping,erpn.com,69.172.201.153,CA,CANADA,,com,
Bit Flipping,es0n.com,103.224.182.251,,mx92.m1bp.com,com,
Bit Flipping,espf.com,178.33.6.78,2@,,,com,
Bit Flipping,espj.com,184.168.221.104,¸ª,,,com,
Bit Flipping,espl.com,64.71.33.40,US,UNITED STATES,espl-com.mail.protection.outlook.com,com,
Bit Flipping,espo.com,205.178.189.131,JP,JAPAN,p.webcom.ctmail.com,com,
Bit Flipping,esqn.com,176.74.176.187,DO,DOMINICAN REPUBLIC,,com,
Bit Flipping,esrn.com,184.168.221.56,US,UNITED STATES,mailstore1.secureserver.net,com,
Bit Flipping,estn.com,68.178.213.61,PL,POLAND,,com,
Bit Flipping,esxn.com,184.168.221.43,US,UNITED STATES,smtp.secureserver.net,com,
Bit Flipping,ewpn.com,141.8.224.25,CA,CANADA,,com,
Bit Flipping,gspn.com,104.244.127.66,,mail.gspn.com,com,
Bit Flipping,mspn.com,,?,,com,
Bit Flipping,uspn.com,5.22.149.135,DE,GERMANY,,com,
Wrong TLD,espn.ca,158.85.87.76,US,UNITED STATES,mail.espn.ca,ca,
Wrong TLD,espn.ch,68.71.220.107,US,UNITED STATES,,ch,
Wrong TLD,espn.de,84.201.45.244,DE,GERMANY,,de,
Wrong TLD,espn.edu,,?,,edu,
Wrong TLD,espn.es,199.181.132.250,US,UNITED STATES,,es,
Wrong TLD,espn.fr,68.71.220.107,PL,POLAND,,fr,
Wrong TLD,espn.it,137.74.48.134,CA,CANADA,mail.espn.it,it,
Wrong TLD,espn.jp,,?,,jp,
Wrong TLD,espn.net,199.181.132.250,US,UNITED STATES,,net,
Wrong TLD,espn.nl,,?,,nl,
Wrong TLD,espn.no,217.170.198.100,NO,NORWAY,espn-no.mail.eo.outlook.com,no,
Wrong TLD,espn.org,72.52.4.119,US,UNITED STATES,localhost,org,
Wrong TLD,espn.ru,,?,,ru,
Wrong TLD,espn.se,162.13.142.169,GB,UNITED KINGDOM,,se,
Wrong TLD,espn.us,199.181.132.250,US,UNITED STATES,,us,

