Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,equire.com,54.72.9.121,US,UNITED STATES,alt4.aspmx.l.google.com,com,
Character Omission,esqire.com,199.191.50.17,,,com,
Character Omission,esquie.com,52.73.71.92,US,UNITED STATES,,com,
Character Omission,esquir.com,68.178.213.61,US,UNITED STATES,,com,
Character Omission,esquire.cm,34.196.13.28,US,UNITED STATES,mail.happyisp.com,cm,
Character Omission,esqure.com,95.211.219.67,NL,NETHERLANDS,,com,
Character Omission,esuire.com,,?,,com,
Character Repeat,eesquire.com,184.168.221.104,US,UNITED STATES,,com,
Character Repeat,esqquire.com,,?,,com,
Character Repeat,esquiire.com,,?,,com,
Character Repeat,esquiree.com,216.239.34.21,CA,CANADA,alt2.gmr-smtp-in.l.google.com,com,
Character Repeat,esquirre.com,,?,,com,
Character Repeat,esquuire.com,,?,,com,
Character Repeat,essquire.com,,?,,com,
Character Swap,eqsuire.com,,?,,com,
Character Swap,esqiure.com,,?,,com,
Character Swap,esquier.com,208.91.196.152,CN,CHINA,,com,
Character Swap,esqurie.com,,?,,com,
Character Swap,esuqire.com,,?,,com,
Character Swap,sequire.com,208.91.197.54,CN,CHINA,,com,
Character Replacement,eaquire.com,173.239.8.164,US,UNITED STATES,mx7.eaquire.com,com,
Character Replacement,edquire.com,110.232.140.71,AU,AUSTRALIA,mail.edquire.com,com,
Character Replacement,esqiire.com,,?,,com,
Character Replacement,esquiee.com,,?,,com,
Character Replacement,esquirr.com,,?,,com,
Character Replacement,esquirw.com,,?,,com,
Character Replacement,esquite.com,65.254.227.224,US,UNITED STATES,alt1.aspmx.l.google.com,com,
Character Replacement,esquore.com,,?,,com,
Character Replacement,esquure.com,,?,,com,
Character Replacement,esqyire.com,,?,,com,
Character Replacement,eswuire.com,185.53.177.30,,,com,
Character Replacement,rsquire.com,85.13.142.182,CA,CANADA,w009346d.kasserver.com,com,
Character Replacement,wsquire.com,,?,,com,
Character Insertion,ersquire.com,,?,,com,
Character Insertion,esaquire.com,,?,,com,
Character Insertion,esdquire.com,,?,,com,
Character Insertion,esquiore.com,,?,,com,
Character Insertion,esquirer.com,129.232.219.146,,host12.sagateway.co.za,com,
Character Insertion,esquirew.com,,?,,com,
Character Insertion,esquirte.com,,?,,com,
Character Insertion,esquiure.com,,?,,com,
Character Insertion,esquyire.com,,?,,com,
Character Insertion,esqwuire.com,,?,,com,
Character Insertion,ewsquire.com,,?,,com,
Missing Dot,esquirecom.com,159.174.46.202,US,UNITED STATES,esquirecom.com,com,
Missing Dot,wwwesquire.com,,?,,com,
Singular or Pluralise,esquires.com,184.168.221.56,US,UNITED STATES,esquires.com.2.0001.arsmtp.com,com,
Vowel Swap,esqaire.com,,?,,com,
Vowel Swap,esqeire.com,,?,,com,
Vowel Swap,esqoire.com,,?,,com,
Vowel Swap,esquare.com,208.91.197.27,VG,VIRGIN ISLANDS (BRITISH),p.webcom.ctmail.com,com,
Vowel Swap,esquere.com,,?,,com,
Vowel Swap,esquira.com,65.99.252.137,US,UNITED STATES,esquira.com,com,
Vowel Swap,esquiri.com,,?,,com,
Vowel Swap,esquiro.com,107.148.17.23,,,com,
Vowel Swap,esquiru.com,,?,,com,
Homophones,eschoir.com,50.63.202.48,US,UNITED STATES,,com,
Homophones,esquayere.com,,?,,com,
Homophones,esqueyere.com,,?,,com,
Bit Flipping,asquire.com,210.8.91.49,RU,RUSSIAN FEDERATION,mail.enetica.com.au,com,
Bit Flipping,dsquire.com,,?,,com,
Bit Flipping,e3quire.com,,?,,com,
Bit Flipping,ecquire.com,207.38.86.223,nè,,aspmx5.googlemail.com,com,
Bit Flipping,eqquire.com,,?,,com,
Bit Flipping,erquire.com,,?,,com,
Bit Flipping,es1uire.com,,?,,com,
Bit Flipping,esauire.com,,?,,com,
Bit Flipping,espuire.com,184.95.38.200,US,UNITED STATES,mail.espuire.com,com,
Bit Flipping,esq5ire.com,,?,,com,
Bit Flipping,esqqire.com,,?,,com,
Bit Flipping,esqtire.com,,?,,com,
Bit Flipping,esquhre.com,,?,,com,
Bit Flipping,esqui2e.com,,?,,com,
Bit Flipping,esquibe.com,,?,,com,
Bit Flipping,esquipe.com,,?,,com,
Bit Flipping,esquird.com,50.63.202.43,US,UNITED STATES,,com,
Bit Flipping,esquirg.com,,?,,com,
Bit Flipping,esquirm.com,,?,,com,
Bit Flipping,esquise.com,52.71.185.125,US,UNITED STATES,,com,
Bit Flipping,esquive.com,207.148.248.143,US,UNITED STATES,,com,
Bit Flipping,esquize.com,,?,,com,
Bit Flipping,esqukre.com,,?,,com,
Bit Flipping,esqumre.com,,?,,com,
Bit Flipping,esquyre.com,107.178.255.126,,,com,
Bit Flipping,esqwire.com,104.130.31.164,,d27815a.ess.barracudanetworks.com,com,
Bit Flipping,essuire.com,,?,,com,
Bit Flipping,esuuire.com,,?,,com,
Bit Flipping,esyuire.com,,?,,com,
Bit Flipping,ewquire.com,,?,,com,
Bit Flipping,gsquire.com,216.250.120.66,JP,JAPAN,gsquire-com.mail.protection.outlook.com,com,
Bit Flipping,msquire.com,72.52.4.122,US,UNITED STATES,localhost,com,
Bit Flipping,usquire.com,,?,,com,
Homoglyphs,esqulre.com,,?,,com,
Wrong TLD,esquire.ca,158.85.87.76,JP,JAPAN,mail.esquire.ca,ca,
Wrong TLD,esquire.ch,,?,,ch,
Wrong TLD,esquire.de,134.119.2.95,DO,DOMINICAN REPUBLIC,mxlb.ispgateway.de,de,
Wrong TLD,esquire.edu,,?,,edu,
Wrong TLD,esquire.es,151.101.0.204,US,UNITED STATES,,es,
Wrong TLD,esquire.fr,217.160.223.123,DE,GERMANY,aspmx2.googlemail.com,fr,
Wrong TLD,esquire.it,93.190.141.107,NL,NETHERLANDS,esquire.it,it,
Wrong TLD,esquire.jp,202.218.245.210,JP,JAPAN,,jp,
Wrong TLD,esquire.net,209.251.227.2,US,UNITED STATES,mail.esquire.net,net,
Wrong TLD,esquire.nl,151.101.192.204,US,UNITED STATES,esquire-nl.mail.protection.outlook.com,nl,
Wrong TLD,esquire.no,,?,,no,
Wrong TLD,esquire.org,104.18.40.249,,esquire-org.mail.protection.outlook.com,org,
Wrong TLD,esquire.ru,51.254.142.104,GB,UNITED KINGDOM,esquire-ru.mail.protection.outlook.com,ru,
Wrong TLD,esquire.se,194.9.94.38,SE,SWEDEN,esquire-se.mail.protection.outlook.com,se,
Wrong TLD,esquire.us,50.63.202.71,US,UNITED STATES,mailstore1.secureserver.net,us,

