Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,erogamer.net,157.7.107.118,JP,JAPAN,mx01.lolipop.jp,net,
Character Omission,euogamer.net,,?,,net,
Character Omission,eurgamer.net,,?,,net,
Character Omission,euroamer.net,,?,,net,
Character Omission,eurogaer.net,,?,,net,
Character Omission,eurogame.net,52.56.220.95,US,UNITED STATES,,net,
Character Omission,eurogamer.ne,,?,,ne,
Character Omission,eurogamr.net,,?,,net,
Character Omission,eurogmer.net,,?,,net,
Character Repeat,eeurogamer.net,,?,,net,
Character Repeat,eurogaamer.net,,?,,net,
Character Repeat,eurogameer.net,,?,,net,
Character Repeat,eurogamerr.net,,?,,net,
Character Repeat,eurogammer.net,,?,,net,
Character Repeat,euroggamer.net,,?,,net,
Character Repeat,euroogamer.net,,?,,net,
Character Repeat,eurrogamer.net,,?,,net,
Character Repeat,euurogamer.net,,?,,net,
Character Swap,eruogamer.net,,?,,net,
Character Swap,euorgamer.net,,?,,net,
Character Swap,eurgoamer.net,,?,,net,
Character Swap,euroagmer.net,,?,,net,
Character Swap,eurogaemr.net,,?,,net,
Character Swap,eurogamre.net,,?,,net,
Character Swap,eurogmaer.net,,?,,net,
Character Swap,uerogamer.net,,?,,net,
Character Replacement,eirogamer.net,,?,,net,
Character Replacement,eueogamer.net,,?,,net,
Character Replacement,eurigamer.net,,?,,net,
Character Replacement,eurofamer.net,,?,,net,
Character Replacement,eurogamee.net,,?,,net,
Character Replacement,eurogamet.net,,?,,net,
Character Replacement,eurogamrr.net,,?,,net,
Character Replacement,eurogamwr.net,,?,,net,
Character Replacement,euroganer.net,,?,,net,
Character Replacement,eurogsmer.net,,?,,net,
Character Replacement,eurohamer.net,,?,,net,
Character Replacement,eurpgamer.net,,?,,net,
Character Replacement,eutogamer.net,,?,,net,
Character Replacement,eyrogamer.net,,?,,net,
Character Replacement,rurogamer.net,,?,,net,
Character Replacement,wurogamer.net,,?,,net,
Character Insertion,erurogamer.net,,?,,net,
Character Insertion,euirogamer.net,,?,,net,
Character Insertion,eureogamer.net,,?,,net,
Character Insertion,eurogamere.net,,?,,net,
Character Insertion,eurogamert.net,,?,,net,
Character Insertion,eurogamewr.net,,?,,net,
Character Insertion,eurogamner.net,,?,,net,
Character Insertion,eurogasmer.net,,?,,net,
Character Insertion,eurogfamer.net,,?,,net,
Character Insertion,euroghamer.net,,?,,net,
Character Insertion,euroigamer.net,,?,,net,
Character Insertion,europgamer.net,,?,,net,
Character Insertion,eurtogamer.net,,?,,net,
Character Insertion,euyrogamer.net,,?,,net,
Character Insertion,ewurogamer.net,,?,,net,
Missing Dot,eurogamernet.com,,?,,com,
Missing Dot,wwweurogamer.net,,?,,net,
Singular or Pluralise,eurogamers.net,194.14.75.163,SE,SWEDEN,mailstore1.secureserver.net,net,
Vowel Swap,earogamer.net,,?,,net,
Vowel Swap,eerogamer.net,,?,,net,
Vowel Swap,eorogamer.net,,?,,net,
Vowel Swap,euragamer.net,,?,,net,
Vowel Swap,euregamer.net,,?,,net,
Vowel Swap,eurogemer.net,,?,,net,
Vowel Swap,eurogimer.net,,?,,net,
Vowel Swap,eurogomer.net,,?,,net,
Vowel Swap,eurogumer.net,,?,,net,
Vowel Swap,eurugamer.net,,?,,net,
Bit Flipping,aurogamer.net,,?,,net,
Bit Flipping,durogamer.net,,?,,net,
Bit Flipping,e5rogamer.net,,?,,net,
Bit Flipping,eqrogamer.net,,?,,net,
Bit Flipping,etrogamer.net,,?,,net,
Bit Flipping,eu2ogamer.net,,?,,net,
Bit Flipping,eubogamer.net,,?,,net,
Bit Flipping,eupogamer.net,,?,,net,
Bit Flipping,eurggamer.net,,?,,net,
Bit Flipping,eurkgamer.net,,?,,net,
Bit Flipping,eurmgamer.net,,?,,net,
Bit Flipping,eurngamer.net,,?,,net,
Bit Flipping,eurocamer.net,,?,,net,
Bit Flipping,euroeamer.net,,?,,net,
Bit Flipping,euroga-er.net,,?,,net,
Bit Flipping,eurogaeer.net,,?,,net,
Bit Flipping,eurogaier.net,,?,,net,
Bit Flipping,eurogaler.net,,?,,net,
Bit Flipping,eurogamar.net,,?,,net,
Bit Flipping,eurogamdr.net,,?,,net,
Bit Flipping,eurogame2.net,,?,,net,
Bit Flipping,eurogameb.net,,?,,net,
Bit Flipping,eurogamep.net,,?,,net,
Bit Flipping,eurogames.net,159.25.17.178,DE,GERMANY,mail.shopto.net,net,
Bit Flipping,eurogamev.net,,?,,net,
Bit Flipping,eurogamez.net,,?,,net,
Bit Flipping,eurogamgr.net,,?,,net,
Bit Flipping,eurogammr.net,,?,,net,
Bit Flipping,eurogamur.net,,?,,net,
Bit Flipping,eurogaoer.net,,?,,net,
Bit Flipping,eurogcmer.net,,?,,net,
Bit Flipping,eurogqmer.net,,?,,net,
Bit Flipping,eurooamer.net,,?,,net,
Bit Flipping,eurowamer.net,,?,,net,
Bit Flipping,eusogamer.net,,?,,net,
Bit Flipping,euvogamer.net,,?,,net,
Bit Flipping,euzogamer.net,,?,,net,
Bit Flipping,ewrogamer.net,,?,,net,
Bit Flipping,gurogamer.net,,?,,net,
Bit Flipping,murogamer.net,,?,,net,
Bit Flipping,uurogamer.net,,?,,net,
Homoglyphs,eur0gamer.net,,?,,net,
Homoglyphs,eurogarner.net,,?,,net,
Wrong TLD,eurogamer.ca,,?,,ca,
Wrong TLD,eurogamer.ch,94.198.83.12,GB,UNITED KINGDOM,,ch,
Wrong TLD,eurogamer.com,,?,,com,
Wrong TLD,eurogamer.de,94.198.83.13,GB,UNITED KINGDOM,aspmx.l.google.com,de,
Wrong TLD,eurogamer.edu,,?,,edu,
Wrong TLD,eurogamer.es,94.198.83.12,GB,UNITED KINGDOM,aspmx.l.google.com,es,
Wrong TLD,eurogamer.fr,94.198.83.12,GB,UNITED KINGDOM,aspmx2.googlemail.com,fr,
Wrong TLD,eurogamer.it,94.198.83.12,GB,UNITED KINGDOM,alt1.aspmx.l.google.com,it,
Wrong TLD,eurogamer.jp,,?,,jp,
Wrong TLD,eurogamer.nl,94.198.83.12,GB,UNITED KINGDOM,aspmx3.googlemail.com,nl,
Wrong TLD,eurogamer.no,194.63.248.70,NO,NORWAY,,no,
Wrong TLD,eurogamer.org,,?,,org,
Wrong TLD,eurogamer.ru,94.198.83.12,GB,UNITED KINGDOM,,ru,
Wrong TLD,eurogamer.se,94.198.83.12,GB,UNITED KINGDOM,aspmx3.googlemail.com,se,
Wrong TLD,eurogamer.us,69.172.201.153,US,UNITED STATES,mx113.mb1p.com,us,

