Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,erosport.com,54.72.9.51,CA,CANADA,mail.h-email.net,com,
Character Omission,euosport.com,67.55.92.187,US,UNITED STATES,mx7.euosport.com,com,
Character Omission,europort.com,69.25.192.21,US,UNITED STATES,antispam.ns1.netatlantic.com,com,
Character Omission,eurosort.com,85.158.163.146,NL,NETHERLANDS,eurosort-com.mail.protection.outlook.com,com,
Character Omission,eurospor.com,67.55.92.183,US,UNITED STATES,mx7.eurospor.com,com,
Character Omission,eurosport.cm,192.64.147.196,,,cm,
Character Omission,eurospot.com,91.212.202.12,FR,FRANCE,,com,
Character Omission,eurosprt.com,72.52.4.119,KZ,KAZAKHSTAN,localhost,com,
Character Omission,eursport.com,78.41.204.29,NL,NETHERLANDS,,com,
Character Repeat,eeurosport.com,184.168.221.63,IT,ITALY,mailstore1.secureserver.net,com,
Character Repeat,euroosport.com,,?,,com,
Character Repeat,eurospoort.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Character Repeat,eurosporrt.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Character Repeat,eurosportt.com,69.172.201.153,US,UNITED STATES,,com,
Character Repeat,eurospport.com,103.224.212.222,,mx92.mb5p.com,com,
Character Repeat,eurossport.com,176.74.176.187,RU,RUSSIAN FEDERATION,,com,
Character Repeat,eurrosport.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Repeat,euurosport.com,,?,,com,
Character Swap,eruosport.com,95.211.117.215,H5,,,com,
Character Swap,euorsport.com,,?,,com,
Character Swap,europsort.com,68.178.213.61,US,UNITED STATES,,com,
Character Swap,eurosoprt.com,,?,,com,
Character Swap,eurospotr.com,103.224.212.222,,mx92.mb5p.com,com,
Character Swap,eurosprot.com,67.55.92.187,US,UNITED STATES,mx7.eurosprot.com,com,
Character Swap,eursoport.com,66.45.246.141,US,UNITED STATES,,com,
Character Swap,uerosport.com,68.178.213.61,US,UNITED STATES,,com,
Character Replacement,eirosport.com,,?,,com,
Character Replacement,eueosport.com,,?,,com,
Character Replacement,eurisport.com,103.224.212.222,,mx92.m1bp.com,com,
Character Replacement,euroaport.com,52.71.185.125,MK,MACEDONIA,,com,
Character Replacement,eurodport.com,185.53.179.7,,mail.h-email.net,com,
Character Replacement,eurosoort.com,,?,,com,
Character Replacement,eurospirt.com,52.58.78.16,US,UNITED STATES,mail.mailer-host.com,com,
Character Replacement,eurospoet.com,,?,,com,
Character Replacement,eurosporr.com,,?,,com,
Character Replacement,eurospory.com,,?,,com,
Character Replacement,eurospott.com,,?,,com,
Character Replacement,eurospprt.com,,?,,com,
Character Replacement,eurpsport.com,67.55.92.184,[Ô,,mx7.eurpsport.com,com,
Character Replacement,eutosport.com,,?,,com,
Character Replacement,eyrosport.com,,?,,com,
Character Replacement,rurosport.com,,?,,com,
Character Replacement,wurosport.com,,?,,com,
Character Insertion,erurosport.com,,?,,com,
Character Insertion,euirosport.com,,?,,com,
Character Insertion,eureosport.com,,?,,com,
Character Insertion,euroisport.com,,?,,com,
Character Insertion,europsport.com,95.211.219.66,NL,NETHERLANDS,,com,
Character Insertion,eurosaport.com,,?,,com,
