Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,f-ist.net,103.224.182.230,,mx92.mb5p.com,net,
Character Omission,f-lis.net,,?,,net,
Character Omission,f-list.ne,,?,,ne,
Character Omission,f-lit.net,,?,,net,
Character Omission,f-lst.net,141.8.224.93,CH,SWITZERLAND,,net,
Character Omission,flist.net,,?,mx.hover.com.cust.hostedemail.com,net,
Character Repeat,f--list.net,,?,,net,
Character Repeat,f-liist.net,,?,,net,
Character Repeat,f-lisst.net,,?,,net,
Character Repeat,f-listt.net,,?,,net,
Character Repeat,f-llist.net,,?,,net,
Character Repeat,ff-list.net,,?,,net,
Character Swap,-flist.net,,?,,net,
Character Swap,f-ilst.net,,?,,net,
Character Swap,f-lits.net,,?,,net,
Character Swap,f-lsit.net,,?,,net,
Character Swap,fl-ist.net,,?,,net,
Character Replacement,d-list.net,,?,,net,
Character Replacement,f-kist.net,,?,,net,
Character Replacement,f-liat.net,54.217.222.113,JP,JAPAN,mail.h-email.net,net,
Character Replacement,f-lidt.net,,?,,net,
Character Replacement,f-lisr.net,,?,,net,
Character Replacement,f-lisy.net,,?,,net,
Character Replacement,f-lost.net,141.8.224.93,CH,SWITZERLAND,,net,
Character Replacement,f-lust.net,,?,,net,
Character Replacement,f0list.net,,?,,net,
Character Replacement,g-list.net,,?,,net,
Character Insertion,f-0list.net,,?,,net,
Character Insertion,f-liost.net,,?,,net,
Character Insertion,f-lisat.net,,?,,net,
Character Insertion,f-lisdt.net,,?,,net,
Character Insertion,f-listr.net,,?,,net,
Character Insertion,f-listy.net,,?,,net,
Character Insertion,f-liust.net,,?,,net,
Character Insertion,f-lkist.net,,?,,net,
Character Insertion,fd-list.net,,?,,net,
Character Insertion,fg-list.net,,?,,net,
Missing Dot,f-listnet.com,,?,,com,
Missing Dot,wwwf-list.net,,?,,net,
Singular or Pluralise,f-lists.net,,?,,net,
Vowel Swap,f-last.net,,?,,net,
Vowel Swap,f-lest.net,,?,,net,
Homophones,f-layest.net,,?,,net,
Homophones,f-leyest.net,,?,,net,
Bit Flipping,b-list.net,62.233.121.61,GB,UNITED KINGDOM,smtp2d.netintelligence.com,net,
Bit Flipping,f-dist.net,,?,,net,
Bit Flipping,f-hist.net,,?,,net,
Bit Flipping,f-lhst.net,,?,,net,
Bit Flipping,f-li3t.net,,?,,net,
Bit Flipping,f-lict.net,,?,,net,
Bit Flipping,f-liqt.net,,?,,net,
Bit Flipping,f-lirt.net,,?,,net,
Bit Flipping,f-lis4.net,,?,,net,
Bit Flipping,f-lisd.net,,?,,net,
Bit Flipping,f-lisp.net,,?,,net,
Bit Flipping,f-lisu.net,,?,,net,
Bit Flipping,f-lisv.net,,?,,net,
Bit Flipping,f-liwt.net,,?,,net,
Bit Flipping,f-lkst.net,,?,,net,
Bit Flipping,f-lmst.net,,?,,net,
Bit Flipping,f-lyst.net,,?,,net,
Bit Flipping,f-mist.net,,?,,net,
Bit Flipping,f-nist.net,,?,,net,
Bit Flipping,fmlist.net,,?,,net,
Bit Flipping,n-list.net,,?,,net,
Bit Flipping,v-list.net,,?,,net,
Homoglyphs,f-1ist.net,,?,,net,
Homoglyphs,f-llst.net,,?,,net,
Wrong TLD,f-list.ca,77.104.139.213,RO,ROMANIA,f-list.ca,ca,
Wrong TLD,f-list.ch,,?,,ch,
Wrong TLD,f-list.com,,?,,com,
Wrong TLD,f-list.de,,?,mx.mymailwall.com,de,
Wrong TLD,f-list.edu,,?,,edu,
Wrong TLD,f-list.es,,?,,es,
Wrong TLD,f-list.fr,,?,,fr,
Wrong TLD,f-list.it,,?,,it,
Wrong TLD,f-list.jp,,?,,jp,
Wrong TLD,f-list.nl,,?,,nl,
Wrong TLD,f-list.no,,?,,no,
Wrong TLD,f-list.org,69.162.80.54,US,UNITED STATES,,org,
Wrong TLD,f-list.ru,,?,,ru,
Wrong TLD,f-list.se,,?,,se,
Wrong TLD,f-list.us,,?,,us,

