Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,fa.gov,,?,,gov,
Character Omission,fd.gov,,?,,gov,
Character Repeat,fdaa.gov,,?,,gov,
Character Repeat,fdda.gov,,?,,gov,
Character Repeat,ffda.gov,,?,,gov,
Character Swap,dfa.gov,,?,,gov,
Character Swap,fad.gov,,?,,gov,
Character Replacement,dda.gov,,?,,gov,
Character Replacement,fds.gov,,?,,gov,
Character Replacement,ffa.gov,,?,,gov,
Character Replacement,fsa.gov,,?,,gov,
Character Replacement,gda.gov,,?,,gov,
Character Insertion,fdas.gov,,?,,gov,
Character Insertion,fdfa.gov,,?,,gov,
Character Insertion,fdsa.gov,,?,,gov,
Character Insertion,fgda.gov,,?,,gov,
Missing Dot,fdagov.com,69.172.201.153,US,UNITED STATES,,com,
Missing Dot,wwwfda.gov,,?,,gov,
Vowel Swap,fde.gov,,?,,gov,
Vowel Swap,fdi.gov,,?,,gov,
Vowel Swap,fdo.gov,,?,,gov,
Vowel Swap,fdu.gov,,?,,gov,
Bit Flipping,bda.gov,,?,,gov,
Bit Flipping,fdc.gov,,?,,gov,
Bit Flipping,fdq.gov,,?,,gov,
Bit Flipping,fea.gov,209.193.7.22,US,UNITED STATES,,gov,
Bit Flipping,fla.gov,,?,,gov,
Bit Flipping,fta.gov,,?,,gov,
Bit Flipping,nda.gov,,?,,gov,
Bit Flipping,vda.gov,,?,,gov,
Homoglyphs,fcla.gov,,?,,gov,
Wrong TLD,fda.ca,,?,,ca,
Wrong TLD,fda.ch,194.247.9.36,CH,SWITZERLAND,,ch,
Wrong TLD,fda.com,50.62.117.1,DE,GERMANY,smtp.secureserver.net,com,
Wrong TLD,fda.de,217.160.0.242,DE,GERMANY,mx00.schlund.de,de,
Wrong TLD,fda.edu,,?,,edu,
Wrong TLD,fda.es,185.53.178.6,,mail.h-email.net,es,
Wrong TLD,fda.fr,,?,,fr,
Wrong TLD,fda.it,72.52.4.120,US,UNITED STATES,localhost,it,
Wrong TLD,fda.jp,211.1.231.66,JP,JAPAN,ah105.wadax.ne.jp,jp,
Wrong TLD,fda.net,,?,,net,
Wrong TLD,fda.nl,212.78.165.132,GB,UNITED KINGDOM,mx1.active24.com,nl,
Wrong TLD,fda.no,163.172.147.89,GB,UNITED KINGDOM,fda-no.mail.protection.outlook.com,no,
Wrong TLD,fda.org,208.109.181.73,CA,CANADA,mailstore1.secureserver.net,org,
Wrong TLD,fda.ru,207.58.169.114,US,UNITED STATES,fda.ru,ru,
Wrong TLD,fda.se,72.52.4.120,US,UNITED STATES,localhost,se,
Wrong TLD,fda.us,,?,,us,

