Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,fea.gov,209.193.7.22,US,UNITED STATES,,gov,
Character Omission,fem.gov,,?,,gov,
Character Omission,fma.gov,,?,,gov,
Character Repeat,feema.gov,,?,,gov,
Character Repeat,femaa.gov,,?,,gov,
Character Repeat,femma.gov,,?,,gov,
Character Repeat,ffema.gov,,?,,gov,
Character Swap,efma.gov,,?,,gov,
Character Swap,feam.gov,,?,,gov,
Character Swap,fmea.gov,,?,,gov,
Character Replacement,dema.gov,,?,,gov,
Character Replacement,fems.gov,,?,,gov,
Character Replacement,fena.gov,,?,,gov,
Character Replacement,frma.gov,,?,,gov,
Character Replacement,fwma.gov,,?,,gov,
Character Replacement,gema.gov,,?,,gov,
Character Insertion,fdema.gov,,?,,gov,
Character Insertion,femas.gov,,?,,gov,
Character Insertion,femna.gov,,?,,gov,
Character Insertion,ferma.gov,,?,,gov,
Character Insertion,fewma.gov,,?,,gov,
Character Insertion,fgema.gov,,?,,gov,
Missing Dot,femagov.com,,?,,com,
Missing Dot,wwwfema.gov,,?,,gov,
Vowel Swap,fama.gov,,?,,gov,
Vowel Swap,feme.gov,,?,,gov,
Vowel Swap,femi.gov,,?,,gov,
Vowel Swap,femo.gov,,?,,gov,
Vowel Swap,femu.gov,,?,,gov,
Vowel Swap,fima.gov,,?,,gov,
Vowel Swap,foma.gov,,?,,gov,
Vowel Swap,fuma.gov,,?,,gov,
Bit Flipping,bema.gov,,?,,gov,
Bit Flipping,fdma.gov,,?,,gov,
Bit Flipping,fe-a.gov,,?,,gov,
Bit Flipping,feea.gov,,?,,gov,
Bit Flipping,feia.gov,,?,,gov,
Bit Flipping,fela.gov,,?,,gov,
Bit Flipping,femc.gov,,?,,gov,
Bit Flipping,femq.gov,,?,,gov,
Bit Flipping,feoa.gov,,?,,gov,
Bit Flipping,fgma.gov,,?,,gov,
Bit Flipping,fmma.gov,,?,,gov,
Bit Flipping,nema.gov,,?,,gov,
Bit Flipping,vema.gov,,?,,gov,
Homoglyphs,ferna.gov,,?,,gov,
Wrong TLD,fema.ca,,?,,ca,
Wrong TLD,fema.ch,212.62.197.8,DE,GERMANY,smtp1.fehlmann.com.fema.ch,ch,
Wrong TLD,fema.com,173.252.133.166,US,UNITED STATES,,com,
Wrong TLD,fema.de,178.32.28.184,FR,FRANCE,mail1.tremco-illbruck.com,de,
Wrong TLD,fema.edu,,?,,edu,
Wrong TLD,fema.es,146.255.102.173,ES,SPAIN,mx.spamexperts.com,es,
Wrong TLD,fema.fr,213.186.33.5,FR,FRANCE,mx1.mail.ovh.net,fr,
Wrong TLD,fema.it,62.149.128.151,IT,ITALY,mx.fema.it,it,
Wrong TLD,fema.jp,157.7.107.20,JP,JAPAN,mx01.lolipop.jp,jp,
Wrong TLD,fema.net,,?,,net,
Wrong TLD,fema.nl,72.52.4.120,US,UNITED STATES,localhost,nl,
Wrong TLD,fema.no,46.30.213.106,DK,DENMARK,mxcluster1.one.com,no,
Wrong TLD,fema.org,173.252.133.166,US,UNITED STATES,,org,
Wrong TLD,fema.ru,80.93.63.80,RU,RUSSIAN FEDERATION,mx2.peterhost.ru,ru,
Wrong TLD,fema.se,46.30.215.64,DK,DENMARK,mx2.pub.mailpod1-cph3.one.com,se,
Wrong TLD,fema.us,37.58.107.93,NL,NETHERLANDS,mail.efty.com,us,

