Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,fb.com,31.13.69.228,IE,IRELAND,mxb-00082601.gslb.pphosted.com,com,
Character Omission,fh.com,,?,,com,
Character Omission,fhb.cm,72.52.179.174,US,UNITED STATES,mx156.hostedmxserver.com,cm,
Character Repeat,ffhb.com,72.9.105.30,US,UNITED STATES,,com,
Character Repeat,fhbb.com,86.12.170.20,GB,UNITED KINGDOM,eu-smtp-inbound-2.mimecast.com,com,
Character Repeat,fhhb.com,5.35.225.73,DE,GERMANY,mx0.fhhb.com,com,
Character Swap,fbh.com,104.24.123.156,,,com,
Character Swap,hfb.com,96.45.83.229,US,UNITED STATES,mxb-002ae201.gslb.pphosted.com,com,
Character Replacement,dhb.com,206.188.192.135,US,UNITED STATES,aspmx.l.google.com,com,
Character Replacement,fgb.com,205.178.189.129,US,UNITED STATES,d19975a.ess.barracudanetworks.com,com,
Character Replacement,fhn.com,75.126.100.29,US,UNITED STATES,,com,
Character Replacement,fhv.com,75.126.101.247,US,UNITED STATES,,com,
Character Replacement,fjb.com,,?,,com,
Character Replacement,ghb.com,199.7.108.64,US,UNITED STATES,ghb.com,com,
Character Insertion,fdhb.com,69.172.201.153,US,UNITED STATES,,com,
Character Insertion,fghb.com,184.168.221.19,US,UNITED STATES,smtp.secureserver.net,com,
Character Insertion,fhbn.com,,?,,com,
Character Insertion,fhbv.com,184.168.221.22,US,UNITED STATES,west.smtp.exch083.serverdata.net,com,
Character Insertion,fhgb.com,162.209.215.114,,,com,
Character Insertion,fhjb.com,47.52.31.18,CA,CANADA,,com,
Missing Dot,fhbcom.com,,?,,com,
Missing Dot,wwwfhb.com,199.59.242.150,ES,SPAIN,mx76.m2bp.com,com,
Singular or Pluralise,fhbs.com,173.199.169.124,US,UNITED STATES,fhbs.com,com,
Bit Flipping,bhb.com,,?,asp.reflexion.net,com,
Bit Flipping,fhc.com,23.23.86.44,US,UNITED STATES,0.0.0.0,com,
Bit Flipping,fhf.com,69.172.201.153,US,UNITED STATES,,com,
Bit Flipping,fhj.com,107.178.158.124,,,com,
Bit Flipping,fhr.com,34.197.153.165,US,UNITED STATES,mxa-00164e01.gslb.pphosted.com,com,
Bit Flipping,fib.com,74.114.2.144,US,UNITED STATES,mail1.fib.com,com,
Bit Flipping,flb.com,75.126.100.20,US,UNITED STATES,,com,
Bit Flipping,fxb.com,47.52.103.38,CA,CANADA,,com,
Bit Flipping,nhb.com,,?,,com,
Bit Flipping,vhb.com,23.96.21.124,,vhb-com.mail.protection.outlook.com,com,
Wrong TLD,fhb.ca,158.85.87.76,US,UNITED STATES,mail.fhb.ca,ca,
Wrong TLD,fhb.ch,72.52.4.120,US,UNITED STATES,localhost,ch,
Wrong TLD,fhb.de,46.30.60.201,DE,GERMANY,relay.rzone.de,de,
Wrong TLD,fhb.edu,,?,,edu,
Wrong TLD,fhb.es,,?,,es,
Wrong TLD,fhb.fr,46.166.189.98,GB,UNITED KINGDOM,,fr,
Wrong TLD,fhb.it,109.233.126.154,IT,ITALY,mx1.itknights.it,it,
Wrong TLD,fhb.jp,,?,,jp,
Wrong TLD,fhb.net,141.8.226.66,US,UNITED STATES,,net,
Wrong TLD,fhb.nl,213.187.243.136,DE,GERMANY,fhb-nl.mail.protection.outlook.com,nl,
Wrong TLD,fhb.no,195.159.64.135,NO,NORWAY,mx.webhuset.no,no,
Wrong TLD,fhb.org,216.157.88.25,US,UNITED STATES,,org,
Wrong TLD,fhb.ru,,?,,ru,
Wrong TLD,fhb.se,109.74.4.246,SE,SWEDEN,mail.parking.se,se,
Wrong TLD,fhb.us,72.52.4.120,US,UNITED STATES,localhost,us,

