Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,ffa.com,69.195.201.40,US,UNITED STATES,p.webcom.ctmail.com,com,
Character Omission,fia.com,216.239.32.21,US,UNITED STATES,aspmx.l.google.com,com,
Character Omission,fif.com,54.209.49.191,US,UNITED STATES,fif-com.mail.protection.outlook.com,com,
Character Omission,fifa.cm,199.59.242.150,CN,CHINA,mx76.m2bp.com,cm,
Character Repeat,ffifa.com,72.52.4.120,US,UNITED STATES,localhost,com,
Character Repeat,fifaa.com,,?,,com,
Character Repeat,fiffa.com,91.194.151.38,DK,DENMARK,rhea.easily.co.uk,com,
Character Repeat,fiifa.com,68.178.213.61,US,UNITED STATES,,com,
Character Swap,ffia.com,,?,ffia-com.mail.protection.outlook.com,com,
Character Swap,fiaf.com,,?,,com,
Character Swap,iffa.com,193.109.4.37,DE,GERMANY,,com,
Character Replacement,difa.com,198.71.161.53,,mxdomain.qq.com,com,
Character Replacement,fida.com,204.12.102.193,PL,POLAND,mx.spamexperts.com,com,
Character Replacement,fifs.com,69.172.201.153,US,UNITED STATES,,com,
Character Replacement,figa.com,64.38.227.191,US,UNITED STATES,mail.figa.com,com,
Character Replacement,fofa.com,185.53.178.6,,mail.h-email.net,com,
Character Replacement,fufa.com,,?,,com,
Character Replacement,gifa.com,194.9.89.155,DE,GERMANY,,com,
Character Insertion,fdifa.com,109.228.56.249,GB,UNITED KINGDOM,mail.fdifa.com,com,
Character Insertion,fgifa.com,,?,,com,
Character Insertion,fifas.com,194.2.77.190,FR,FRANCE,asp1.mailinblack.com,com,
Character Insertion,fifda.com,80.67.16.8,DE,GERMANY,mxlb.ispgateway.de,com,
Character Insertion,fifga.com,184.168.221.45,CO,COLOMBIA,smtp.secureserver.net,com,
Character Insertion,fiofa.com,69.172.201.153,US,UNITED STATES,,com,
Character Insertion,fiufa.com,,?,,com,
Missing Dot,fifacom.com,67.227.226.241,US,UNITED STATES,mx156.hostedmxserver.com,com,
Missing Dot,wwwfifa.com,34.196.13.28,US,UNITED STATES,mail.happyisp.com,com,
Vowel Swap,fafa.com,97.74.181.60,CA,CANADA,mailstore1.secureserver.net,com,
Vowel Swap,fefa.com,75.119.218.44,CH,SWITZERLAND,vade-in2.mail.dreamhost.com,com,
Vowel Swap,fife.com,72.47.235.28,US,UNITED STATES,mxa-00281801.gslb.pphosted.com,com,
Vowel Swap,fifi.com,195.149.84.100,GB,UNITED KINGDOM,,com,
Vowel Swap,fifo.com,207.112.3.220,CA,CANADA,,com,
Vowel Swap,fifu.com,,?,,com,
Homophones,fayefa.com,103.43.134.175,,,com,
Homophones,feyefa.com,,?,,com,
Bit Flipping,bifa.com,,?,,com,
Bit Flipping,fhfa.com,216.239.38.21,US,UNITED STATES,alt3.aspmx.l.google.com,com,
Bit Flipping,fiba.com,83.221.236.154,DE,GERMANY,fiba-com.mail.protection.outlook.com,com,
Bit Flipping,fifc.com,72.9.105.30,US,UNITED STATES,,com,
Bit Flipping,fifq.com,103.39.111.106,,,com,
Bit Flipping,fina.com,194.2.208.80,FR,FRANCE,,com,
Bit Flipping,fiva.com,164.132.165.43,IT,ITALY,mx02.cloud.vadesecure.com,com,
Bit Flipping,fkfa.com,184.168.221.104,US,UNITED STATES,,com,
Bit Flipping,fmfa.com,50.0.17.201,US,UNITED STATES,alt1.aspmx.l.google.com,com,
Bit Flipping,fyfa.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Bit Flipping,nifa.com,205.178.189.131,US,UNITED STATES,nifa-com.mail.protection.outlook.com,com,
Bit Flipping,vifa.com,47.89.194.64,CA,CANADA,,com,
Homoglyphs,flfa.com,184.168.221.104,IL,ISRAEL,,com,
Wrong TLD,fifa.ca,208.73.210.202,US,UNITED STATES,,ca,
Wrong TLD,fifa.ch,165.160.13.20,RO,ROMANIA,custmx.cscdns.net,ch,
Wrong TLD,fifa.de,81.169.145.156,DE,GERMANY,smtp.rzone.de,de,
Wrong TLD,fifa.edu,,?,,edu,
Wrong TLD,fifa.es,81.169.145.159,DE,GERMANY,smtp.rzone.de,es,
Wrong TLD,fifa.fr,216.157.88.21,US,UNITED STATES,,fr,
Wrong TLD,fifa.it,192.64.147.224,,,it,
Wrong TLD,fifa.jp,,?,,jp,
Wrong TLD,fifa.net,165.160.15.20,US,UNITED STATES,custmx.cscdns.net,net,
Wrong TLD,fifa.nl,5.196.110.225,,mail.fifa.nl,nl,
Wrong TLD,fifa.no,194.63.248.52,NO,NORWAY,,no,
Wrong TLD,fifa.org,,?,cluster2.eu.messagelabs.com,org,
Wrong TLD,fifa.ru,109.206.181.75,EU,EUROPEAN UNION,,ru,
Wrong TLD,fifa.se,165.160.13.20,US,UNITED STATES,custmx.cscdns.net,se,
Wrong TLD,fifa.us,68.178.213.61,US,UNITED STATES,,us,

