Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,figoal.com,207.244.67.215,US,UNITED STATES,,com,
Character Omission,filgal.com,199.191.50.73,,,com,
Character Omission,filgoa.com,199.191.50.73,,,com,
Character Omission,filgoal.cm,,?,,cm,
Character Omission,filgol.com,141.8.224.169,CH,SWITZERLAND,,com,
Character Omission,filoal.com,52.73.71.92,US,UNITED STATES,,com,
Character Omission,flgoal.com,,?,,com,
Character Repeat,ffilgoal.com,,?,,com,
Character Repeat,fiilgoal.com,,?,,com,
Character Repeat,filggoal.com,,?,,com,
Character Repeat,filgoaal.com,,?,,com,
Character Repeat,filgoall.com,,?,,com,
Character Repeat,filgooal.com,,?,,com,
Character Repeat,fillgoal.com,199.191.50.73,,,com,
Character Swap,figloal.com,,?,,com,
Character Swap,filgaol.com,67.227.226.240,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Swap,filgola.com,,?,,com,
Character Swap,filogal.com,,?,,com,
Character Swap,fligoal.com,,?,,com,
Character Swap,iflgoal.com,,?,,com,
Character Replacement,dilgoal.com,,?,,com,
Character Replacement,fikgoal.com,,?,,com,
Character Replacement,filfoal.com,,?,,com,
Character Replacement,filgial.com,,?,,com,
Character Replacement,filgoak.com,,?,,com,
Character Replacement,filgosl.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Replacement,filgpal.com,,?,,com,
Character Replacement,filhoal.com,,?,,com,
Character Replacement,folgoal.com,,?,,com,
Character Replacement,fulgoal.com,103.56.106.71,,,com,
Character Replacement,gilgoal.com,,?,,com,
Character Insertion,fdilgoal.com,,?,,com,
Character Insertion,fgilgoal.com,,?,,com,
Character Insertion,filgfoal.com,,?,,com,
Character Insertion,filghoal.com,,?,,com,
Character Insertion,filgoalk.com,,?,,com,
Character Insertion,filgoasl.com,,?,,com,
Character Insertion,filgoial.com,,?,,com,
Character Insertion,filgopal.com,,?,,com,
Character Insertion,filkgoal.com,,?,,com,
Character Insertion,fiolgoal.com,,?,,com,
Character Insertion,fiulgoal.com,,?,,com,
Missing Dot,filgoalcom.com,,?,,com,
Missing Dot,wwwfilgoal.com,184.168.221.26,US,UNITED STATES,smtp.secureserver.net,com,
Singular or Pluralise,filgoals.com,,?,,com,
Vowel Swap,falgoal.com,,?,,com,
Vowel Swap,felgoal.com,,?,,com,
Vowel Swap,filgoel.com,,?,,com,
Vowel Swap,filgoil.com,,?,,com,
Vowel Swap,filgool.com,209.126.123.13,US,UNITED STATES,,com,
Vowel Swap,filgoul.com,,?,,com,
Homophones,fayelgoal.com,,?,,com,
Homophones,feyelgoal.com,,?,,com,
Bit Flipping,bilgoal.com,192.99.160.46,,bilgoal.com,com,
Bit Flipping,fhlgoal.com,,?,,com,
Bit Flipping,fidgoal.com,,?,,com,
Bit Flipping,fihgoal.com,,?,,com,
Bit Flipping,filcoal.com,,?,,com,
Bit Flipping,fileoal.com,,?,,com,
Bit Flipping,filggal.com,,?,,com,
Bit Flipping,filgkal.com,,?,,com,
Bit Flipping,filgmal.com,,?,,com,
Bit Flipping,filgnal.com,,?,,com,
Bit Flipping,filgoad.com,,?,,com,
Bit Flipping,filgoah.com,,?,,com,
Bit Flipping,filgoam.com,,?,,com,
Bit Flipping,filgoan.com,,?,,com,
Bit Flipping,filgocl.com,,?,,com,
Bit Flipping,filgoql.com,,?,,com,
Bit Flipping,filooal.com,,?,,com,
Bit Flipping,filwoal.com,,?,,com,
Bit Flipping,fimgoal.com,,?,,com,
Bit Flipping,fingoal.com,52.71.185.125,US,UNITED STATES,,com,
Bit Flipping,fklgoal.com,,?,,com,
Bit Flipping,fmlgoal.com,,?,,com,
Bit Flipping,fylgoal.com,,?,,com,
Bit Flipping,nilgoal.com,,?,,com,
Bit Flipping,vilgoal.com,52.73.71.92,AU,AUSTRALIA,,com,
Homoglyphs,fi1goa1.com,,?,,com,
Homoglyphs,fi1goal.com,,?,,com,
Homoglyphs,filg0al.com,,?,,com,
Homoglyphs,filgoa1.com,,?,,com,
Homoglyphs,fllgoal.com,199.191.50.73,,,com,
Wrong TLD,filgoal.ca,,?,,ca,
Wrong TLD,filgoal.ch,,?,,ch,
Wrong TLD,filgoal.de,,?,,de,
Wrong TLD,filgoal.edu,,?,,edu,
Wrong TLD,filgoal.es,,?,,es,
Wrong TLD,filgoal.fr,,?,,fr,
Wrong TLD,filgoal.it,,?,,it,
Wrong TLD,filgoal.jp,,?,,jp,
Wrong TLD,filgoal.net,,?,,net,
Wrong TLD,filgoal.nl,,?,,nl,
Wrong TLD,filgoal.no,,?,,no,
Wrong TLD,filgoal.org,198.50.156.210,,filgoal.org,org,
Wrong TLD,filgoal.ru,,?,,ru,
Wrong TLD,filgoal.se,,?,,se,
Wrong TLD,filgoal.us,,?,,us,

