Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,firsdirect.com,67.55.92.184,US,UNITED STATES,mx7.firsdirect.com,com,
Character Omission,firstdiect.com,192.64.147.196,,,com,
Character Omission,firstdirct.com,69.162.80.58,US,UNITED STATES,,com,
Character Omission,firstdirec.com,192.64.147.196,,,com,
Character Omission,firstdirect.cm,,?,,cm,
Character Omission,firstdiret.com,192.64.147.196,,,com,
Character Omission,firstdrect.com,103.224.212.222,,park-mx.above.com,com,
Character Omission,firstirect.com,207.244.67.216,US,UNITED STATES,,com,
Character Omission,firtdirect.com,,?,,com,
Character Omission,fistdirect.com,69.64.147.10,US,UNITED STATES,,com,
Character Omission,frstdirect.com,192.64.147.196,,,com,
Character Repeat,ffirstdirect.com,,?,,com,
Character Repeat,fiirstdirect.com,104.203.144.170,,,com,
Character Repeat,firrstdirect.com,185.53.179.7,,mail.h-email.net,com,
Character Repeat,firsstdirect.com,,?,,com,
Character Repeat,firstddirect.com,,?,,com,
Character Repeat,firstdiirect.com,185.53.178.7,,mail.h-email.net,com,
Character Repeat,firstdirecct.com,185.53.178.6,,mail.h-email.net,com,
Character Repeat,firstdirectt.com,104.203.144.215,,,com,
Character Repeat,firstdireect.com,104.203.144.216,,,com,
Character Repeat,firstdirrect.com,172.107.10.43,,,com,
Character Repeat,firsttdirect.com,103.224.182.239,,mx92.m1bp.com,com,
Character Swap,firsdtirect.com,,?,,com,
Character Swap,firstdierct.com,,?,,com,
Character Swap,firstdircet.com,,?,,com,
Character Swap,firstdiretc.com,,?,,com,
Character Swap,firstdriect.com,,?,,com,
Character Swap,firstidrect.com,216.157.88.23,CA,CANADA,,com,
Character Swap,firtsdirect.com,,?,,com,
Character Swap,fisrtdirect.com,,?,,com,
Character Swap,fristdirect.com,52.71.185.125,US,UNITED STATES,,com,
Character Swap,ifrstdirect.com,,?,,com,
Character Replacement,dirstdirect.com,,?,,com,
Character Replacement,fiestdirect.com,,?,,com,
Character Replacement,firatdirect.com,,?,,com,
Character Replacement,firdtdirect.com,,?,,com,
Character Replacement,firsrdirect.com,213.247.47.190,UA,UKRAINE,mx7.firsrdirect.com,com,
Character Replacement,firstdieect.com,,?,,com,
Character Replacement,firstdirecr.com,,?,,com,
Character Replacement,firstdirecy.com,,?,,com,
Character Replacement,firstdirevt.com,,?,,com,
Character Replacement,firstdirext.com,,?,,com,
Character Replacement,firstdirrct.com,,?,,com,
Character Replacement,firstdirwct.com,172.107.10.42,,,com,
Character Replacement,firstditect.com,,?,,com,
Character Replacement,firstdorect.com,,?,,com,
Character Replacement,firstdurect.com,,?,,com,
Character Replacement,firstfirect.com,,?,,com,
Character Replacement,firstsirect.com,74.206.232.234,US,UNITED STATES,,com,
Character Replacement,firsydirect.com,,?,,com,
Character Replacement,fitstdirect.com,,?,,com,
Character Replacement,forstdirect.com,,?,,com,
Character Replacement,furstdirect.com,,?,,com,
Character Replacement,girstdirect.com,,?,,com,
Character Insertion,fdirstdirect.com,,?,,com,
Character Insertion,fgirstdirect.com,,?,,com,
Character Insertion,fiorstdirect.com,,?,,com,
Character Insertion,firestdirect.com,,?,,com,
Character Insertion,firsatdirect.com,213.247.47.190,ZZ,RESERVED,mx7.firsatdirect.com,com,
Character Insertion,firsdtdirect.com,,?,,com,
Character Insertion,firstdfirect.com,,?,,com,
Character Insertion,firstdiorect.com,,?,,com,
Character Insertion,firstdirectr.com,72.52.4.120,US,UNITED STATES,localhost,com,
Character Insertion,firstdirecty.com,,?,,com,
Character Insertion,firstdirecvt.com,,?,,com,
Character Insertion,firstdirecxt.com,,?,,com,
Character Insertion,firstdirerct.com,,?,,com,
Character Insertion,firstdirewct.com,,?,,com,
Character Insertion,firstdirtect.com,,?,,com,
Character Insertion,firstdiurect.com,,?,,com,
Character Insertion,firstdsirect.com,,?,,com,
