Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,fb.co.za,103.224.182.245,,park-mx.above.com,co.za,
Character Omission,fn.co.za,103.224.182.245,,mx92.m1bp.com,co.za,
Character Repeat,ffnb.co.za,185.53.177.29,,,co.za,
Character Repeat,fnbb.co.za,,?,,co.za,
Character Repeat,fnnb.co.za,,?,,co.za,
Character Swap,fbn.co.za,197.85.184.21,ZA,SOUTH AFRICA,mail.fbn.co.za,co.za,
Character Swap,fnb.co.az,,?,,az,
Character Swap,nfb.co.za,197.242.151.0,ZA,SOUTH AFRICA,za-smtp-inbound-2.mimecast.co.za,co.za,
Character Replacement,dnb.co.za,,?,,co.za,
Character Replacement,fbb.co.za,72.52.4.119,US,UNITED STATES,localhost,co.za,
Character Replacement,fmb.co.za,72.52.4.120,CA,CANADA,localhost,co.za,
Character Replacement,fnn.co.za,129.232.138.174,,mail.fnn.co.za,co.za,
Character Replacement,fnv.co.za,41.203.18.83,ZA,SOUTH AFRICA,za-smtp-inbound-1.mimecast.co.za,co.za,
Character Replacement,gnb.co.za,72.52.4.120,US,UNITED STATES,localhost,co.za,
Character Insertion,fdnb.co.za,,?,,co.za,
Character Insertion,fgnb.co.za,,?,,co.za,
Character Insertion,fnbn.co.za,,?,,co.za,
Character Insertion,fnbv.co.za,,?,,co.za,
Character Insertion,fnmb.co.za,,?,,co.za,
Missing Dot,wwwfnb.co.za,70.32.1.32,US,UNITED STATES,mx92.m1bp.com,co.za,
Singular or Pluralise,fnbs.co.za,,?,,co.za,
Bit Flipping,bnb.co.za,197.242.150.159,ZA,SOUTH AFRICA,bnb.co.za,co.za,
Bit Flipping,f.b.co.za,,?,,co.za,
Bit Flipping,ffb.co.za,72.52.4.120,US,UNITED STATES,localhost,co.za,
Bit Flipping,fjb.co.za,72.52.4.120,US,UNITED STATES,localhost,co.za,
Bit Flipping,flb.co.za,40.69.67.123,US,UNITED STATES,za-smtp-inbound-1.mimecast.co.za,co.za,
Bit Flipping,fnc.co.za,197.242.144.21,ZA,SOUTH AFRICA,mx497708.spe.ucebox.co.za,co.za,
Bit Flipping,fnf.co.za,41.87.239.34,ZA,SOUTH AFRICA,mail.fnf.co.za,co.za,
Bit Flipping,fnj.co.za,72.52.4.120,US,UNITED STATES,localhost,co.za,
Bit Flipping,fnr.co.za,72.52.4.120,US,UNITED STATES,localhost,co.za,
Bit Flipping,fob.co.za,72.52.4.120,US,UNITED STATES,localhost,co.za,
Bit Flipping,nnb.co.za,72.52.4.122,US,UNITED STATES,localhost,co.za,
Bit Flipping,vnb.co.za,185.53.179.8,,mail.h-email.net,co.za,
Wrong TLD,fnb.ca,199.59.242.150,CN,CHINA,mx76.m2bp.com,ca,
Wrong TLD,fnb.ch,72.52.4.120,US,UNITED STATES,localhost,ch,
Wrong TLD,fnb.com,147.202.127.203,US,UNITED STATES,west.smtp.exch082.serverdata.net,com,
Wrong TLD,fnb.de,5.57.41.51,DE,GERMANY,mail.fnb.de,de,
Wrong TLD,fnb.edu,,?,,edu,
Wrong TLD,fnb.es,185.53.178.6,,mail.h-email.net,es,
Wrong TLD,fnb.fr,72.52.4.120,US,UNITED STATES,localhost,fr,
Wrong TLD,fnb.it,,?,mail.fnb.it,it,
Wrong TLD,fnb.jp,157.205.21.135,JP,JAPAN,mxi.alpha-prm.jp,jp,
Wrong TLD,fnb.net,216.87.148.114,US,UNITED STATES,,net,
Wrong TLD,fnb.nl,94.124.120.47,NL,NETHERLANDS,mx.bhosted.nl,nl,
Wrong TLD,fnb.no,213.162.241.2,NO,NORWAY,fnb.no,no,
Wrong TLD,fnb.org,103.224.182.216,,mx92.mb5p.com,org,
Wrong TLD,fnb.ru,188.225.17.73,RU,RUSSIAN FEDERATION,mx2.timeweb.ru,ru,
Wrong TLD,fnb.se,109.74.4.246,SE,SWEDEN,mail.parking.se,se,
Wrong TLD,fnb.us,184.168.221.20,US,UNITED STATES,smtp.secureserver.net,us,
Wrong SLD,fnb.ac.za,,?,,ac.za,
Wrong SLD,fnb.agric.za,,?,,agric.za,
Wrong SLD,fnb.alt.za,,?,,alt.za,
Wrong SLD,fnb.bourse.za,,?,,bourse.za,
Wrong SLD,fnb.city.za,,?,,city.za,
Wrong SLD,fnb.cybernet.za,,?,,cybernet.za,
Wrong SLD,fnb.db.za,,?,,db.za,
Wrong SLD,fnb.edu.za,,?,,edu.za,
Wrong SLD,fnb.gov.za,,?,,gov.za,
Wrong SLD,fnb.grondar.za,,?,,grondar.za,
Wrong SLD,fnb.iaccess.za,,?,,iaccess.za,
Wrong SLD,fnb.imt.za,,?,,imt.za,
Wrong SLD,fnb.inca.za,,?,,inca.za,
Wrong SLD,fnb.law.za,,?,,law.za,
Wrong SLD,fnb.mil.za,,?,,mil.za,
Wrong SLD,fnb.net.za,,?,,net.za,
Wrong SLD,fnb.ngo.za,,?,,ngo.za,
Wrong SLD,fnb.nis.za,,?,,nis.za,
Wrong SLD,fnb.nom.za,78.31.111.139,GB,UNITED KINGDOM,,nom.za,
Wrong SLD,fnb.olivetti.za,,?,,olivetti.za,
Wrong SLD,fnb.org.za,,?,,org.za,
Wrong SLD,fnb.pix.za,,?,,pix.za,
Wrong SLD,fnb.school.za,,?,,school.za,
Wrong SLD,fnb.tm.za,,?,,tm.za,
Wrong SLD,fnb.web.za,,?,,web.za,

