Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,fol.com,75.103.71.184,US,UNITED STATES,cluster6a.us.messagelabs.com,com,
Character Omission,foo.com,23.23.86.44,RU,RUSSIAN FEDERATION,0.0.0.0,com,
Character Omission,fool.cm,199.59.242.150,CN,CHINA,mx76.mb1p.com,cm,
Character Repeat,ffool.com,72.52.4.120,US,UNITED STATES,localhost,com,
Character Repeat,fooll.com,144.76.1.130,DE,GERMANY,,com,
Character Repeat,foool.com,69.172.201.153,US,UNITED STATES,,com,
Character Swap,folo.com,62.149.128.157,IT,ITALY,mx.folo.com,com,
Character Swap,ofol.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Replacement,dool.com,198.212.50.74,,,com,
Character Replacement,fiol.com,83.150.76.109,FI,FINLAND,mail.transaxiom.fi,com,
Character Replacement,foil.com,66.226.70.28,US,UNITED STATES,aspmx2.googlemail.com,com,
Character Replacement,fook.com,72.52.4.120,US,UNITED STATES,localhost,com,
Character Replacement,fopl.com,184.168.221.104,US,UNITED STATES,,com,
Character Replacement,fpol.com,69.172.201.153,US,UNITED STATES,,com,
Character Replacement,gool.com,72.52.4.120,US,UNITED STATES,localhost,com,
Double Character Replacement,fiil.com,23.227.38.32,,qiye163mx02.mxmail.netease.com,com,
Double Character Replacement,fppl.com,45.34.44.38,,,com,
Character Insertion,fdool.com,207.148.248.143,US,UNITED STATES,,com,
Character Insertion,fgool.com,,?,,com,
Character Insertion,foiol.com,,?,,com,
Character Insertion,fooil.com,72.52.4.120,US,UNITED STATES,localhost,com,
Character Insertion,foolk.com,52.71.185.125,US,UNITED STATES,,com,
Character Insertion,foopl.com,184.168.221.96,CA,CANADA,10,com,
Character Insertion,fopol.com,72.52.4.120,US,UNITED STATES,localhost,com,
Missing Dot,foolcom.com,141.8.224.93,SG,SINGAPORE,,com,
Missing Dot,wwwfool.com,144.76.0.242,DE,GERMANY,,com,
Singular or Pluralise,fools.com,68.178.213.61,US,UNITED STATES,,com,
Bit Flipping,bool.com,173.230.152.171,US,UNITED STATES,,com,
Bit Flipping,fgol.com,94.136.40.51,GB,UNITED KINGDOM,mx1.123-reg.co.uk,com,
Bit Flipping,fkol.com,104.160.171.71,,,com,
Bit Flipping,fmol.com,64.84.29.53,US,UNITED STATES,,com,
Bit Flipping,fnol.com,209.99.64.18,NL,NETHERLANDS,,com,
Bit Flipping,fogl.com,88.208.222.216,E­,,mx01.1and1.co.uk,com,
Bit Flipping,fokl.com,69.172.201.153,ÐK,,,com,
Bit Flipping,foml.com,69.172.201.153,US,UNITED STATES,,com,
Bit Flipping,fonl.com,209.61.212.154,US,UNITED STATES,smtp.getontheweb.com,com,
Bit Flipping,food.com,204.78.50.82,US,UNITED STATES,food-com.mail.eo.outlook.com,com,
Bit Flipping,fooh.com,23.23.174.132,AU,AUSTRALIA,,com,
Bit Flipping,foom.com,185.69.101.87,,mail.foom.com,com,
Bit Flipping,foon.com,209.213.97.222,US,UNITED STATES,,com,
Bit Flipping,nool.com,50.63.126.106,US,UNITED STATES,,com,
Bit Flipping,vool.com,207.21.193.22,US,UNITED STATES,,com,
Homoglyphs,f00l.com,52.73.71.92,US,UNITED STATES,,com,
Homoglyphs,f0ol.com,208.75.170.1,CO,COLOMBIA,,com,
Homoglyphs,fo0l.com,208.75.170.1,US,UNITED STATES,,com,
Homoglyphs,foo1.com,,?,,com,
Wrong TLD,fool.ca,104.196.174.208,,fool-ca.mail.protection.outlook.com,ca,
Wrong TLD,fool.ch,208.75.170.1,US,UNITED STATES,,ch,
Wrong TLD,fool.de,35.197.238.166,US,UNITED STATES,fool-de.mail.protection.outlook.com,de,
Wrong TLD,fool.edu,,?,,edu,
Wrong TLD,fool.es,72.52.4.120,US,UNITED STATES,localhost,es,
Wrong TLD,fool.fr,,?,,fr,
Wrong TLD,fool.it,69.172.201.153,US,UNITED STATES,,it,
Wrong TLD,fool.jp,133.130.35.170,JP,JAPAN,mail.fool.jp,jp,
Wrong TLD,fool.net,208.75.170.1,US,UNITED STATES,,net,
Wrong TLD,fool.nl,82.215.19.209,NL,NETHERLANDS,mail.cloud.tele2.nl,nl,
Wrong TLD,fool.no,185.38.45.224,,fool.no,no,
Wrong TLD,fool.org,208.73.211.177,US,UNITED STATES,,org,
Wrong TLD,fool.ru,,?,,ru,
Wrong TLD,fool.se,23.236.62.147,,mail.fool.se,se,
Wrong TLD,fool.us,208.75.170.1,US,UNITED STATES,,us,

