Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,fooball365.com,103.224.212.222,,mx92.m1bp.com,com,
Character Omission,footall365.com,,?,,com,
Character Omission,footbal365.com,141.8.224.169,CH,SWITZERLAND,,com,
Character Omission,football35.com,208.91.197.39,VG,VIRGIN ISLANDS (BRITISH),p.webcom.ctmail.com,com,
Character Omission,football36.com,52.71.185.125,BG,BULGARIA,,com,
Character Omission,football365.cm,,?,,cm,
Character Omission,football65.com,,?,,com,
Character Omission,footbll365.com,,?,,com,
Character Omission,fotball365.com,103.224.212.222,,mx92.m1bp.com,com,
Character Repeat,ffootball365.com,185.53.177.20,,,com,
Character Repeat,foootball365.com,103.224.212.222,,park-mx.above.com,com,
Character Repeat,footbaall365.com,,?,,com,
Character Repeat,football3365.com,,?,,com,
Character Repeat,football3655.com,,?,,com,
Character Repeat,football3665.com,,?,,com,
Character Repeat,footballl365.com,106.186.30.248,JP,JAPAN,mail.footballl365.com,com,
Character Repeat,footbball365.com,,?,,com,
Character Repeat,foottball365.com,,?,,com,
Character Swap,foobtall365.com,,?,,com,
Character Swap,footabll365.com,,?,,com,
Character Swap,footbal3l65.com,,?,,com,
Character Swap,football356.com,184.168.221.83,CO,COLOMBIA,smtp.secureserver.net,com,
Character Swap,football635.com,,?,,com,
Character Swap,footblal365.com,,?,,com,
Character Swap,fotoball365.com,185.53.177.20,,,com,
Character Swap,ofotball365.com,185.53.177.20,,,com,
Character Replacement,dootball365.com,,?,,com,
Character Replacement,fiotball365.com,,?,,com,
Character Replacement,foitball365.com,,?,,com,
Character Replacement,foorball365.com,,?,,com,
Character Replacement,footbakl365.com,,?,,com,
Character Replacement,footbalk365.com,,?,,com,
Character Replacement,football265.com,54.217.222.113,US,UNITED STATES,mail.h-email.net,com,
Character Replacement,football355.com,,?,,com,
Character Replacement,football364.com,184.168.221.27,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Replacement,football366.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Replacement,football375.com,,?,,com,
Character Replacement,football465.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Replacement,footbsll365.com,,?,,com,
Character Replacement,footnall365.com,,?,,com,
Character Replacement,footvall365.com,,?,,com,
Character Replacement,fooyball365.com,,?,,com,
Character Replacement,foptball365.com,185.53.177.20,,,com,
Character Replacement,fpotball365.com,,?,,com,
Character Replacement,gootball365.com,,?,,com,
Double Character Replacement,fiitball365.com,,?,,com,
Double Character Replacement,footbakk365.com,,?,,com,
Double Character Replacement,fpptball365.com,,?,,com,
Character Insertion,fdootball365.com,,?,,com,
Character Insertion,fgootball365.com,,?,,com,
Character Insertion,foiotball365.com,,?,,com,
Character Insertion,fooitball365.com,,?,,com,
Character Insertion,fooptball365.com,,?,,com,
Character Insertion,footbalkl365.com,,?,,com,
Character Insertion,football3265.com,,?,,com,
Character Insertion,football3465.com,,?,,com,
Character Insertion,football3654.com,,?,,com,
Character Insertion,football3656.com,,?,,com,
Character Insertion,football3675.com,,?,,com,
Character Insertion,footballk365.com,,?,,com,
Character Insertion,footbasll365.com,,?,,com,
Character Insertion,footbnall365.com,,?,,com,
Character Insertion,footbvall365.com,,?,,com,
Character Insertion,footrball365.com,,?,,com,
Character Insertion,footyball365.com,,?,,com,
Character Insertion,fopotball365.com,,?,,com,
Missing Dot,football365com.com,,?,,com,
Missing Dot,wwwfootball365.com,,?,,com,
Singular or Pluralise,football365s.com,,?,,com,
Vowel Swap,footbell365.com,,?,,com,
Vowel Swap,footbill365.com,,?,,com,
Vowel Swap,footboll365.com,,?,,com,
Vowel Swap,footbull365.com,,?,,com,
Homophones,footbawl365.com,,?,,com,
Bit Flipping,bootball365.com,,?,,com,
Bit Flipping,fgotball365.com,,?,,com,
Bit Flipping,fkotball365.com,,?,,com,
Bit Flipping,fmotball365.com,,?,,com,
Bit Flipping,fnotball365.com,,?,,com,
Bit Flipping,fogtball365.com,,?,,com,
Bit Flipping,foktball365.com,,?,,com,
Bit Flipping,fomtball365.com,,?,,com,
Bit Flipping,fontball365.com,,?,,com,
Bit Flipping,foo4ball365.com,,?,,com,
Bit Flipping,foodball365.com,,?,,com,
Bit Flipping,foopball365.com,,?,,com,
Bit Flipping,footbadl365.com,,?,,com,
Bit Flipping,footbahl365.com,,?,,com,
Bit Flipping,footbald365.com,,?,,com,
Bit Flipping,footbalh365.com,,?,,com,
Bit Flipping,football165.com,,?,,com,
Bit Flipping,football325.com,,?,,com,
Bit Flipping,football345.com,159.203.78.233,US,UNITED STATES,,com,
Bit Flipping,football361.com,,?,,com,
Bit Flipping,football367.com,,?,,com,
Bit Flipping,football36u.com,,?,,com,
Bit Flipping,football3v5.com,,?,,com,
Bit Flipping,football765.com,,?,,com,
Bit Flipping,footballs65.com,,?,,com,
Bit Flipping,footbalm365.com,,?,,com,
Bit Flipping,footbaln365.com,,?,,com,
Bit Flipping,footbaml365.com,,?,,com,
Bit Flipping,footbanl365.com,,?,,com,
Bit Flipping,footbcll365.com,,?,,com,
Bit Flipping,footbqll365.com,,?,,com,
