Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,fraffinity.net,103.224.212.222,,park-mx.above.com,net,
Character Omission,fuaffinity.net,103.224.212.228,,mx92.mb5p.com,net,
Character Omission,furaffiity.net,,?,,net,
Character Omission,furaffinit.net,95.211.219.66,CH,SWITZERLAND,,net,
Character Omission,furaffinity.ne,,?,,ne,
Character Omission,furaffiniy.net,,?,,net,
Character Omission,furaffinty.net,199.191.50.73,,,net,
Character Omission,furaffnity.net,95.211.219.66,PH,PHILIPPINES,,net,
Character Omission,furafinity.net,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,net,
Character Omission,furffinity.net,199.59.242.150,US,UNITED STATES,mx76.m2bp.com,net,
Character Repeat,ffuraffinity.net,,?,,net,
Character Repeat,furaaffinity.net,,?,,net,
Character Repeat,furafffinity.net,216.157.88.22,US,UNITED STATES,,net,
Character Repeat,furaffiinity.net,103.224.212.252,,mx92.m1bp.com,net,
Character Repeat,furaffiniity.net,,?,,net,
Character Repeat,furaffinitty.net,,?,,net,
Character Repeat,furaffinityy.net,,?,,net,
Character Repeat,furaffinnity.net,,?,,net,
Character Repeat,furraffinity.net,207.244.67.214,US,UNITED STATES,,net,
Character Repeat,fuuraffinity.net,,?,,net,
Character Swap,fruaffinity.net,,?,,net,
Character Swap,fuarffinity.net,103.224.212.222,,mx92.m1bp.com,net,
Character Swap,furaffiinty.net,,?,,net,
Character Swap,furaffiniyt.net,,?,,net,
Character Swap,furaffintiy.net,199.191.50.73,,,net,
Character Swap,furaffniity.net,,?,,net,
Character Swap,furafifnity.net,,?,,net,
Character Swap,furfafinity.net,,?,,net,
Character Swap,ufraffinity.net,,?,,net,
Character Replacement,duraffinity.net,,?,,net,
Character Replacement,firaffinity.net,103.224.182.232,,mx92.m1bp.com,net,
Character Replacement,fueaffinity.net,,?,,net,
Character Replacement,furadfinity.net,,?,,net,
Character Replacement,furafdinity.net,,?,,net,
Character Replacement,furaffibity.net,185.53.179.6,,mail.h-email.net,net,
Character Replacement,furaffimity.net,,?,,net,
Character Replacement,furaffiniry.net,,?,,net,
Character Replacement,furaffinitt.net,141.8.224.93,CH,SWITZERLAND,,net,
Character Replacement,furaffinitu.net,,?,,net,
Character Replacement,furaffiniyy.net,,?,,net,
Character Replacement,furaffinoty.net,,?,,net,
Character Replacement,furaffinuty.net,,?,,net,
Character Replacement,furaffonity.net,103.224.182.243,,park-mx.above.com,net,
Character Replacement,furaffunity.net,,?,,net,
Character Replacement,furafginity.net,,?,,net,
Character Replacement,furagfinity.net,,?,,net,
Character Replacement,fursffinity.net,141.8.224.93,CH,SWITZERLAND,,net,
Character Replacement,futaffinity.net,50.4.5.186,PH,PHILIPPINES,,net,
Character Replacement,fyraffinity.net,,?,,net,
Character Replacement,guraffinity.net,,?,,net,
Double Character Replacement,furaddinity.net,,?,,net,
Double Character Replacement,furagginity.net,,?,,net,
Character Insertion,fduraffinity.net,,?,,net,
Character Insertion,fguraffinity.net,,?,,net,
Character Insertion,fuiraffinity.net,,?,,net,
Character Insertion,furafdfinity.net,,?,,net,
Character Insertion,furaffdinity.net,,?,,net,
Character Insertion,furaffginity.net,,?,,net,
Character Insertion,furaffinbity.net,,?,,net,
Character Insertion,furaffinioty.net,,?,,net,
Character Insertion,furaffinitry.net,,?,,net,
Character Insertion,furaffinityt.net,,?,,net,
Character Insertion,furaffinityu.net,,?,,net,
Character Insertion,furaffiniuty.net,,?,,net,
Character Insertion,furaffinmity.net,,?,,net,
Character Insertion,furaffionity.net,,?,,net,
Character Insertion,furaffiunity.net,,?,,net,
Character Insertion,furafgfinity.net,,?,,net,
Character Insertion,furasffinity.net,,?,,net,
Character Insertion,fureaffinity.net,,?,,net,
Character Insertion,furtaffinity.net,,?,,net,
Character Insertion,fuyraffinity.net,,?,,net,
Missing Dot,furaffinitynet.com,,?,,com,
Missing Dot,wwwfuraffinity.net,,?,,net,
Singular or Pluralise,furaffinities.net,,?,,net,
Vowel Swap,faraffinity.net,,?,,net,
Vowel Swap,feraffinity.net,,?,,net,
Vowel Swap,foraffinity.net,,?,,net,
Vowel Swap,furaffanaty.net,,?,,net,
Vowel Swap,furaffenety.net,,?,,net,
Vowel Swap,furaffonoty.net,,?,,net,
Vowel Swap,furaffunuty.net,,?,,net,
Vowel Swap,fureffinity.net,,?,,net,
Vowel Swap,furiffinity.net,,?,,net,
Vowel Swap,furoffinity.net,,?,,net,
Vowel Swap,furuffinity.net,,?,,net,
Homophones,furaffayenayety.net,,?,,net,
Homophones,furaffeyeneyety.net,,?,,net,
Homophones,furaffiknity.net,,?,,net,
