Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,gaefaqs.com,103.224.212.222,,mx92.mb5p.com,com,
Character Omission,gameaqs.com,95.183.53.20,RU,RUSSIAN FEDERATION,,com,
Character Omission,gamefaq.com,64.30.228.84,PH,PHILIPPINES,,com,
Character Omission,gamefaqs.cm,76.74.212.106,US,UNITED STATES,,cm,
Character Omission,gamefas.com,37.48.65.136,NL,NETHERLANDS,,com,
Character Omission,gamefqs.com,69.172.201.153,PH,PHILIPPINES,,com,
Character Omission,gamfaqs.com,98.124.245.24,US,UNITED STATES,mail.b-io.co,com,
Character Omission,gmefaqs.com,69.162.80.57,US,UNITED STATES,,com,
Character Repeat,gaamefaqs.com,127.0.0.1,ZZ,RESERVED,,com,
Character Repeat,gameefaqs.com,185.53.178.7,,,com,
Character Repeat,gamefaaqs.com,185.53.178.6,,mail.h-email.net,com,
Character Repeat,gamefaqqs.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Repeat,gamefaqss.com,185.53.178.7,,mail.h-email.net,com,
Character Repeat,gameffaqs.com,103.224.182.218,,mx92.m1bp.com,com,
Character Repeat,gammefaqs.com,50.63.202.52,US,UNITED STATES,,com,
Character Repeat,ggamefaqs.com,67.55.92.184,US,UNITED STATES,mx7.ggamefaqs.com,com,
Character Swap,agmefaqs.com,50.63.202.34,US,UNITED STATES,,com,
Character Swap,gaemfaqs.com,23.23.174.132,ID,INDONESIA,,com,
Character Swap,gameafqs.com,69.162.80.51,US,UNITED STATES,,com,
Character Swap,gamefasq.com,103.224.182.218,,park-mx.above.com,com,
Character Swap,gamefqas.com,103.224.182.218,,mx92.m1bp.com,com,
Character Swap,gamfeaqs.com,103.224.182.218,,mx92.mb5p.com,com,
Character Swap,gmaefaqs.com,103.224.182.244,,mx92.mb5p.com,com,
Character Replacement,famefaqs.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Character Replacement,gamedaqs.com,103.224.182.218,,mx92.mb5p.com,com,
Character Replacement,gamefaqa.com,52.71.185.125,LK,SRI LANKA,,com,
Character Replacement,gamefaqd.com,103.224.182.218,,mx92.m1bp.com,com,
Character Replacement,gamefaws.com,34.196.13.28,US,UNITED STATES,mail.happyisp.com,com,
Character Replacement,gamefsqs.com,103.224.182.218,,mx92.m1bp.com,com,
Character Replacement,gamegaqs.com,103.224.212.237,,mx92.m1bp.com,com,
Character Replacement,gamrfaqs.com,103.224.182.251,,mx92.m1bp.com,com,
Character Replacement,gamwfaqs.com,103.224.212.222,,mx92.m1bp.com,com,
Character Replacement,ganefaqs.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Character Replacement,gsmefaqs.com,209.126.123.13,US,UNITED STATES,,com,
Character Replacement,hamefaqs.com,103.224.182.218,,mx92.m1bp.com,com,
Character Insertion,gamefaqsa.com,,?,,com,
Character Insertion,gamefaqsd.com,,?,,com,
Character Insertion,gamefaqws.com,103.224.182.244,,mx92.m1bp.com,com,
Character Insertion,gamefasqs.com,,?,,com,
Character Insertion,gamefdaqs.com,,?,,com,
Character Insertion,gamefgaqs.com,,?,,com,
Character Insertion,gamerfaqs.com,127.0.0.1,ZZ,RESERVED,,com,
Character Insertion,gamewfaqs.com,,?,,com,
Character Insertion,gamnefaqs.com,,?,,com,
Character Insertion,gasmefaqs.com,,?,,com,
Character Insertion,gfamefaqs.com,,?,,com,
Character Insertion,ghamefaqs.com,,?,,com,
Missing Dot,gamefaqscom.com,52.73.71.92,AT,AUSTRIA,,com,
Missing Dot,wwwgamefaqs.com,185.53.178.6,,,com,
Vowel Swap,gamafaqs.com,,?,,com,
Vowel Swap,gamifaqs.com,,?,,com,
Vowel Swap,gamofaqs.com,,?,,com,
Vowel Swap,gamufaqs.com,,?,,com,
Vowel Swap,gemefeqs.com,,?,,com,
Vowel Swap,gimefiqs.com,,?,,com,
Vowel Swap,gomefoqs.com,,?,,com,
Vowel Swap,gumefuqs.com,,?,,com,
Bit Flipping,camefaqs.com,,?,,com,
Bit Flipping,eamefaqs.com,,?,,com,
Bit Flipping,ga-efaqs.com,,?,,com,
Bit Flipping,gaeefaqs.com,,?,,com,
Bit Flipping,gaiefaqs.com,,?,,com,
Bit Flipping,galefaqs.com,,?,,com,
Bit Flipping,gamdfaqs.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Bit Flipping,gamebaqs.com,,?,,com,
Bit Flipping,gamefa1s.com,,?,,com,
Bit Flipping,gamefaas.com,,?,,com,
Bit Flipping,gamefaps.com,184.168.221.60,US,UNITED STATES,smtp.secureserver.net,com,
Bit Flipping,gamefaq3.com,,?,,com,
Bit Flipping,gamefaqc.com,199.191.50.73,,,com,
Bit Flipping,gamefaqq.com,,?,,com,
Bit Flipping,gamefaqr.com,,?,,com,
Bit Flipping,gamefaqw.com,,?,,com,
Bit Flipping,gamefass.com,,?,,com,
Bit Flipping,gamefaus.com,,?,,com,
Bit Flipping,gamefays.com,,?,,com,
Bit Flipping,gamefcqs.com,,?,,com,
Bit Flipping,gamefeqs.com,,?,,com,
Bit Flipping,gamefiqs.com,,?,,com,
Bit Flipping,gamefqqs.com,,?,,com,
Bit Flipping,gamenaqs.com,,?,,com,
Bit Flipping,gamevaqs.com,,?,,com,
Bit Flipping,gamgfaqs.com,,?,,com,
Bit Flipping,gammfaqs.com,,?,,com,
Bit Flipping,gaoefaqs.com,,?,,com,
Bit Flipping,gcmefaqs.com,,?,,com,
Bit Flipping,gemefaqs.com,,?,,com,
Bit Flipping,gimefaqs.com,,?,,com,
Bit Flipping,gqmefaqs.com,,?,,com,
Bit Flipping,oamefaqs.com,,?,,com,
Bit Flipping,wamefaqs.com,,?,,com,
Homoglyphs,garnefaqs.com,,?,,com,
Wrong TLD,gamefaqs.ca,50.63.202.19,US,UNITED STATES,smtp.secureserver.net,ca,
Wrong TLD,gamefaqs.ch,,?,,ch,
Wrong TLD,gamefaqs.de,78.46.64.4,PH,PHILIPPINES,mx179.mb5p.com,de,
Wrong TLD,gamefaqs.edu,,?,,edu,
Wrong TLD,gamefaqs.es,,?,,es,
Wrong TLD,gamefaqs.fr,,?,,fr,
Wrong TLD,gamefaqs.it,185.53.178.9,,mail.h-email.net,it,
