Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,ga.com,64.89.44.97,US,UNITED STATES,ip1.ga.com,com,
Character Omission,gap.cm,72.52.10.14,US,UNITED STATES,bh.markmonitor.com,cm,
Character Omission,gp.com,213.212.81.71,GB,UNITED KINGDOM,mxb-00164e01.gslb.pphosted.com,com,
Character Repeat,gaap.com,96.94.93.49,US,UNITED STATES,mx1-us1.ppe-hosted.com,com,
Character Repeat,gapp.com,121.254.178.253,KR,KOREA REPUBLIC OF,,com,
Character Repeat,ggap.com,176.74.176.187,`},,,com,
Character Swap,agp.com,68.107.193.10,US,UNITED STATES,mxb-00268701.gslb.pphosted.com,com,
Character Swap,gpa.com,69.172.201.153,US,UNITED STATES,,com,
Character Replacement,fap.com,141.0.173.170,AU,AUSTRALIA,fap.com,com,
Character Replacement,gao.com,104.236.156.216,,,com,
Character Replacement,gsp.com,52.202.27.192,US,UNITED STATES,abacus.gsp.com,com,
Character Replacement,hap.com,,?,,com,
Character Insertion,gapo.com,185.53.178.9,,mail.h-email.net,com,
Character Insertion,gasp.com,54.154.113.14,US,UNITED STATES,mail.gasp.com,com,
Character Insertion,gfap.com,69.172.201.153,US,UNITED STATES,,com,
Character Insertion,ghap.com,69.172.201.153,RU,RUSSIAN FEDERATION,,com,
Missing Dot,gapcom.com,69.64.156.54,US,UNITED STATES,mx.gapcom.com.cust.a.hostedemail.com,com,
Missing Dot,wwwgap.com,69.90.127.120,US,UNITED STATES,,com,
Singular or Pluralise,gaps.com,72.52.178.95,TH,THAILAND,gaps.com,com,
Vowel Swap,gep.com,54.85.186.230,US,UNITED STATES,gep-com.mail.protection.outlook.com,com,
Vowel Swap,gip.com,213.139.134.77,DE,GERMANY,mailgw.gip.com,com,
Vowel Swap,gop.com,151.101.193.127,US,UNITED STATES,barracuda1.smartechcorp.net,com,
Vowel Swap,gup.com,75.126.100.22,US,UNITED STATES,,com,
Bit Flipping,cap.com,69.172.201.153,Bâ,,,com,
Bit Flipping,eap.com,66.226.76.58,US,UNITED STATES,mx1.emailsrvr.com,com,
Bit Flipping,ga0.com,184.168.221.104,US,UNITED STATES,,com,
Bit Flipping,gaq.com,69.172.201.153,CO,COLOMBIA,,com,
Bit Flipping,gar.com,208.73.210.202,US,UNITED STATES,,com,
Bit Flipping,gat.com,,?,ip2.ga.com,com,
Bit Flipping,gax.com,23.253.149.37,,smtp.secureserver.net,com,
Bit Flipping,gcp.com,192.185.141.133,,gcp.com,com,
Bit Flipping,gqp.com,209.61.212.114,US,UNITED STATES,smtp.getontheweb.com,com,
Bit Flipping,oap.com,69.49.101.51,US,UNITED STATES,mx1c11.megamailservers.com,com,
Bit Flipping,wap.com,185.35.88.6,,,com,
Wrong TLD,gap.ca,198.153.202.150,US,UNITED STATES,mailroom.gadventures.com,ca,
Wrong TLD,gap.ch,80.74.144.231,CH,SWITZERLAND,mail.gap.ch,ch,
Wrong TLD,gap.de,198.153.202.150,US,UNITED STATES,,de,
Wrong TLD,gap.edu,,?,,edu,
Wrong TLD,gap.es,72.52.10.14,UA,UKRAINE,,es,
Wrong TLD,gap.fr,212.51.186.250,FR,FRANCE,mail.gap.fr.gap.fr,fr,
Wrong TLD,gap.it,162.13.68.167,GB,UNITED KINGDOM,aspmx3.googlemail.com,it,
Wrong TLD,gap.jp,72.52.10.14,US,UNITED STATES,mail.gap.com,jp,
Wrong TLD,gap.net,45.40.164.136,,mailstore1.secureserver.net,net,
Wrong TLD,gap.nl,72.52.10.14,US,UNITED STATES,,nl,
Wrong TLD,gap.no,194.63.248.47,NO,NORWAY,,no,
Wrong TLD,gap.org,104.25.20.99,,,org,
Wrong TLD,gap.ru,74.119.192.120,US,UNITED STATES,gap.ru,ru,
Wrong TLD,gap.se,217.151.195.61,SE,SWEDEN,nw-smtp.wineasy.se,se,
Wrong TLD,gap.us,67.199.248.12,US,UNITED STATES,,us,

