Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,gaboystube.com,103.224.212.228,,mx92.mb5p.com,com,
Character Omission,gaybostube.com,37.48.65.143,NL,NETHERLANDS,,com,
Character Omission,gayboystbe.com,103.224.212.252,,park-mx.above.com,com,
Character Omission,gayboystub.com,199.115.115.119,US,UNITED STATES,,com,
Character Omission,gayboystube.cm,85.25.199.30,DE,GERMANY,,cm,
Character Omission,gayboystue.com,67.55.92.184,US,UNITED STATES,mx7.gayboystue.com,com,
Character Omission,gayboysube.com,,?,,com,
Character Omission,gayboytube.com,98.124.245.24,US,UNITED STATES,mail.b-io.co,com,
Character Omission,gaybystube.com,67.55.92.187,US,UNITED STATES,mx7.gaybystube.com,com,
Character Omission,gayoystube.com,204.11.56.37,,,com,
Character Omission,gyboystube.com,192.184.12.62,,park-mx.above.com,com,
Character Repeat,gaayboystube.com,,?,,com,
Character Repeat,gaybboystube.com,,?,,com,
Character Repeat,gaybooystube.com,,?,,com,
Character Repeat,gayboysstube.com,,?,,com,
Character Repeat,gayboysttube.com,45.56.68.98,,mail.mxproc.com,com,
Character Repeat,gayboystubbe.com,199.191.50.142,,,com,
Character Repeat,gayboystubee.com,,?,,com,
Character Repeat,gayboystuube.com,,?,,com,
Character Repeat,gayboyystube.com,,?,,com,
Character Repeat,gayyboystube.com,,?,,com,
Character Repeat,ggayboystube.com,,?,,com,
Character Swap,agyboystube.com,,?,,com,
Character Swap,gabyoystube.com,,?,,com,
Character Swap,gaybosytube.com,104.164.150.158,,,com,
Character Swap,gayboystbue.com,103.224.212.222,,mx92.m1bp.com,com,
Character Swap,gayboystueb.com,103.224.212.222,,mx92.m1bp.com,com,
Character Swap,gayboysutbe.com,173.239.5.6,US,UNITED STATES,mx7.gayboysutbe.com,com,
Character Swap,gayboytsube.com,,?,,com,
Character Swap,gaybyostube.com,,?,,com,
Character Swap,gayobystube.com,,?,,com,
Character Swap,gyaboystube.com,,?,,com,
Character Replacement,fayboystube.com,,?,,com,
Character Replacement,gatboystube.com,173.239.8.164,US,UNITED STATES,mx7.gatboystube.com,com,
Character Replacement,gauboystube.com,,?,,com,
Character Replacement,gaybiystube.com,,?,,com,
Character Replacement,gaybotstube.com,67.55.92.184,US,UNITED STATES,mx7.gaybotstube.com,com,
Character Replacement,gayboustube.com,103.224.212.235,,mx92.mb5p.com,com,
Character Replacement,gayboyatube.com,,?,,com,
Character Replacement,gayboydtube.com,,?,,com,
Character Replacement,gayboysrube.com,,?,,com,
Character Replacement,gayboystibe.com,,?,,com,
Character Replacement,gayboystubr.com,103.224.182.251,,mx92.m1bp.com,com,
Character Replacement,gayboystubw.com,,?,,com,
Character Replacement,gayboystune.com,103.224.212.222,,mx92.mb5p.com,com,
Character Replacement,gayboystuve.com,70.32.1.32,US,UNITED STATES,mx92.m1bp.com,com,
Character Replacement,gayboystybe.com,,?,,com,
Character Replacement,gayboysyube.com,,?,,com,
Character Replacement,gaybpystube.com,103.224.212.243,,park-mx.above.com,com,
Character Replacement,gaynoystube.com,67.55.92.187,IN,INDIA,mx7.gaynoystube.com,com,
Character Replacement,gayvoystube.com,,?,,com,
Character Replacement,gsyboystube.com,,?,,com,
Character Replacement,hayboystube.com,,?,,com,
Character Insertion,gasyboystube.com,,?,,com,
Character Insertion,gaybnoystube.com,,?,,com,
Character Insertion,gayboiystube.com,,?,,com,
Character Insertion,gaybopystube.com,,?,,com,
Character Insertion,gayboysatube.com,,?,,com,
Character Insertion,gayboysdtube.com,,?,,com,
Character Insertion,gayboystrube.com,,?,,com,
Character Insertion,gayboystuber.com,,?,,com,
Character Insertion,gayboystubew.com,,?,,com,
Character Insertion,gayboystubne.com,,?,,com,
Character Insertion,gayboystubve.com,,?,,com,
Character Insertion,gayboystuibe.com,,?,,com,
Character Insertion,gayboystuybe.com,,?,,com,
Character Insertion,gayboystyube.com,,?,,com,
Character Insertion,gayboytstube.com,,?,,com,
Character Insertion,gayboyustube.com,,?,,com,
Character Insertion,gaybvoystube.com,,?,,com,
Character Insertion,gaytboystube.com,,?,,com,
Character Insertion,gayuboystube.com,,?,,com,
Character Insertion,gfayboystube.com,,?,,com,
Character Insertion,ghayboystube.com,,?,,com,
Missing Dot,gayboystubecom.com,103.224.212.222,,mx92.m1bp.com,com,
Missing Dot,wwwgayboystube.com,185.53.178.7,,,com,
Singular or Pluralise,gayboystubes.com,103.224.212.222,,park-mx.above.com,com,
Vowel Swap,gayboystabe.com,,?,,com,
Vowel Swap,gayboystebe.com,,?,,com,
Vowel Swap,gayboystobe.com,,?,,com,
Vowel Swap,gayboystuba.com,,?,,com,
Vowel Swap,gayboystubi.com,,?,,com,
Vowel Swap,gayboystubo.com,,?,,com,
Vowel Swap,gayboystubu.com,,?,,com,
Vowel Swap,geyboystube.com,,?,,com,
Vowel Swap,giyboystube.com,,?,,com,
Vowel Swap,goyboystube.com,,?,,com,
Vowel Swap,guyboystube.com,,?,,com,
Homophones,gaybuoystube.com,,?,,com,
Bit Flipping,cayboystube.com,,?,,com,
Bit Flipping,eayboystube.com,,?,,com,
Bit Flipping,ga9boystube.com,,?,,com,
Bit Flipping,gaiboystube.com,,?,,com,
Bit Flipping,gaqboystube.com,,?,,com,
Bit Flipping,gaxboystube.com,,?,,com,
Bit Flipping,gaybgystube.com,,?,,com,
Bit Flipping,gaybkystube.com,,?,,com,
Bit Flipping,gaybmystube.com,,?,,com,
Bit Flipping,gaybnystube.com,,?,,com,
Bit Flipping,gaybo9stube.com,,?,,com,
Bit Flipping,gayboistube.com,,?,,com,
Bit Flipping,gayboqstube.com,,?,,com,
Bit Flipping,gayboxstube.com,,?,,com,
Bit Flipping,gayboy3tube.com,,?,,com,
Bit Flipping,gayboyctube.com,,?,,com,
Bit Flipping,gayboyqtube.com,,?,,com,
Bit Flipping,gayboyrtube.com,,?,,com,
Bit Flipping,gayboys4ube.com,,?,,com,
Bit Flipping,gayboysdube.com,,?,,com,
Bit Flipping,gayboyspube.com,,?,,com,
Bit Flipping,gayboyst5be.com,,?,,com,
Bit Flipping,gayboystqbe.com,,?,,com,
Bit Flipping,gayboysttbe.com,,?,,com,
Bit Flipping,gayboystubd.com,,?,,com,
Bit Flipping,gayboystubg.com,,?,,com,
Bit Flipping,gayboystubm.com,,?,,com,
Bit Flipping,gayboystuce.com,,?,,com,
Bit Flipping,gayboystufe.com,,?,,com,
Bit Flipping,gayboystuje.com,,?,,com,
Bit Flipping,gayboysture.com,,?,,com,
Bit Flipping,gayboystwbe.com,,?,,com,
