Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,glbaltimes.cn,,?,,cn,
Character Omission,gloaltimes.cn,,?,,cn,
Character Omission,globalimes.cn,,?,,cn,
Character Omission,globalties.cn,,?,,cn,
Character Omission,globaltime.cn,223.6.123.153,CN,CHINA,mail.globaltime.cn,cn,
Character Omission,globaltims.cn,,?,,cn,
Character Omission,globaltmes.cn,,?,,cn,
Character Omission,globatimes.cn,,?,,cn,
Character Omission,globltimes.cn,,?,,cn,
Character Omission,gobaltimes.cn,,?,,cn,
Character Repeat,gglobaltimes.cn,,?,,cn,
Character Repeat,gllobaltimes.cn,,?,,cn,
Character Repeat,globaaltimes.cn,,?,,cn,
Character Repeat,globalltimes.cn,,?,,cn,
Character Repeat,globaltiimes.cn,,?,,cn,
Character Repeat,globaltimees.cn,,?,,cn,
Character Repeat,globaltimess.cn,,?,,cn,
Character Repeat,globaltimmes.cn,,?,,cn,
Character Repeat,globalttimes.cn,,?,,cn,
Character Repeat,globbaltimes.cn,,?,,cn,
Character Repeat,gloobaltimes.cn,,?,,cn,
Character Swap,glboaltimes.cn,,?,,cn,
Character Swap,gloabltimes.cn,,?,,cn,
Character Swap,globalitmes.cn,,?,,cn,
Character Swap,globaltiems.cn,,?,,cn,
Character Swap,globaltimes.nc,,?,,nc,
Character Swap,globaltimse.cn,,?,,cn,
Character Swap,globaltmies.cn,,?,,cn,
Character Swap,globatlimes.cn,,?,,cn,
Character Swap,globlatimes.cn,,?,,cn,
Character Swap,golbaltimes.cn,,?,,cn,
Character Swap,lgobaltimes.cn,,?,,cn,
Character Replacement,flobaltimes.cn,,?,,cn,
Character Replacement,gkobaltimes.cn,,?,,cn,
Character Replacement,glibaltimes.cn,,?,,cn,
Character Replacement,globaktimes.cn,,?,,cn,
Character Replacement,globalrimes.cn,,?,,cn,
Character Replacement,globaltimea.cn,,?,,cn,
Character Replacement,globaltimed.cn,,?,,cn,
Character Replacement,globaltimes.cm,,?,,cm,
Character Replacement,globaltimes.vn,,?,mail.globaltimes.vn,vn,
Character Replacement,globaltimrs.cn,,?,,cn,
Character Replacement,globaltimws.cn,,?,,cn,
Character Replacement,globaltines.cn,,?,,cn,
Character Replacement,globaltomes.cn,,?,,cn,
Character Replacement,globaltumes.cn,,?,,cn,
Character Replacement,globalyimes.cn,,?,,cn,
Character Replacement,globsltimes.cn,,?,,cn,
Character Replacement,glonaltimes.cn,,?,,cn,
Character Replacement,glovaltimes.cn,,?,,cn,
Character Replacement,glpbaltimes.cn,,?,,cn,
Character Replacement,hlobaltimes.cn,,?,,cn,
Character Insertion,gflobaltimes.cn,,?,,cn,
Character Insertion,ghlobaltimes.cn,,?,,cn,
Character Insertion,glkobaltimes.cn,,?,,cn,
Character Insertion,globalktimes.cn,,?,,cn,
Character Insertion,globaltimers.cn,,?,,cn,
Character Insertion,globaltimesa.cn,,?,,cn,
Character Insertion,globaltimesd.cn,,?,,cn,
Character Insertion,globaltimews.cn,,?,,cn,
Character Insertion,globaltimnes.cn,,?,,cn,
Character Insertion,globaltiomes.cn,,?,,cn,
Character Insertion,globaltiumes.cn,,?,,cn,
Character Insertion,globaltrimes.cn,,?,,cn,
Character Insertion,globaltyimes.cn,,?,,cn,
Character Insertion,globasltimes.cn,,?,,cn,
Character Insertion,globnaltimes.cn,,?,,cn,
Character Insertion,globvaltimes.cn,,?,,cn,
Character Insertion,gloibaltimes.cn,,?,,cn,
Character Insertion,glopbaltimes.cn,,?,,cn,
Missing Dot,globaltimescn.com,209.99.40.223,US,UNITED STATES,,com,
Missing Dot,wwwglobaltimes.cn,,?,,cn,
Vowel Swap,glabaltimes.cn,,?,,cn,
Vowel Swap,glebaltimes.cn,,?,,cn,
Vowel Swap,globaltames.cn,,?,,cn,
Vowel Swap,globaltemes.cn,,?,,cn,
Vowel Swap,globaltimas.cn,,?,,cn,
Vowel Swap,globaltimis.cn,,?,,cn,
Vowel Swap,globaltimos.cn,,?,,cn,
Vowel Swap,globaltimus.cn,,?,,cn,
Vowel Swap,globeltimes.cn,,?,,cn,
Vowel Swap,globiltimes.cn,,?,,cn,
Vowel Swap,globoltimes.cn,,?,,cn,
Vowel Swap,globultimes.cn,,?,,cn,
Vowel Swap,glubaltimes.cn,,?,,cn,
Homophones,globaltayemes.cn,,?,,cn,
Homophones,globalteyemes.cn,,?,,cn,
Homophones,globalthymes.cn,,?,,cn,
Homophones,glowbaltimes.cn,,?,,cn,
Bit Flipping,clobaltimes.cn,,?,,cn,
Bit Flipping,elobaltimes.cn,,?,,cn,
Bit Flipping,gdobaltimes.cn,,?,,cn,
Bit Flipping,ghobaltimes.cn,,?,,cn,
Bit Flipping,glgbaltimes.cn,,?,,cn,
Bit Flipping,glkbaltimes.cn,,?,,cn,
Bit Flipping,glmbaltimes.cn,,?,,cn,
Bit Flipping,glnbaltimes.cn,,?,,cn,
Bit Flipping,globadtimes.cn,,?,,cn,
