Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,g.com,,?,,com,
Character Omission,gq.cm,,?,,cm,
Character Repeat,ggq.com,,?,,com,
Character Repeat,gqq.com,47.89.24.50,CA,CANADA,,com,
Character Swap,qg.com,161.49.249.69,US,UNITED STATES,sxexfilter2.qg.com,com,
Character Replacement,fq.com,106.186.123.207,JP,JAPAN,mx67.dns.com.cn,com,
Character Replacement,gw.com,204.80.150.7,IT,ITALY,alt2.aspmx.l.google.com,com,
Character Replacement,hq.com,185.26.230.129,,,com,
Character Insertion,gfq.com,184.168.202.1,US,UNITED STATES,smtp.secureserver.net,com,
Character Insertion,ghq.com,61.8.186.3,AU,AUSTRALIA,p.webcom.ctmail.com,com,
Character Insertion,gqw.com,69.64.147.244,UA,UKRAINE,,com,
Missing Dot,gqcom.com,103.224.182.216,,mx92.mb5p.com,com,
Missing Dot,wwwgq.com,,?,,com,
Singular or Pluralise,gqs.com,91.195.240.135,DE,GERMANY,,com,
Bit Flipping,cq.com,63.251.90.8,US,UNITED STATES,alt1.aspmx.l.google.com,com,
Bit Flipping,eq.com,,?,,com,
Bit Flipping,g1.com,199.33.137.85,US,UNITED STATES,mail.global.frontbridge.com,com,
Bit Flipping,ga.com,64.89.44.97,US,UNITED STATES,ip2.ga.com,com,
Bit Flipping,gp.com,213.212.81.71,GB,UNITED KINGDOM,mxb-00164e01.gslb.pphosted.com,com,
Bit Flipping,gs.com,204.74.99.100,US,UNITED STATES,mxa-0014b501.gslb.pphosted.com,com,
Bit Flipping,gu.com,151.101.192.233,US,UNITED STATES,gu.com.s200a2.psmtp.com,com,
Bit Flipping,gy.com,65.49.61.143,US,UNITED STATES,gy.com,com,
Bit Flipping,oq.com,69.172.201.153,US,UNITED STATES,,com,
Bit Flipping,wq.com,137.59.148.114,,,com,
Wrong TLD,gq.ca,158.69.152.98,US,UNITED STATES,gq.ca,ca,
Wrong TLD,gq.ch,,?,,ch,
Wrong TLD,gq.de,52.51.16.159,US,UNITED STATES,mailin4.rmx.de,de,
Wrong TLD,gq.edu,,?,,edu,
Wrong TLD,gq.es,,?,,es,
Wrong TLD,gq.fr,74.217.253.90,US,UNITED STATES,,fr,
Wrong TLD,gq.it,,?,,it,
Wrong TLD,gq.jp,,?,,jp,
Wrong TLD,gq.net,192.195.77.196,,mx00.1and1.com,net,
Wrong TLD,gq.nl,109.106.167.8,EU,EUROPEAN UNION,postduif.natuurpark.nl,nl,
Wrong TLD,gq.no,212.125.204.196,NO,NORWAY,gq.no,no,
Wrong TLD,gq.org,72.52.4.120,US,UNITED STATES,localhost,org,
Wrong TLD,gq.ru,35.157.25.108,US,UNITED STATES,gq-ru.mail.protection.outlook.com,ru,
Wrong TLD,gq.se,194.9.94.86,SE,SWEDEN,,se,
Wrong TLD,gq.us,,?,,us,

