Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,goupon.com,72.52.4.120,US,UNITED STATES,localhost,com,
Character Omission,gropon.com,165.160.13.20,DE,GERMANY,custmx.cscdns.net,com,
Character Omission,grouon.com,80.92.65.144,LU,LUXEMBOURG,,com,
Character Omission,groupn.com,182.50.148.200,SG,SINGAPORE,,com,
Character Omission,groupo.com,199.83.132.21,US,UNITED STATES,mxa-001e8f02.gslb.pphosted.com,com,
Character Omission,groupon.cm,199.59.242.150,CA,CANADA,mx76.mb1p.com,cm,
Character Omission,grupon.com,165.160.13.20,2u,,custmx.cscdns.net,com,
Character Repeat,ggroupon.com,103.224.182.252,,mx92.m1bp.com,com,
Character Repeat,grooupon.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Repeat,grouponn.com,103.224.182.238,,park-mx.above.com,com,
Character Repeat,groupoon.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Repeat,grouppon.com,199.59.242.150,US,UNITED STATES,mx76.m2bp.com,com,
Character Repeat,grouupon.com,165.160.15.20,US,UNITED STATES,custmx.cscdns.net,com,
Character Repeat,grroupon.com,165.160.13.20,KR,KOREA REPUBLIC OF,custmx.cscdns.net,com,
Character Swap,gorupon.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Swap,gropuon.com,165.160.13.20,US,UNITED STATES,custmx.cscdns.net,com,
Character Swap,grouopn.com,199.59.242.150,NL,NETHERLANDS,mx76.m2bp.com,com,
Character Swap,groupno.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Swap,gruopon.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Swap,rgoupon.com,,?,,com,
Character Replacement,froupon.com,72.52.4.120,US,UNITED STATES,localhost,com,
Character Replacement,geoupon.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Replacement,griupon.com,165.160.15.20,CN,CHINA,custmx.cscdns.net,com,
Character Replacement,groipon.com,199.59.242.150,ID,INDONESIA,mx76.m2bp.com,com,
Character Replacement,grouoon.com,103.224.182.238,,mx92.mb5p.com,com,
Character Replacement,groupin.com,184.168.221.47,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Replacement,groupob.com,70.38.80.228,2u,,mail.groupob.com,com,
Character Replacement,groupom.com,165.160.15.20,US,UNITED STATES,custmx.cscdns.net,com,
Character Replacement,grouppn.com,103.224.182.240,,park-mx.above.com,com,
Character Replacement,groypon.com,72.52.4.120,US,UNITED STATES,localhost,com,
Character Replacement,grpupon.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Replacement,gtoupon.com,199.59.242.150,Ç;,,mx76.m2bp.com,com,
Character Replacement,hroupon.com,103.224.182.240,,mx92.m1bp.com,com,
Character Insertion,gfroupon.com,165.160.15.20,US,UNITED STATES,custmx.cscdns.net,com,
Character Insertion,ghroupon.com,165.160.15.20,US,UNITED STATES,custmx.cscdns.net,com,
Character Insertion,greoupon.com,50.115.210.55,US,UNITED STATES,custmx.cscdns.net,com,
Character Insertion,groiupon.com,165.160.13.20,US,UNITED STATES,custmx.cscdns.net,com,
Character Insertion,gropupon.com,50.115.210.55,US,UNITED STATES,custmx.cscdns.net,com,
Character Insertion,grouipon.com,103.224.182.207,,park-mx.above.com,com,
Character Insertion,groupoin.com,72.52.179.175,CA,CANADA,mx156.hostedmxserver.com,com,
Character Insertion,grouponb.com,165.160.15.20,Ç;,,custmx.cscdns.net,com,
Character Insertion,grouponm.com,103.224.182.245,,mx92.m1bp.com,com,
Character Insertion,groupopn.com,103.224.182.238,,park-mx.above.com,com,
Character Insertion,grouypon.com,165.160.13.20,US,UNITED STATES,custmx.cscdns.net,com,
Character Insertion,grtoupon.com,165.160.13.20,US,UNITED STATES,custmx.cscdns.net,com,
Missing Dot,grouponcom.com,103.224.212.234,,mx92.m1bp.com,com,
Missing Dot,wwwgroupon.com,72.46.232.213,US,UNITED STATES,custmx.cscdns.net,com,
Singular or Pluralise,groupons.com,67.219.148.13,US,UNITED STATES,,com,
Common Misspelling,groapon.com,50.115.210.55,US,UNITED STATES,custmx.cscdns.net,com,
