Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,grbhub.com,141.8.225.80,RO,ROMANIA,,com,
Character Omission,grubhb.com,50.63.202.22,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Omission,grubhu.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Omission,grubhub.cm,72.52.179.174,US,UNITED STATES,mx156.hostedmxserver.com,cm,
Character Omission,grubub.com,184.168.221.14,US,UNITED STATES,smtp.secureserver.net,com,
Character Omission,gruhub.com,158.69.145.48,US,UNITED STATES,,com,
Character Omission,gubhub.com,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Repeat,ggrubhub.com,185.53.179.7,,,com,
Character Repeat,grrubhub.com,67.55.121.97,US,UNITED STATES,,com,
Character Repeat,grubbhub.com,69.162.80.54,US,UNITED STATES,,com,
Character Repeat,grubhhub.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Repeat,grubhubb.com,72.52.4.120,US,UNITED STATES,localhost,com,
Character Repeat,grubhuub.com,185.53.179.8,,,com,
Character Repeat,gruubhub.com,185.53.178.6,,,com,
Character Swap,grbuhub.com,69.172.201.153,AR,ARGENTINA,,com,
Character Swap,grubhbu.com,,?,,com,
Character Swap,grubuhb.com,72.52.4.120,US,UNITED STATES,localhost,com,
Character Swap,gruhbub.com,50.63.202.36,ES,SPAIN,mailstore1.secureserver.net,com,
Character Swap,gurbhub.com,37.48.65.136,NL,NETHERLANDS,,com,
Character Swap,rgubhub.com,,?,,com,
Character Replacement,frubhub.com,103.224.182.243,,mx92.m1bp.com,com,
Character Replacement,geubhub.com,185.53.178.7,,mail.h-email.net,com,
Character Replacement,gribhub.com,98.129.229.166,RU,RUSSIAN FEDERATION,mx2.emailsrvr.com,com,
Character Replacement,grubgub.com,185.53.178.8,,mail.h-email.net,com,
Character Replacement,grubhib.com,69.162.80.52,US,UNITED STATES,,com,
Character Replacement,grubhun.com,199.191.50.73,,,com,
