Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,gmarena.com,207.244.67.139,US,UNITED STATES,,com,
Character Omission,gsarena.com,199.191.50.73,,,com,
Character Omission,gsmaena.com,199.115.115.119,H5,,,com,
Character Omission,gsmarea.com,37.48.65.143,NL,NETHERLANDS,,com,
Character Omission,gsmaren.com,199.115.115.118,US,UNITED STATES,,com,
Character Omission,gsmarena.cm,,?,,cm,
Character Omission,gsmarna.com,199.115.115.116,US,UNITED STATES,,com,
Character Omission,gsmrena.com,207.244.67.218,US,UNITED STATES,,com,
Character Repeat,ggsmarena.com,,?,,com,
Character Repeat,gsmaarena.com,69.172.201.153,US,UNITED STATES,,com,
Character Repeat,gsmareena.com,141.8.224.169,DE,GERMANY,,com,
Character Repeat,gsmarenaa.com,199.191.50.73,,,com,
Character Repeat,gsmarenna.com,141.8.224.169,CH,SWITZERLAND,,com,
Character Repeat,gsmarrena.com,69.172.201.153,US,UNITED STATES,,com,
Character Repeat,gsmmarena.com,199.191.50.73,,,com,
Character Repeat,gssmarena.com,69.162.80.52,US,UNITED STATES,,com,
Character Swap,gmsarena.com,199.115.115.119,US,UNITED STATES,,com,
Character Swap,gsamrena.com,185.53.179.6,,mail.h-email.net,com,
Character Swap,gsmaerna.com,54.72.11.253,US,UNITED STATES,mail.h-email.net,com,
Character Swap,gsmarean.com,199.191.50.73,,,com,
Character Swap,gsmarnea.com,208.91.196.152,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Swap,gsmraena.com,,?,,com,
Character Swap,sgmarena.com,141.8.225.80,CH,SWITZERLAND,,com,
Character Replacement,fsmarena.com,103.224.212.222,,mx92.mb5p.com,com,
Character Replacement,gamarena.com,217.29.233.253,FI,FINLAND,alt1.l.google.com,com,
Character Replacement,gdmarena.com,103.224.212.222,,mx92.m1bp.com,com,
Character Replacement,gsmaeena.com,185.53.179.15,,mail.h-email.net,com,
Character Replacement,gsmareba.com,173.239.5.6,US,UNITED STATES,mx7.gsmareba.com,com,
