Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,harard.edu,,?,,edu,
Character Omission,harvad.edu,,?,,edu,
Character Omission,harvar.edu,,?,,edu,
Character Omission,harvard.eu,212.95.239.234,GB,UNITED KINGDOM,,eu,
Character Omission,harvrd.edu,,?,,edu,
Character Omission,havard.edu,,?,,edu,
Character Omission,hrvard.edu,,?,,edu,
Character Repeat,haarvard.edu,,?,,edu,
Character Repeat,harrvard.edu,,?,,edu,
Character Repeat,harvaard.edu,,?,,edu,
Character Repeat,harvardd.edu,,?,,edu,
Character Repeat,harvarrd.edu,,?,,edu,
Character Repeat,harvvard.edu,,?,,edu,
Character Repeat,hharvard.edu,,?,,edu,
Character Swap,ahrvard.edu,,?,,edu,
Character Swap,haravrd.edu,,?,,edu,
Character Swap,harvadr.edu,,?,,edu,
Character Swap,harvrad.edu,,?,,edu,
Character Swap,havrard.edu,,?,,edu,
Character Swap,hravard.edu,,?,,edu,
Character Replacement,garvard.edu,,?,,edu,
Character Replacement,haevard.edu,,?,,edu,
Character Replacement,harbard.edu,,?,,edu,
Character Replacement,harcard.edu,,?,,edu,
Character Replacement,harvaed.edu,,?,,edu,
Character Replacement,harvarf.edu,,?,,edu,
Character Replacement,harvars.edu,,?,,edu,
Character Replacement,harvatd.edu,,?,,edu,
Character Replacement,harvsrd.edu,,?,,edu,
Character Replacement,hatvard.edu,,?,,edu,
Character Replacement,hsrvard.edu,,?,,edu,
Character Replacement,jarvard.edu,,?,,edu,
Character Insertion,harevard.edu,,?,,edu,
Character Insertion,hartvard.edu,,?,,edu,
Character Insertion,harvardf.edu,,?,,edu,
Character Insertion,harvards.edu,,?,,edu,
Character Insertion,harvared.edu,,?,,edu,
Character Insertion,harvartd.edu,,?,,edu,
Character Insertion,harvasrd.edu,,?,,edu,
Character Insertion,harvbard.edu,,?,,edu,
Character Insertion,harvcard.edu,,?,,edu,
Character Insertion,hasrvard.edu,,?,,edu,
Character Insertion,hgarvard.edu,,?,,edu,
Character Insertion,hjarvard.edu,,?,,edu,
Missing Dot,harvardedu.com,146.148.34.125,GH,GHANA,mail.hope-mail.com,com,
Missing Dot,wwwharvard.edu,,?,,edu,
Vowel Swap,herverd.edu,,?,,edu,
Vowel Swap,hirvird.edu,,?,,edu,
Vowel Swap,horvord.edu,,?,,edu,
Vowel Swap,hurvurd.edu,,?,,edu,
Bit Flipping,ha2vard.edu,,?,,edu,
Bit Flipping,habvard.edu,,?,,edu,
Bit Flipping,hapvard.edu,,?,,edu,
Bit Flipping,har6ard.edu,,?,,edu,
Bit Flipping,harfard.edu,,?,,edu,
Bit Flipping,harrard.edu,,?,,edu,
Bit Flipping,hartard.edu,,?,,edu,
Bit Flipping,harva2d.edu,,?,,edu,
Bit Flipping,harvabd.edu,,?,,edu,
Bit Flipping,harvapd.edu,,?,,edu,
Bit Flipping,harvare.edu,,?,,edu,
Bit Flipping,harvarl.edu,,?,,edu,
Bit Flipping,harvart.edu,,?,,edu,
Bit Flipping,harvasd.edu,,?,,edu,
Bit Flipping,harvavd.edu,,?,,edu,
Bit Flipping,harvazd.edu,,?,,edu,
Bit Flipping,harvcrd.edu,,?,,edu,
Bit Flipping,harverd.edu,,?,,edu,
Bit Flipping,harvird.edu,,?,,edu,
Bit Flipping,harvqrd.edu,,?,,edu,
Bit Flipping,harward.edu,,?,,edu,
Bit Flipping,hasvard.edu,,?,,edu,
Bit Flipping,havvard.edu,,?,,edu,
Bit Flipping,hazvard.edu,,?,,edu,
Bit Flipping,hcrvard.edu,,?,,edu,
Bit Flipping,hervard.edu,,?,,edu,
Bit Flipping,hirvard.edu,,?,,edu,
Bit Flipping,hqrvard.edu,,?,,edu,
Bit Flipping,iarvard.edu,,?,,edu,
Bit Flipping,larvard.edu,,?,,edu,
Bit Flipping,xarvard.edu,,?,,edu,
Homoglyphs,harvarcl.edu,,?,,edu,
Wrong TLD,harvard.ca,209.15.222.220,US,UNITED STATES,d122408b.ess.barracudanetworks.com,ca,
Wrong TLD,harvard.ch,78.46.2.138,Ô`,,mail.harvard.ch,ch,
Wrong TLD,harvard.com,64.64.9.47,UA,UKRAINE,mail.harvard.com,com,
Wrong TLD,harvard.de,144.76.116.42,DE,GERMANY,mail.harvard.de,de,
Wrong TLD,harvard.es,72.52.4.120,US,UNITED STATES,localhost,es,
Wrong TLD,harvard.fr,95.142.101.112,NL,NETHERLANDS,mx01.nexthal.com,fr,
Wrong TLD,harvard.it,62.149.128.157,IT,ITALY,in.mx.trendmicro.eu,it,
Wrong TLD,harvard.jp,106.185.39.218,JP,JAPAN,,jp,
Wrong TLD,harvard.net,204.74.99.100,AT,AUSTRIA,mx4c28.concentric.com,net,
Wrong TLD,harvard.nl,37.97.135.129,RO,ROMANIA,mail.happyisp.com,nl,
Wrong TLD,harvard.no,194.9.94.86,SE,SWEDEN,,no,
Wrong TLD,harvard.org,173.236.178.164,US,UNITED STATES,,org,
Wrong TLD,harvard.ru,109.70.27.4,RU,RUSSIAN FEDERATION,mf1.nic.ru,ru,
Wrong TLD,harvard.se,91.201.60.56,SE,SWEDEN,harvard.se,se,
Wrong TLD,harvard.us,66.80.254.174,DE,GERMANY,,us,

