Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,halthcare.gov,,?,,gov,
Character Omission,healhcare.gov,,?,,gov,
Character Omission,healtcare.gov,,?,,gov,
Character Omission,healthare.gov,,?,,gov,
Character Omission,healthcae.gov,,?,,gov,
Character Omission,healthcar.gov,,?,,gov,
Character Omission,healthcre.gov,,?,,gov,
Character Omission,heathcare.gov,,?,,gov,
Character Omission,helthcare.gov,,?,,gov,
Character Repeat,heaalthcare.gov,,?,,gov,
Character Repeat,heallthcare.gov,,?,,gov,
Character Repeat,healthcaare.gov,,?,,gov,
Character Repeat,healthcaree.gov,,?,,gov,
Character Repeat,healthcarre.gov,,?,,gov,
Character Repeat,healthccare.gov,,?,,gov,
Character Repeat,healthhcare.gov,,?,,gov,
Character Repeat,healtthcare.gov,,?,,gov,
Character Repeat,heealthcare.gov,,?,,gov,
Character Repeat,hhealthcare.gov,,?,,gov,
Character Swap,ehalthcare.gov,,?,,gov,
Character Swap,haelthcare.gov,,?,,gov,
Character Swap,healhtcare.gov,,?,,gov,
Character Swap,healtchare.gov,,?,,gov,
Character Swap,healthacre.gov,,?,,gov,
Character Swap,healthcaer.gov,,?,,gov,
Character Swap,healthcrae.gov,,?,,gov,
Character Swap,heatlhcare.gov,,?,,gov,
Character Swap,helathcare.gov,,?,,gov,
Character Replacement,gealthcare.gov,,?,,gov,
Character Replacement,heakthcare.gov,,?,,gov,
Character Replacement,healrhcare.gov,,?,,gov,
Character Replacement,healtgcare.gov,,?,,gov,
Character Replacement,healthcaee.gov,,?,,gov,
Character Replacement,healthcarr.gov,,?,,gov,
Character Replacement,healthcarw.gov,,?,,gov,
Character Replacement,healthcate.gov,,?,,gov,
Character Replacement,healthcsre.gov,,?,,gov,
Character Replacement,healthvare.gov,,?,,gov,
Character Replacement,healthxare.gov,,?,,gov,
Character Replacement,healtjcare.gov,,?,,gov,
Character Replacement,healyhcare.gov,,?,,gov,
Character Replacement,heslthcare.gov,,?,,gov,
Character Replacement,hralthcare.gov,,?,,gov,
Character Replacement,hwalthcare.gov,,?,,gov,
Character Replacement,jealthcare.gov,,?,,gov,
Character Insertion,healkthcare.gov,,?,,gov,
Character Insertion,healthcarer.gov,,?,,gov,
Character Insertion,healthcarew.gov,,?,,gov,
Character Insertion,healthcarte.gov,,?,,gov,
Character Insertion,healthcasre.gov,,?,,gov,
Character Insertion,healthcvare.gov,,?,,gov,
Character Insertion,healthcxare.gov,,?,,gov,
Character Insertion,healthgcare.gov,,?,,gov,
Character Insertion,healthjcare.gov,,?,,gov,
Character Insertion,healtrhcare.gov,,?,,gov,
Character Insertion,healtyhcare.gov,,?,,gov,
Character Insertion,heaslthcare.gov,,?,,gov,
Character Insertion,heralthcare.gov,,?,,gov,
Character Insertion,hewalthcare.gov,,?,,gov,
Character Insertion,hgealthcare.gov,,?,,gov,
Character Insertion,hjealthcare.gov,,?,,gov,
Missing Dot,healthcaregov.com,69.172.201.153,US,UNITED STATES,,com,
Missing Dot,wwwhealthcare.gov,,?,,gov,
Singular or Pluralise,healthcares.gov,,?,,gov,
Common Misspelling,healthercare.gov,,?,,gov,
Vowel Swap,haalthcara.gov,,?,,gov,
Vowel Swap,heelthcere.gov,,?,,gov,
Vowel Swap,heilthcire.gov,,?,,gov,
Vowel Swap,heolthcore.gov,,?,,gov,
Vowel Swap,heulthcure.gov,,?,,gov,
Vowel Swap,hialthcari.gov,,?,,gov,
Vowel Swap,hoalthcaro.gov,,?,,gov,
Vowel Swap,hualthcaru.gov,,?,,gov,
Homophones,he'llthcare.gov,,?,,gov,
Homophones,healthcour.gov,,?,,gov,
Homophones,heelthcare.gov,,?,,gov,
Bit Flipping,haalthcare.gov,,?,,gov,
Bit Flipping,hdalthcare.gov,,?,,gov,
