Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,halthgrades.com,50.63.202.11,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Omission,healhgrades.com,50.63.202.22,D·,,smtp.secureserver.net,com,
Character Omission,healtgrades.com,184.168.221.10,SG,SINGAPORE,mailstore1.secureserver.net,com,
Character Omission,healthgades.com,50.63.202.25,SG,SINGAPORE,mailstore1.secureserver.net,com,
Character Omission,healthgrade.com,,?,,com,
Character Omission,healthgrades.cm,185.53.179.6,,,cm,
Character Omission,healthgrads.com,50.63.202.12,US,UNITED STATES,smtp.secureserver.net,com,
Character Omission,healthgraes.com,50.63.202.16,CA,CANADA,smtp.secureserver.net,com,
Character Omission,healthgrdes.com,50.63.202.13,US,UNITED STATES,smtp.secureserver.net,com,
Character Omission,healthrades.com,50.63.202.18,US,UNITED STATES,smtp.secureserver.net,com,
Character Omission,heathgrades.com,50.63.202.22,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Omission,helthgrades.com,50.63.202.13,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Repeat,heaalthgrades.com,185.53.179.7,,,com,
Character Repeat,heallthgrades.com,54.72.11.253,CA,CANADA,mail.h-email.net,com,
Character Repeat,healthggrades.com,192.64.147.196,,,com,
Character Repeat,healthgraades.com,68.178.213.61,US,UNITED STATES,,com,
Character Repeat,healthgraddes.com,192.64.147.196,,,com,
Character Repeat,healthgradees.com,185.53.179.8,,,com,
Character Repeat,healthgradess.com,185.53.179.6,,,com,
Character Repeat,healthgrrades.com,185.53.178.8,,mail.h-email.net,com,
Character Repeat,healthhgrades.com,185.53.179.8,,,com,
Character Repeat,healtthgrades.com,206.188.193.212,US,UNITED STATES,mx.myregisteredsite.com,com,
Character Repeat,heealthgrades.com,185.53.179.6,,,com,
Character Repeat,hhealthgrades.com,68.178.213.61,US,UNITED STATES,,com,
Character Swap,ehalthgrades.com,,?,,com,
Character Swap,haelthgrades.com,,?,,com,
Character Swap,healhtgrades.com,50.63.202.63,US,UNITED STATES,smtp.secureserver.net,com,
Character Swap,healtghrades.com,,?,,com,
Character Swap,healthgardes.com,52.71.185.125,US,UNITED STATES,,com,
Character Swap,healthgradse.com,185.53.179.8,,mail.h-email.net,com,
Character Swap,healthgraeds.com,104.202.158.208,,,com,
Character Swap,healthgrdaes.com,,?,,com,
Character Swap,healthrgades.com,,?,,com,
Character Swap,heatlhgrades.com,,?,,com,
Character Swap,helathgrades.com,103.224.182.243,,mx92.m1bp.com,com,
Character Replacement,gealthgrades.com,,?,,com,
Character Replacement,heakthgrades.com,103.224.182.239,,mx92.m1bp.com,com,
Character Replacement,healrhgrades.com,,?,,com,
Character Replacement,healtggrades.com,103.224.182.239,,mx92.m1bp.com,com,
Character Replacement,healthfrades.com,67.55.92.182,US,UNITED STATES,mx7.healthfrades.com,com,
Character Replacement,healthgeades.com,103.224.182.239,,mx92.m1bp.com,com,
Character Replacement,healthgradea.com,45.199.108.111,,,com,
Character Replacement,healthgraded.com,54.72.11.253,US,UNITED STATES,mail.h-email.net,com,
Character Replacement,healthgradrs.com,185.53.178.8,,mail.h-email.net,com,
Character Replacement,healthgradws.com,,?,,com,
Character Replacement,healthgrafes.com,52.73.71.92,US,UNITED STATES,,com,
Character Replacement,healthgrases.com,185.53.178.7,,mail.h-email.net,com,
Character Replacement,healthgrsdes.com,,?,,com,
Character Replacement,healthgtades.com,103.224.182.239,,mx92.m1bp.com,com,
Character Replacement,healthhrades.com,,?,,com,
Character Replacement,healtjgrades.com,185.53.179.8,,mail.h-email.net,com,
Character Replacement,healyhgrades.com,67.55.92.183,RO,ROMANIA,mx7.healyhgrades.com,com,
Character Replacement,heslthgrades.com,103.224.182.239,,park-mx.above.com,com,
Character Replacement,hralthgrades.com,54.72.11.253,US,UNITED STATES,mail.h-email.net,com,
