Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,hart.org,,?,alt3.aspmx.l.google.com,org,
Character Omission,hear.org,128.171.35.76,Ð[,,mailstore1.secureserver.net,org,
Character Omission,heat.org,54.84.45.2,BY,BELARUS,,org,
Character Omission,hert.org,,?,,org,
Character Repeat,heaart.org,185.53.179.8,,,org,
Character Repeat,hearrt.org,185.53.179.8,,,org,
Character Repeat,heartt.org,23.236.62.147,,aspmx.l.google.com,org,
Character Repeat,heeart.org,185.53.178.9,,,org,
Character Repeat,hheart.org,211.43.203.45,KR,KOREA REPUBLIC OF,mailapp.hiworks.co.kr,org,
Character Swap,ehart.org,208.91.197.54,VG,VIRGIN ISLANDS (BRITISH),,org,
Character Swap,haert.org,199.59.242.150,CA,CANADA,mx76.m2bp.com,org,
Character Swap,heatr.org,,?,,org,
Character Swap,herat.org,68.178.213.61,FR,FRANCE,,org,
Character Replacement,geart.org,46.28.105.2,CZ,CZECH REPUBLIC,,org,
Character Replacement,heaet.org,,?,,org,
Character Replacement,hearr.org,104.131.69.100,,smtp.secureserver.net,org,
Character Replacement,heary.org,141.8.224.93,CH,SWITZERLAND,,org,
Character Replacement,heatt.org,217.160.230.205,DE,GERMANY,mx01.1and1.co.uk,org,
Character Replacement,hesrt.org,184.168.221.104,KR,KOREA REPUBLIC OF,,org,
Character Replacement,hrart.org,185.53.179.7,,,org,
Character Replacement,hwart.org,172.107.8.116,,,org,
Character Replacement,jeart.org,192.64.147.183,,,org,
Character Insertion,hearet.org,185.53.178.6,,mail.h-email.net,org,
Character Insertion,heartr.org,,?,,org,
Character Insertion,hearty.org,59.106.113.138,JP,JAPAN,mail.hearty.org,org,
Character Insertion,heasrt.org,,?,,org,
Character Insertion,herart.org,23.239.26.205,,mail.mxproc.com,org,
Character Insertion,hewart.org,,?,,org,
Character Insertion,hgeart.org,,?,,org,
Character Insertion,hjeart.org,,?,,org,
Missing Dot,heartorg.com,72.52.4.120,US,UNITED STATES,localhost,com,
Missing Dot,wwwheart.org,192.64.147.183,,,org,
Singular or Pluralise,hearts.org,,?,,org,
Vowel Swap,haart.org,217.160.233.39,DE,GERMANY,mx01.schlund.de,org,
Vowel Swap,heert.org,185.53.179.6,,,org,
Vowel Swap,heirt.org,,?,,org,
Vowel Swap,heort.org,97.74.144.123,US,UNITED STATES,aspmx2.googlemail.com,org,
Vowel Swap,heurt.org,,?,,org,
Vowel Swap,hiart.org,23.236.62.147,,,org,
Vowel Swap,hoart.org,,?,,org,
Vowel Swap,huart.org,213.186.33.24,FR,FRANCE,mx3.ovh.net,org,
Homophones,heret.org,85.214.142.29,DE,GERMANY,,org,
Bit Flipping,hdart.org,119.84.60.65,CN,CHINA,,org,
Bit Flipping,hea2t.org,,?,,org,
Bit Flipping,heabt.org,,?,,org,
Bit Flipping,heapt.org,,?,,org,
Bit Flipping,hear4.org,,?,,org,
Bit Flipping,heard.org,184.168.146.246,US,UNITED STATES,asp.reflexion.net,org,
Bit Flipping,hearp.org,,?,,org,
Bit Flipping,hearu.org,,?,,org,
Bit Flipping,hearv.org,,?,,org,
Bit Flipping,heast.org,77.244.243.24,AT,AUSTRIA,mx01.easyname.eu,org,
Bit Flipping,heavt.org,,?,,org,
Bit Flipping,heazt.org,,?,,org,
Bit Flipping,hecrt.org,,?,,org,
Bit Flipping,heqrt.org,,?,,org,
Bit Flipping,hgart.org,,?,,org,
Bit Flipping,hmart.org,,?,p.webcom.ctmail.com,org,
Bit Flipping,ieart.org,,?,,org,
Bit Flipping,leart.org,,?,,org,
Bit Flipping,xeart.org,,?,,org,
Wrong TLD,heart.ca,74.208.215.40,DO,DOMINICAN REPUBLIC,mx00.1and1.com,ca,
Wrong TLD,heart.ch,,?,,ch,
Wrong TLD,heart.com,,?,,com,
Wrong TLD,heart.de,80.70.176.149,DE,GERMANY,mx03.vegasystems.de,de,
Wrong TLD,heart.edu,,?,,edu,
Wrong TLD,heart.es,192.64.147.182,,,es,
Wrong TLD,heart.fr,69.172.201.153,US,UNITED STATES,,fr,
Wrong TLD,heart.it,62.149.128.160,ES,SPAIN,mx.heart.it,it,
Wrong TLD,heart.jp,,?,,jp,
Wrong TLD,heart.net,104.236.219.163,,heart-net.mail.protection.outlook.com,net,
Wrong TLD,heart.nl,95.170.72.118,NL,NETHERLANDS,heart-nl.mail.protection.outlook.com,nl,
Wrong TLD,heart.no,185.53.178.8,,,no,
Wrong TLD,heart.ru,31.31.205.163,RU,RUSSIAN FEDERATION,,ru,
Wrong TLD,heart.se,212.18.224.194,,,heart-se.mail.protection.outlook.com,se,
Wrong TLD,heart.us,,?,,us,

