Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,henai2read.com,103.224.212.222,,mx92.m1bp.com,com,
Character Omission,henta2read.com,69.162.80.60,US,UNITED STATES,,com,
Character Omission,hentai2ead.com,103.224.212.222,,mx92.mb5p.com,com,
Character Omission,hentai2rad.com,103.224.212.222,,mx92.mb5p.com,com,
Character Omission,hentai2rea.com,103.224.212.222,,mx92.mb5p.com,com,
Character Omission,hentai2read.cm,85.25.199.30,DE,GERMANY,,cm,
Character Omission,hentai2red.com,,?,,com,
Character Omission,hentairead.com,104.28.20.59,,,com,
Character Omission,henti2read.com,34.196.13.28,US,UNITED STATES,mail.happyisp.com,com,
Character Omission,hetai2read.com,103.224.212.222,,mx92.mb5p.com,com,
Character Omission,hntai2read.com,103.224.212.222,,mx92.m1bp.com,com,
Character Repeat,heentai2read.com,,?,,com,
Character Repeat,henntai2read.com,,?,,com,
Character Repeat,hentaai2read.com,199.59.242.150,US,UNITED STATES,mx76.mb1p.com,com,
Character Repeat,hentai22read.com,,?,,com,
Character Repeat,hentai2reaad.com,103.224.212.222,,mx92.m1bp.com,com,
Character Repeat,hentai2readd.com,,?,,com,
Character Repeat,hentai2reead.com,,?,,com,
Character Repeat,hentai2rread.com,,?,,com,
Character Repeat,hentaii2read.com,,?,,com,
Character Repeat,henttai2read.com,,?,,com,
Character Repeat,hhentai2read.com,74.206.232.234,US,UNITED STATES,,com,
Character Swap,ehntai2read.com,,?,,com,
Character Swap,henati2read.com,207.244.67.218,US,UNITED STATES,,com,
Character Swap,henta2iread.com,,?,,com,
Character Swap,hentai2erad.com,,?,,com,
Character Swap,hentai2raed.com,45.33.9.234,,mail.mxproc.com,com,
Character Swap,hentai2reda.com,,?,,com,
Character Swap,hentair2ead.com,,?,,com,
Character Swap,hentia2read.com,207.244.67.218,US,UNITED STATES,,com,
Character Swap,hetnai2read.com,,?,,com,
Character Swap,hnetai2read.com,,?,,com,
Character Replacement,gentai2read.com,,?,,com,
Character Replacement,hebtai2read.com,213.247.47.190,NL,NETHERLANDS,mx7.hebtai2read.com,com,
Character Replacement,hemtai2read.com,103.224.212.222,,park-mx.above.com,com,
Character Replacement,henrai2read.com,,?,,com,
Character Replacement,hentai1read.com,,?,,com,
Character Replacement,hentai2eead.com,,?,,com,
Character Replacement,hentai2reaf.com,45.33.9.234,,mail.mxproc.com,com,
Character Replacement,hentai2reas.com,,?,,com,
Character Replacement,hentai2resd.com,45.33.9.234,,mail.mxproc.com,com,
Character Replacement,hentai2rrad.com,45.33.9.234,,mail.mxproc.com,com,
Character Replacement,hentai2rwad.com,45.56.120.164,,mail.mxproc.com,com,
Character Replacement,hentai2tead.com,,?,,com,
Character Replacement,hentai3read.com,103.224.212.222,,mx92.mb5p.com,com,
