Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,hgt.com,69.172.201.153,US,UNITED STATES,,com,
Character Omission,hgtv.cm,76.74.212.106,US,UNITED STATES,,cm,
Character Omission,hgv.com,69.20.117.101,US,UNITED STATES,hgv-com.mail.protection.outlook.com,com,
Character Omission,htv.com,52.200.96.128,US,UNITED STATES,,com,
Character Repeat,hggtv.com,72.22.205.14,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Repeat,hgttv.com,199.59.242.150,NO,NORWAY,mx76.m2bp.com,com,
Character Repeat,hgtvv.com,72.22.205.14,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Repeat,hhgtv.com,199.59.242.150,CA,CANADA,mx76.m2bp.com,com,
Character Swap,ghtv.com,184.168.221.96,US,UNITED STATES,10,com,
Character Swap,hgvt.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Character Swap,htgv.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Character Replacement,ggtv.com,98.124.245.24,US,UNITED STATES,mail.b-io.co,com,
Character Replacement,hftv.com,72.52.4.120,US,UNITED STATES,localhost,com,
Character Replacement,hgrv.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Character Replacement,hgtb.com,98.124.245.24,US,UNITED STATES,mail.b-io.co,com,
Character Replacement,hgtc.com,162.215.252.78,,,com,
Character Replacement,hgyv.com,69.172.201.153,CA,CANADA,,com,
Character Replacement,hhtv.com,72.52.4.120,US,UNITED STATES,localhost,com,
Character Replacement,jgtv.com,72.52.4.121,US,UNITED STATES,localhost,com,
Character Insertion,hgftv.com,103.224.182.249,,mx92.m1bp.com,com,
Character Insertion,hghtv.com,67.55.92.183,US,UNITED STATES,mx7.hghtv.com,com,
Character Insertion,hgtrv.com,208.91.196.152,RU,RUSSIAN FEDERATION,,com,
Character Insertion,hgtvb.com,141.8.224.93,mÎ,,,com,
Character Insertion,hgtvc.com,209.99.64.43,US,UNITED STATES,,com,
Character Insertion,hgtyv.com,,?,,com,
Character Insertion,hjgtv.com,50.63.202.29,US,UNITED STATES,,com,
Missing Dot,hgtvcom.com,70.32.1.32,US,UNITED STATES,park-mx.above.com,com,
Missing Dot,wwwhgtv.com,141.8.224.183,CH,SWITZERLAND,,com,
Singular or Pluralise,hgtvs.com,192.64.119.52,,eforward5.registrar-servers.com,com,
Bit Flipping,hctv.com,23.23.174.132,CA,CANADA,,com,
Bit Flipping,hetv.com,72.52.4.120,US,UNITED STATES,localhost,com,
Bit Flipping,hg4v.com,,?,,com,
Bit Flipping,hgdv.com,69.172.201.153,US,UNITED STATES,,com,
Bit Flipping,hgpv.com,208.73.210.202,US,UNITED STATES,,com,
Bit Flipping,hgt6.com,103.13.73.67,AU,AUSTRALIA,,com,
Bit Flipping,hgtf.com,69.172.201.153,US,UNITED STATES,,com,
Bit Flipping,hgtr.com,,?,,com,
Bit Flipping,hgtt.com,72.9.105.30,US,UNITED STATES,,com,
Bit Flipping,hgtw.com,98.124.245.24,US,UNITED STATES,mail.b-io.co,com,
Bit Flipping,hguv.com,176.74.176.187,CA,CANADA,,com,
Bit Flipping,hgvv.com,217.160.0.230,DE,GERMANY,mx01.kundenserver.de,com,
Bit Flipping,hotv.com,176.74.176.187,CN,CHINA,,com,
Bit Flipping,hwtv.com,72.52.4.121,US,UNITED STATES,localhost,com,
Bit Flipping,igtv.com,72.52.4.121,US,UNITED STATES,localhost,com,
Bit Flipping,lgtv.com,69.172.201.153,US,UNITED STATES,,com,
Bit Flipping,xgtv.com,50.63.202.57,US,UNITED STATES,smtp.secureserver.net,com,
Wrong TLD,hgtv.ca,54.208.47.89,CA,CANADA,spamgateway.corusent.com,ca,
Wrong TLD,hgtv.ch,81.169.145.150,DE,GERMANY,smtpin.rzone.de,ch,
Wrong TLD,hgtv.de,81.169.145.90,DE,GERMANY,smtpin.rzone.de,de,
Wrong TLD,hgtv.edu,,?,,edu,
Wrong TLD,hgtv.es,,?,,es,
Wrong TLD,hgtv.fr,,?,,fr,
Wrong TLD,hgtv.it,93.191.168.52,EU,EUROPEAN UNION,,it,
Wrong TLD,hgtv.jp,,?,,jp,
Wrong TLD,hgtv.net,199.115.115.118,US,UNITED STATES,,net,
Wrong TLD,hgtv.nl,85.17.249.247,NL,NETHERLANDS,mail.hgtv.nl,nl,
Wrong TLD,hgtv.no,,?,,no,
Wrong TLD,hgtv.org,85.159.233.40,NL,NETHERLANDS,,org,
Wrong TLD,hgtv.ru,109.206.181.75,EU,EUROPEAN UNION,,ru,
Wrong TLD,hgtv.se,194.9.94.117,SE,SWEDEN,,se,
Wrong TLD,hgtv.us,204.78.50.82,US,UNITED STATES,,us,

