Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,h5.com,69.42.49.17,RO,ROMANIA,h5-com.mail.protection.outlook.com,com,
Character Omission,hi.com,107.180.41.154,,mail.hi.com,com,
Character Omission,hi5.cm,,?,,cm,
Character Repeat,hhi5.com,,?,,com,
Character Repeat,hi55.com,210.56.54.252,HK,HONG KONG,,com,
Character Repeat,hii5.com,68.178.213.61,US,UNITED STATES,,com,
Character Swap,h5i.com,72.52.4.121,US,UNITED STATES,localhost,com,
Character Swap,ih5.com,69.163.161.22,US,UNITED STATES,,com,
Character Replacement,gi5.com,185.53.178.9,,mail.h-email.net,com,
Character Replacement,hi4.com,103.224.182.210,,mx92.m1bp.com,com,
Character Replacement,hi6.com,211.13.196.132,JP,JAPAN,mx.hi6.com,com,
Character Replacement,ho5.com,185.53.179.6,,mail.h-email.net,com,
Character Replacement,hu5.com,69.172.201.153,US,UNITED STATES,,com,
Character Replacement,ji5.com,112.124.116.188,CN,CHINA,mxdomain.qq.com,com,
Character Insertion,hgi5.com,103.13.73.67,AU,AUSTRALIA,,com,
Character Insertion,hi54.com,50.117.120.251,US,UNITED STATES,mail.skrimple.com,com,
Character Insertion,hi56.com,,?,mxn.mxhichina.com,com,
Character Insertion,hio5.com,35.165.255.15,US,UNITED STATES,,com,
Character Insertion,hiu5.com,45.55.118.33,,,com,
Character Insertion,hji5.com,42.156.141.13,CN,CHINA,,com,
Missing Dot,hi5com.com,185.53.178.7,,mail.h-email.net,com,
Missing Dot,wwwhi5.com,208.87.150.50,US,UNITED STATES,,com,
Singular or Pluralise,hi5s.com,216.244.70.194,US,UNITED STATES,mail.hi5s.com,com,
Vowel Swap,ha5.com,185.53.178.7,,mail.h-email.net,com,
Vowel Swap,he5.com,185.53.178.7,,mail.h-email.net,com,
Homophones,haye5.com,,?,,com,
Homophones,heye5.com,43.230.113.193,,,com,
Homophones,high5.com,151.252.41.247,,mailin2.rmx.de,com,
Bit Flipping,hh5.com,47.52.96.92,CA,CANADA,,com,
Bit Flipping,hi1.com,208.73.211.70,US,UNITED STATES,,com,
Bit Flipping,hi7.com,115.28.220.13,CN,CHINA,mxdomain.qq.com,com,
Bit Flipping,hiu.com,75.126.102.250,US,UNITED STATES,,com,
Bit Flipping,hk5.com,180.210.204.192,SG,SINGAPORE,mx.xinnetvip.com,com,
Bit Flipping,hm5.com,69.64.147.243,US,UNITED STATES,,com,
Bit Flipping,hy5.com,69.172.201.153,US,UNITED STATES,,com,
Bit Flipping,ii5.com,52.220.229.78,US,UNITED STATES,aspmx2.googlemail.com,com,
Bit Flipping,li5.com,54.230.19.178,US,UNITED STATES,alt1.aspmx.l.google.com,com,
Bit Flipping,xi5.com,104.160.171.92,,,com,
Homoglyphs,hl5.com,103.61.240.145,,mail.p18017840252.s2546.jianzhanapp.com,com,
Wrong TLD,hi5.ca,54.221.207.100,US,UNITED STATES,mx94.mb1p.com,ca,
Wrong TLD,hi5.ch,217.26.54.18,CH,SWITZERLAND,mx1.mail.hostpoint.ch,ch,
Wrong TLD,hi5.de,134.119.41.43,NO,NORWAY,aspmx.l.google.com,de,
Wrong TLD,hi5.edu,,?,,edu,
Wrong TLD,hi5.es,69.172.201.153,US,UNITED STATES,,es,
Wrong TLD,hi5.fr,185.53.178.9,,mail.h-email.net,fr,
Wrong TLD,hi5.it,185.53.179.6,,,it,
Wrong TLD,hi5.jp,253.122.16.212,ZZ,RESERVED,aspmx5.googlemail.com,jp,
Wrong TLD,hi5.net,192.184.12.62,,mx92.m1bp.com,net,
Wrong TLD,hi5.nl,85.158.203.127,NL,NETHERLANDS,hi5-nl.mail.protection.outlook.com,nl,
Wrong TLD,hi5.no,185.53.178.6,,,no,
Wrong TLD,hi5.org,98.124.245.24,US,UNITED STATES,mail.b-io.co,org,
Wrong TLD,hi5.ru,82.98.86.165,DE,GERMANY,,ru,
Wrong TLD,hi5.se,88.129.170.60,SE,SWEDEN,cmail.com,se,
Wrong TLD,hi5.us,50.63.202.38,US,UNITED STATES,smtp.secureserver.net,us,

