Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,hidawi.com,185.53.178.8,,mail.h-email.net,com,
Character Omission,hinawi.com,66.96.149.24,US,UNITED STATES,mx.hinawi.com,com,
Character Omission,hindai.com,52.71.185.125,US,UNITED STATES,,com,
Character Omission,hindaw.com,,?,,com,
Character Omission,hindawi.cm,,?,,cm,
Character Omission,hindwi.com,,?,,com,
Character Omission,hndawi.com,,?,,com,
Character Repeat,hhindawi.com,,?,,com,
Character Repeat,hiindawi.com,,?,,com,
Character Repeat,hindaawi.com,,?,,com,
Character Repeat,hindawii.com,,?,,com,
Character Repeat,hindawwi.com,,?,,com,
Character Repeat,hinddawi.com,,?,,com,
Character Repeat,hinndawi.com,,?,,com,
Character Swap,hidnawi.com,208.94.118.209,US,UNITED STATES,,com,
Character Swap,hinadwi.com,,?,,com,
Character Swap,hindaiw.com,,?,,com,
Character Swap,hindwai.com,213.247.47.190,NL,NETHERLANDS,mx7.hindwai.com,com,
Character Swap,hnidawi.com,,?,,com,
Character Swap,ihndawi.com,,?,,com,
Character Replacement,gindawi.com,,?,,com,
Character Replacement,hibdawi.com,,?,,com,
Character Replacement,himdawi.com,,?,,com,
Character Replacement,hindaei.com,,?,,com,
Character Replacement,hindaqi.com,,?,,com,
Character Replacement,hindawo.com,,?,,com,
Character Replacement,hindawu.com,,?,,com,
Character Replacement,hindswi.com,,?,,com,
Character Replacement,hinfawi.com,,?,,com,
Character Replacement,hinsawi.com,,?,,com,
Character Replacement,hondawi.com,,?,,com,
Character Replacement,hundawi.com,,?,,com,
Character Replacement,jindawi.com,,?,,com,
Character Insertion,hgindawi.com,,?,,com,
Character Insertion,hinbdawi.com,,?,,com,
Character Insertion,hindaswi.com,,?,,com,
Character Insertion,hindawei.com,,?,,com,
Character Insertion,hindawio.com,,?,,com,
Character Insertion,hindawiu.com,,?,,com,
Character Insertion,hindawqi.com,,?,,com,
Character Insertion,hindfawi.com,,?,,com,
Character Insertion,hindsawi.com,,?,,com,
Character Insertion,hinmdawi.com,,?,,com,
Character Insertion,hiondawi.com,,?,,com,
Character Insertion,hiundawi.com,,?,,com,
Character Insertion,hjindawi.com,,?,,com,
Missing Dot,hindawicom.com,,?,,com,
Missing Dot,wwwhindawi.com,,?,,com,
Singular or Pluralise,hindawis.com,,?,,com,
Vowel Swap,handawa.com,,?,,com,
Vowel Swap,hendawe.com,,?,,com,
Vowel Swap,hindewi.com,,?,,com,
Vowel Swap,hindiwi.com,,?,,com,
Vowel Swap,hindowi.com,,?,,com,
Vowel Swap,hinduwi.com,,?,,com,
Vowel Swap,hondawo.com,,?,,com,
Vowel Swap,hundawu.com,,?,,com,
Homophones,hayendawaye.com,,?,,com,
Homophones,heyendaweye.com,,?,,com,
Homophones,highndawi.com,,?,,com,
Bit Flipping,handawi.com,,?,,com,
Bit Flipping,hhndawi.com,,?,,com,
Bit Flipping,hi.dawi.com,,?,,com,
Bit Flipping,hifdawi.com,,?,,com,
Bit Flipping,hijdawi.com,,?,,com,
Bit Flipping,hildawi.com,,?,,com,
Bit Flipping,hinda7i.com,,?,,com,
Bit Flipping,hindagi.com,,?,,com,
Bit Flipping,hindasi.com,,?,,com,
Bit Flipping,hindaui.com,,?,,com,
Bit Flipping,hindavi.com,166.62.28.130,,alt2.aspmx.l.google.com,com,
Bit Flipping,hindawa.com,,?,,com,
Bit Flipping,hindawh.com,,?,,com,
Bit Flipping,hindawk.com,,?,,com,
Bit Flipping,hindawm.com,,?,,com,
Bit Flipping,hindawy.com,,?,,com,
Bit Flipping,hindcwi.com,,?,,com,
Bit Flipping,hindqwi.com,,?,,com,
Bit Flipping,hineawi.com,,?,,com,
Bit Flipping,hinlawi.com,,?,,com,
Bit Flipping,hintawi.com,,?,,com,
Bit Flipping,hiodawi.com,,?,,com,
Bit Flipping,hkndawi.com,,?,,com,
Bit Flipping,hmndawi.com,,?,,com,
Bit Flipping,hyndawi.com,,?,,com,
Bit Flipping,iindawi.com,,?,,com,
Bit Flipping,lindawi.com,,?,,com,
Bit Flipping,xindawi.com,,?,,com,
Homoglyphs,hinclawi.com,,?,,com,
Homoglyphs,hindavvi.com,,?,,com,
Homoglyphs,hindawl.com,,?,,com,
Homoglyphs,hlndawi.com,,?,,com,
Homoglyphs,hlndawl.com,,?,,com,
Wrong TLD,hindawi.ca,,?,,ca,
Wrong TLD,hindawi.ch,,?,,ch,
Wrong TLD,hindawi.de,,?,,de,
Wrong TLD,hindawi.edu,,?,,edu,
Wrong TLD,hindawi.es,,?,,es,
Wrong TLD,hindawi.fr,,?,,fr,
Wrong TLD,hindawi.it,,?,,it,
Wrong TLD,hindawi.jp,,?,,jp,
Wrong TLD,hindawi.net,207.234.225.144,US,UNITED STATES,285011569.pamx1.hotmail.com,net,
Wrong TLD,hindawi.nl,,?,,nl,
Wrong TLD,hindawi.no,,?,,no,
Wrong TLD,hindawi.org,54.236.213.106,US,UNITED STATES,alt2.aspmx.l.google.com,org,
Wrong TLD,hindawi.ru,,?,,ru,
Wrong TLD,hindawi.se,185.53.179.8,,mail.h-email.net,se,
Wrong TLD,hindawi.us,,?,mx1.hindawi.us,us,

