Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,hidustantimes.com,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Omission,hindstantimes.com,103.224.212.222,,mx92.m1bp.com,com,
Character Omission,hindusantimes.com,199.191.50.73,,,com,
Character Omission,hindustanimes.com,199.191.50.73,,,com,
Character Omission,hindustanties.com,,?,,com,
Character Omission,hindustantime.com,68.178.213.61,US,UNITED STATES,,com,
Character Omission,hindustantimes.cm,,?,,cm,
Character Omission,hindustantims.com,103.224.212.222,,park-mx.above.com,com,
Character Omission,hindustantmes.com,199.191.50.73,,,com,
Character Omission,hindustatimes.com,69.172.201.153,US,UNITED STATES,,com,
Character Omission,hindustntimes.com,199.191.50.73,,,com,
Character Omission,hindutantimes.com,95.211.219.65,NL,NETHERLANDS,,com,
Character Omission,hinustantimes.com,69.172.201.153,US,UNITED STATES,,com,
Character Omission,hndustantimes.com,,?,,com,
Character Repeat,hhindustantimes.com,,?,,com,
Character Repeat,hiindustantimes.com,,?,,com,
Character Repeat,hinddustantimes.com,,?,,com,
Character Repeat,hindusstantimes.com,,?,,com,
Character Repeat,hindustaantimes.com,,?,,com,
Character Repeat,hindustanntimes.com,,?,,com,
Character Repeat,hindustantiimes.com,,?,,com,
Character Repeat,hindustantimees.com,,?,,com,
Character Repeat,hindustantimess.com,,?,,com,
Character Repeat,hindustantimmes.com,,?,,com,
Character Repeat,hindustanttimes.com,184.168.221.104,MG,MADAGASCAR,,com,
Character Repeat,hindusttantimes.com,,?,,com,
Character Repeat,hinduustantimes.com,,?,,com,
Character Repeat,hinndustantimes.com,,?,,com,
Character Swap,hidnustantimes.com,,?,,com,
Character Swap,hindsutantimes.com,,?,,com,
Character Swap,hindusatntimes.com,199.191.50.73,,,com,
Character Swap,hindustanitmes.com,,?,,com,
Character Swap,hindustantiems.com,,?,,com,
Character Swap,hindustantimse.com,,?,,com,
Character Swap,hindustantmies.com,,?,,com,
Character Swap,hindustatnimes.com,,?,,com,
Character Swap,hindustnatimes.com,,?,,com,
Character Swap,hindutsantimes.com,,?,,com,
Character Swap,hinudstantimes.com,,?,,com,
Character Swap,hnidustantimes.com,,?,,com,
Character Swap,ihndustantimes.com,,?,,com,
Character Replacement,gindustantimes.com,,?,,com,
Character Replacement,hibdustantimes.com,,?,,com,
Character Replacement,himdustantimes.com,85.17.25.214,CA,CANADA,,com,
Character Replacement,hindistantimes.com,173.239.8.164,US,UNITED STATES,mx7.hindistantimes.com,com,
Character Replacement,hinduatantimes.com,98.124.245.24,US,UNITED STATES,mail.b-io.co,com,
Character Replacement,hindudtantimes.com,,?,,com,
Character Replacement,hindusrantimes.com,,?,,com,
Character Replacement,hindustabtimes.com,,?,,com,
Character Replacement,hindustamtimes.com,,?,,com,
Character Replacement,hindustanrimes.com,,?,,com,
Character Replacement,hindustantimea.com,,?,,com,
Character Replacement,hindustantimed.com,,?,,com,
