Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,hmeaway.com,103.224.182.252,,mx92.m1bp.com,com,
Character Omission,hoeaway.com,199.115.115.118,US,UNITED STATES,,com,
Character Omission,homaway.com,,?,,com,
Character Omission,homeaay.com,103.224.212.246,,mx92.mb5p.com,com,
Character Omission,homeawa.com,184.168.221.1,US,UNITED STATES,,com,
Character Omission,homeaway.cm,216.146.46.11,GB,UNITED KINGDOM,,cm,
Character Omission,homeawy.com,95.211.219.67,IN,INDIA,,com,
Character Omission,homeway.com,75.126.102.250,CA,CANADA,,com,
Character Repeat,hhomeaway.com,130.250.51.18,CA,CANADA,,com,
Character Repeat,homeaaway.com,103.224.182.251,,mx92.mb5p.com,com,
Character Repeat,homeawaay.com,130.250.51.18,CA,CANADA,,com,
Character Repeat,homeawayy.com,54.72.11.253,US,UNITED STATES,mail.h-email.net,com,
Character Repeat,homeawway.com,103.224.182.251,,mx92.mb5p.com,com,
Character Repeat,homeeaway.com,103.224.182.252,,mx92.mb5p.com,com,
Character Repeat,hommeaway.com,130.250.51.18,CA,CANADA,,com,
Character Repeat,hoomeaway.com,130.250.51.18,RO,ROMANIA,,com,
Character Swap,hmoeaway.com,130.250.51.18,CA,CANADA,,com,
Character Swap,hoemaway.com,130.250.51.18,DE,GERMANY,,com,
Character Swap,homaeway.com,130.250.51.18,IT,ITALY,,com,
Character Swap,homeaawy.com,,?,,com,
Character Swap,homeawya.com,185.53.178.7,,mail.h-email.net,com,
Character Swap,homewaay.com,130.250.51.18,CR,COSTA RICA,,com,
Character Swap,ohmeaway.com,144.76.0.242,DE,GERMANY,,com,
Character Replacement,gomeaway.com,185.53.178.9,,mail.h-email.net,com,
Character Replacement,himeaway.com,103.224.182.252,,mx92.mb5p.com,com,
Character Replacement,homeaeay.com,130.250.51.18,CA,CANADA,,com,
Character Replacement,homeaqay.com,103.224.182.245,,mx92.m1bp.com,com,
Character Replacement,homeawat.com,51.254.28.160,JP,JAPAN,,com,
Character Replacement,homeawau.com,103.224.182.245,,mx92.m1bp.com,com,
Character Replacement,homeawsy.com,103.224.182.245,,park-mx.above.com,com,
Character Replacement,homesway.com,198.185.159.145,,alt1.aspmx.l.google.com,com,
Character Replacement,homraway.com,95.211.219.65,CN,CHINA,,com,
Character Replacement,homwaway.com,95.211.219.67,DE,GERMANY,,com,
Character Replacement,honeaway.com,141.8.224.169,CH,SWITZERLAND,,com,
Character Replacement,hpmeaway.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Replacement,jomeaway.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Insertion,hgomeaway.com,,?,,com,
Character Insertion,hjomeaway.com,,?,,com,
Character Insertion,hoimeaway.com,185.53.178.6,,mail.h-email.net,com,
Character Insertion,homeasway.com,,?,,com,
Character Insertion,homeawasy.com,162.210.195.122,,,com,
Character Insertion,homeawayt.com,,?,,com,
Character Insertion,homeawayu.com,,?,,com,
Character Insertion,homeaweay.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Insertion,homeawqay.com,,?,,com,
Character Insertion,homeraway.com,52.71.185.125,US,UNITED STATES,,com,
Character Insertion,homewaway.com,199.115.115.118,US,UNITED STATES,,com,
Character Insertion,homneaway.com,141.8.224.169,CH,SWITZERLAND,,com,
Character Insertion,hopmeaway.com,141.8.224.93,ç,,,com,
Missing Dot,homeawaycom.com,130.250.51.18,ID,INDONESIA,,com,
Missing Dot,wwwhomeaway.com,130.250.51.18,CA,CANADA,,com,
Singular or Pluralise,homeaways.com,184.168.221.104,US,UNITED STATES,,com,
Vowel Swap,homaaway.com,103.224.212.253,,mx92.mb5p.com,com,
Vowel Swap,homeewey.com,,?,,com,
Vowel Swap,homeiwiy.com,,?,,com,
Vowel Swap,homeowoy.com,,?,,com,
Vowel Swap,homeuwuy.com,,?,,com,
Vowel Swap,homiaway.com,,?,,com,
Vowel Swap,homoaway.com,,?,,com,
Vowel Swap,homuaway.com,,?,,com,
Homophones,hoemeaway.com,,?,,com,
Homophones,homeaweigh.com,130.250.51.18,CA,CANADA,,com,
Homophones,homeawhey.com,,?,,com,
Bit Flipping,hgmeaway.com,,?,,com,
Bit Flipping,hkmeaway.com,45.33.9.234,,mail.pickelhost.com,com,
Bit Flipping,hmmeaway.com,,?,,com,
Bit Flipping,hnmeaway.com,,?,,com,
Bit Flipping,ho-eaway.com,,?,,com,
Bit Flipping,hoeeaway.com,,?,,com,
Bit Flipping,hoieaway.com,,?,,com,
Bit Flipping,holeaway.com,,?,,com,
Bit Flipping,homdaway.com,,?,,com,
Bit Flipping,homea7ay.com,,?,,com,
Bit Flipping,homeagay.com,,?,,com,
Bit Flipping,homeasay.com,141.8.224.169,CH,SWITZERLAND,,com,
Bit Flipping,homeauay.com,,?,,com,
Bit Flipping,homeavay.com,103.224.182.245,,mx92.m1bp.com,com,
Bit Flipping,homeawa9.com,,?,,com,
Bit Flipping,homeawai.com,130.250.51.18,CA,CANADA,,com,
Bit Flipping,homeawaq.com,,?,,com,
Bit Flipping,homeawax.com,,?,,com,
Bit Flipping,homeawcy.com,,?,,com,
Bit Flipping,homeawey.com,130.250.51.18,CA,CANADA,,com,
Bit Flipping,homeawiy.com,,?,,com,
Bit Flipping,homeawqy.com,173.239.8.164,US,UNITED STATES,mx7.homeawqy.com,com,
Bit Flipping,homecway.com,,?,,com,
Bit Flipping,homeeway.com,130.250.51.18,CA,CANADA,,com,
Bit Flipping,homeiway.com,,?,,com,
Bit Flipping,homeqway.com,103.224.182.253,,park-mx.above.com,com,
Bit Flipping,homgaway.com,,?,,com,
Bit Flipping,hommaway.com,,?,,com,
Bit Flipping,hooeaway.com,,?,,com,
Bit Flipping,iomeaway.com,,?,,com,
Bit Flipping,lomeaway.com,,?,,com,
Bit Flipping,xomeaway.com,,?,,com,
Homoglyphs,h0meaway.com,130.250.51.18,CA,CANADA,,com,
Homoglyphs,homeavvay.com,52.73.71.92,US,UNITED STATES,,com,
Homoglyphs,horneaway.com,,?,,com,
Wrong TLD,homeaway.ca,130.250.51.18,CA,CANADA,mxb-00067701.gslb.pphosted.com,ca,
Wrong TLD,homeaway.ch,64.245.55.193,US,UNITED STATES,,ch,
Wrong TLD,homeaway.de,130.250.51.18,CA,CANADA,mxb-00067701.gslb.pphosted.com,de,
Wrong TLD,homeaway.edu,,?,,edu,
Wrong TLD,homeaway.es,130.250.51.18,CA,CANADA,mxb-00067701.gslb.pphosted.com,es,
Wrong TLD,homeaway.fr,130.250.51.18,CA,CANADA,mxa-00067701.gslb.pphosted.com,fr,
Wrong TLD,homeaway.it,130.250.51.18,CA,CANADA,mxa-00067701.gslb.pphosted.com,it,
Wrong TLD,homeaway.jp,103.28.249.126,JP,JAPAN,,jp,
Wrong TLD,homeaway.net,184.168.221.104,GB,UNITED KINGDOM,,net,
Wrong TLD,homeaway.nl,130.250.51.18,CA,CANADA,mxb-00067701.gslb.pphosted.com,nl,
Wrong TLD,homeaway.no,130.250.51.18,CA,CANADA,mxb-00067701.gslb.pphosted.com,no,
Wrong TLD,homeaway.org,198.185.159.144,,alt2.aspmx.l.google.com,org,
Wrong TLD,homeaway.ru,103.28.249.63,JP,JAPAN,homeaway-ru.mail.protection.outlook.com,ru,
Wrong TLD,homeaway.se,130.250.51.18,CA,CANADA,mxb-00067701.gslb.pphosted.com,se,
Wrong TLD,homeaway.us,69.64.147.244,US,UNITED STATES,,us,

