Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,hmedepot.com,52.86.163.26,US,UNITED STATES,,com,
Character Omission,hoedepot.com,52.86.163.26,ES,SPAIN,,com,
Character Omission,homdepot.com,35.201.95.83,US,UNITED STATES,,com,
Character Omission,homedeot.com,23.22.216.234,US,UNITED STATES,,com,
Character Omission,homedepo.com,35.201.95.83,MY,MALAYSIA,,com,
Character Omission,homedepot.cm,85.25.199.30,KR,KOREA REPUBLIC OF,,cm,
Character Omission,homedept.com,85.159.233.62,CN,CHINA,,com,
Character Omission,homedpot.com,23.22.216.234,US,UNITED STATES,,com,
Character Omission,homeepot.com,23.22.216.234,US,UNITED STATES,,com,
Character Repeat,hhomedepot.com,23.22.216.234,ES,SPAIN,,com,
Character Repeat,homeddepot.com,,?,,com,
Character Repeat,homedeepot.com,72.52.4.120,US,UNITED STATES,localhost,com,
Character Repeat,homedepoot.com,23.22.216.234,US,UNITED STATES,,com,
Character Repeat,homedepott.com,52.86.163.26,VN,VIET NAM,,com,
Character Repeat,homedeppot.com,23.22.216.234,US,UNITED STATES,,com,
Character Repeat,homeedepot.com,52.86.163.26,US,UNITED STATES,,com,
Character Repeat,hommedepot.com,185.53.179.6,,mail.h-email.net,com,
Character Repeat,hoomedepot.com,98.124.199.104,US,UNITED STATES,,com,
Character Swap,hmoedepot.com,23.22.216.234,US,UNITED STATES,,com,
Character Swap,hoemdepot.com,52.86.163.26,NZ,NEW ZEALAND,,com,
Character Swap,homdeepot.com,23.22.216.234,US,UNITED STATES,,com,
Character Swap,homedeopt.com,23.22.216.234,US,UNITED STATES,,com,
Character Swap,homedepto.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Swap,homedpeot.com,23.22.216.234,US,UNITED STATES,,com,
Character Swap,homeedpot.com,52.86.163.26,US,UNITED STATES,,com,
Character Swap,ohmedepot.com,23.22.216.234,SG,SINGAPORE,,com,
Character Replacement,gomedepot.com,52.86.163.26,US,UNITED STATES,,com,
Character Replacement,himedepot.com,23.22.216.234,CA,CANADA,,com,
Character Replacement,homedeoot.com,23.22.216.234,US,UNITED STATES,,com,
Character Replacement,homedepit.com,23.22.216.234,US,UNITED STATES,,com,
Character Replacement,homedepor.com,52.86.163.26,US,UNITED STATES,,com,
Character Replacement,homedepoy.com,52.86.163.26,RU,RUSSIAN FEDERATION,,com,
Character Replacement,homedeppt.com,52.86.163.26,,,,com,
Character Replacement,homedrpot.com,23.22.216.234,US,UNITED STATES,,com,
Character Replacement,homedwpot.com,23.22.216.234,IN,INDIA,,com,
Character Replacement,homefepot.com,52.86.163.26,US,UNITED STATES,,com,
Character Replacement,homesepot.com,23.22.216.234,US,UNITED STATES,,com,
Character Replacement,homrdepot.com,52.86.163.26,US,UNITED STATES,,com,
Character Replacement,homwdepot.com,23.22.216.234,KR,KOREA REPUBLIC OF,,com,
Character Replacement,honedepot.com,23.22.216.234,US,UNITED STATES,,com,
Character Replacement,hpmedepot.com,23.22.216.234,US,UNITED STATES,,com,
Character Replacement,jomedepot.com,23.22.216.234,VN,VIET NAM,,com,
Character Insertion,hgomedepot.com,52.86.163.26,PL,POLAND,,com,
Character Insertion,hjomedepot.com,23.22.216.234,US,UNITED STATES,,com,
Character Insertion,hoimedepot.com,23.22.216.234,US,UNITED STATES,,com,
Character Insertion,homedepoit.com,52.86.163.26,US,UNITED STATES,,com,
Character Insertion,homedepopt.com,46.166.189.98,EU,EUROPEAN UNION,,com,
Character Insertion,homedepotr.com,23.22.216.234,US,UNITED STATES,,com,
Character Insertion,homedepoty.com,51.254.28.162,GB,UNITED KINGDOM,,com,
Character Insertion,homederpot.com,52.86.163.26,US,UNITED STATES,,com,
Character Insertion,homedewpot.com,52.86.163.26,US,UNITED STATES,,com,
Character Insertion,homedfepot.com,52.86.163.26,US,UNITED STATES,,com,
Character Insertion,homedsepot.com,52.86.163.26,AT,AUSTRIA,,com,
Character Insertion,homerdepot.com,,?,,com,
Character Insertion,homewdepot.com,52.86.163.26,US,UNITED STATES,,com,
Character Insertion,homnedepot.com,23.22.216.234,MY,MALAYSIA,,com,
Character Insertion,hopmedepot.com,72.52.4.120,,,localhost,com,
Missing Dot,homedepotcom.com,54.164.23.135,US,UNITED STATES,,com,
Missing Dot,wwwhomedepot.com,35.201.95.83,US,UNITED STATES,,com,
Singular or Pluralise,homedepots.com,,?,,com,
Vowel Swap,homadapot.com,,?,,com,
Vowel Swap,homidipot.com,,?,,com,
Vowel Swap,homodopot.com,,?,,com,
Vowel Swap,homudupot.com,,?,,com,
Homophones,hoemedepot.com,72.52.178.23,US,UNITED STATES,mx156.hostedmxserver.com,com,
Bit Flipping,hgmedepot.com,,?,,com,
Bit Flipping,hkmedepot.com,23.22.216.234,PL,POLAND,,com,
Bit Flipping,hmmedepot.com,52.86.163.26,US,UNITED STATES,,com,
Bit Flipping,hnmedepot.com,,?,,com,
Bit Flipping,ho-edepot.com,,?,,com,
Bit Flipping,hoeedepot.com,52.86.163.26,US,UNITED STATES,,com,
Bit Flipping,hoiedepot.com,,?,,com,
Bit Flipping,holedepot.com,184.168.221.15,US,UNITED STATES,smtp.secureserver.net,com,
Bit Flipping,homadepot.com,52.86.163.26,US,UNITED STATES,,com,
Bit Flipping,homddepot.com,23.22.216.234,US,UNITED STATES,,com,
Bit Flipping,homedapot.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Bit Flipping,homeddpot.com,52.86.163.26,US,UNITED STATES,,com,
Bit Flipping,homede0ot.com,23.22.216.234,US,UNITED STATES,,com,
Bit Flipping,homedepgt.com,,?,,com,
Bit Flipping,homedepkt.com,52.86.163.26,US,UNITED STATES,,com,
Bit Flipping,homedepmt.com,,?,,com,
Bit Flipping,homedepnt.com,,?,,com,
Bit Flipping,homedepo4.com,,?,,com,
Bit Flipping,homedepod.com,52.86.163.26,JP,JAPAN,,com,
Bit Flipping,homedepop.com,52.86.163.26,US,UNITED STATES,,com,
Bit Flipping,homedepou.com,,?,,com,
Bit Flipping,homedepov.com,,?,,com,
Bit Flipping,homedeqot.com,,?,,com,
Bit Flipping,homederot.com,52.86.163.26,IN,INDIA,,com,
Bit Flipping,homedetot.com,37.48.65.143,NL,NETHERLANDS,,com,
Bit Flipping,homedexot.com,,?,,com,
Bit Flipping,homedgpot.com,,?,,com,
Bit Flipping,homedmpot.com,,?,,com,
Bit Flipping,homedupot.com,52.86.163.26,IN,INDIA,,com,
Bit Flipping,homeeepot.com,23.22.216.234,US,UNITED STATES,,com,
Bit Flipping,homelepot.com,,?,,com,
Bit Flipping,hometepot.com,52.86.163.26,US,UNITED STATES,,com,
Bit Flipping,homgdepot.com,,?,,com,
Bit Flipping,hommdepot.com,52.86.163.26,US,UNITED STATES,,com,
Bit Flipping,homudepot.com,,?,,com,
Bit Flipping,hooedepot.com,52.86.163.26,US,UNITED STATES,,com,
Bit Flipping,iomedepot.com,23.22.216.234,SK,SLOVAKIA (Slovak Republic),,com,
Bit Flipping,lomedepot.com,,?,,com,
Bit Flipping,xomedepot.com,,?,,com,
Homoglyphs,h0medep0t.com,,?,,com,
Homoglyphs,h0medepot.com,95.211.117.215,NL,NETHERLANDS,,com,
Homoglyphs,homeclepot.com,,?,,com,
