Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,hlu.com,69.172.201.153,US,UNITED STATES,,com,
Character Omission,hul.com,69.64.147.244,US,UNITED STATES,,com,
Character Omission,hulu.cm,85.25.199.30,DE,GERMANY,104.236.59.57,cm,
Character Omission,huu.com,72.52.4.120,US,UNITED STATES,localhost,com,
Character Repeat,hhulu.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Repeat,hullu.com,85.17.25.215,NL,NETHERLANDS,,com,
Character Repeat,huluu.com,,?,,com,
Character Repeat,huulu.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Swap,hluu.com,69.172.201.153,US,UNITED STATES,,com,
Character Swap,huul.com,65.103.39.65,US,UNITED STATES,mail.huul.com,com,
Character Swap,uhlu.com,78.194.138.170,ÆÎ,,mx-caprica.zoneedit.com,com,
Character Replacement,gulu.com,208.91.197.27,US,UNITED STATES,alt1.aspmx.l.google.com,com,
Character Replacement,hilu.com,185.53.179.6,,mail.h-email.net,com,
Character Replacement,huku.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Replacement,huli.com,120.132.92.61,CN,CHINA,qiye163mx01.mxmail.netease.com,com,
Character Replacement,huly.com,209.99.64.45,US,UNITED STATES,,com,
Character Replacement,hylu.com,69.172.201.153,CH,SWITZERLAND,,com,
Character Replacement,julu.com,50.63.202.30,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Insertion,hgulu.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Insertion,hjulu.com,199.59.242.150,VG,VIRGIN ISLANDS (BRITISH),mx76.mb1p.com,com,
Character Insertion,huilu.com,72.52.4.120,US,UNITED STATES,localhost,com,
Character Insertion,hulku.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Insertion,hului.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Insertion,huluy.com,199.59.242.150,FR,FRANCE,mx76.m2bp.com,com,
Character Insertion,huylu.com,103.224.212.249,,mx92.mb5p.com,com,
Missing Dot,hulucom.com,184.168.221.96,US,UNITED STATES,10,com,
Missing Dot,wwwhulu.com,199.59.242.150,CA,CANADA,mx76.m2bp.com,com,
Singular or Pluralise,hulus.com,103.224.182.210,,mx92.mb5p.com,com,
Vowel Swap,hala.com,184.168.221.60,US,UNITED STATES,mx2.pangia.biz,com,
Vowel Swap,hele.com,23.23.174.132,US,UNITED STATES,,com,
Vowel Swap,hili.com,47.90.35.98,CA,CANADA,mxbiz2.qq.com,com,
Vowel Swap,holo.com,138.197.4.49,CA,CANADA,holo-com.mail.protection.outlook.com,com,
Bit Flipping,h5lu.com,,?,,com,
Bit Flipping,helu.com,89.31.143.1,DE,GERMANY,mx01.udag.de,com,
Bit Flipping,hqlu.com,203.78.142.12,IN,INDIA,,com,
Bit Flipping,htlu.com,,?,,com,
Bit Flipping,hudu.com,107.181.179.51,,hudu.com,com,
Bit Flipping,huhu.com,139.129.221.6,CN,CHINA,smtp.secureserver.net,com,
Bit Flipping,hul5.com,61.31.228.201,TW,TAIWAN; REPUBLIC OF CHINA (ROC),,com,
Bit Flipping,hule.com,69.172.201.153,US,UNITED STATES,,com,
Bit Flipping,hulq.com,138.197.10.226,US,UNITED STATES,aspmx.l.google.com,com,
Bit Flipping,hult.com,209.235.2.235,US,UNITED STATES,hult-com.mail.protection.outlook.com,com,
Bit Flipping,hulw.com,103.13.73.67,AU,AUSTRALIA,,com,
Bit Flipping,humu.com,216.239.38.21,US,UNITED STATES,alt4.aspmx.l.google.com,com,
Bit Flipping,hunu.com,192.64.119.130,,,com,
Bit Flipping,hwlu.com,185.53.179.6,,mail.h-email.net,com,
Bit Flipping,iulu.com,72.9.105.30,US,UNITED STATES,,com,
Bit Flipping,lulu.com,216.27.62.241,US,UNITED STATES,mx1.lulu.com,com,
Bit Flipping,xulu.com,50.23.81.232,US,UNITED STATES,aspmx.l.google.com,com,
Homoglyphs,hu1u.com,165.160.15.20,US,UNITED STATES,custmx.cscdns.net,com,
Wrong TLD,hulu.ca,,?,custmx.cscdns.net,ca,
Wrong TLD,hulu.ch,217.26.51.219,CH,SWITZERLAND,mx2.mail.hostpoint.ch,ch,
Wrong TLD,hulu.de,83.138.65.120,DE,GERMANY,mail.hulu.de,de,
Wrong TLD,hulu.edu,,?,,edu,
Wrong TLD,hulu.es,,?,custmx.cscdns.net,es,
Wrong TLD,hulu.fr,,?,custmx.cscdns.net,fr,
Wrong TLD,hulu.it,165.160.13.20,US,UNITED STATES,custmx.cscdns.net,it,
Wrong TLD,hulu.jp,23.215.132.96,,mxb-002b4c01.gslb.pphosted.com,jp,
Wrong TLD,hulu.net,165.160.13.20,US,UNITED STATES,custmx.cscdns.net,net,
Wrong TLD,hulu.nl,91.195.240.92,DE,GERMANY,mx186.m2bp.com,nl,
Wrong TLD,hulu.no,165.160.13.20,CA,CANADA,custmx.cscdns.net,no,
Wrong TLD,hulu.org,217.70.184.38,FR,FRANCE,fb.mail.gandi.net,org,
Wrong TLD,hulu.ru,,?,,ru,
Wrong TLD,hulu.se,208.91.159.90,US,UNITED STATES,hulumail.directconnect.no,se,
Wrong TLD,hulu.us,165.160.13.20,US,UNITED STATES,custmx.cscdns.net,us,

