Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,ibc.com.cn,119.90.45.101,CN,CHINA,mxbiz1.qq.com,cn,
Character Omission,icb.com.cn,202.96.137.13,CN,CHINA,qiye163mx02.mxmail.netease.com,cn,
Character Omission,icbc.cm.cn,182.61.97.11,,,cn,
Character Omission,icbc.co.cn,,?,,cn,
Character Omission,icbc.om.cn,,?,,cn,
Character Omission,icbccom.cn,47.52.93.148,CA,CANADA,mail.skrimple.com,cn,
Character Omission,icc.com.cn,,?,,cn,
Character Repeat,icbbc.com.cn,47.52.93.148,CA,CANADA,mail.skrimple.com,cn,
Character Repeat,icbc.ccom.cn,,?,,cn,
Character Repeat,icbc.comm.cn,103.232.215.138,€ÿ,,mail.skrimple.com,cn,
Character Repeat,icbc.coom.cn,103.232.215.129,,mail.skrimple.com,cn,
Character Repeat,icbcc.com.cn,198.11.168.225,AU,AUSTRALIA,,cn,
Character Repeat,iccbc.com.cn,199.59.242.150,AU,AUSTRALIA,mx76.m2bp.com,cn,
Character Repeat,iicbc.com.cn,,?,,cn,
Character Swap,cibc.com.cn,,?,mxa-00146707.gslb.pphosted.com,cn,
Character Swap,ibcc.com.cn,180.76.193.12,CN,CHINA,mxbiz1.qq.com,cn,
Character Swap,icb.ccom.cn,,?,,cn,
Character Swap,icbc.cmo.cn,103.232.215.138,AU,AUSTRALIA,mail.skrimple.com,cn,
Character Swap,icbc.com.nc,,?,,nc,
Character Swap,icbc.ocm.cn,103.232.215.138,,mail.skrimple.com,cn,
Character Swap,icbcc.om.cn,,?,,cn,
Character Swap,iccb.com.cn,103.241.230.135,RO,ROMANIA,,cn,
Character Replacement,icbc.cim.cn,,?,,cn,
Character Replacement,icbc.com.cm,50.62.109.139,US,UNITED STATES,,cm,
Character Replacement,icbc.com.vn,219.142.91.11,CN,CHINA,,vn,
Character Replacement,icbc.con.cn,103.232.215.138,,mail.skrimple.com,cn,
