Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,ifiit.com,52.71.185.125,US,UNITED STATES,,com,
Character Omission,ifixi.com,52.219.68.122,US,UNITED STATES,ifixi-com.mail.protection.outlook.com,com,
Character Omission,ifixit.cm,199.59.242.150,CN,CHINA,mx76.mb1p.com,cm,
Character Omission,ifixt.com,67.227.226.241,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Omission,ifxit.com,103.224.212.254,,mx92.mb5p.com,com,
Character Omission,iixit.com,204.11.56.48,,,com,
Character Repeat,iffixit.com,,?,,com,
Character Repeat,ifiixit.com,23.236.62.147,,mta-gw.infomaniak.ch,com,
Character Repeat,ifixiit.com,,?,,com,
Character Repeat,ifixitt.com,185.53.179.8,,mail.h-email.net,com,
Character Repeat,ifixxit.com,52.73.71.92,US,UNITED STATES,,com,
Character Repeat,iifixit.com,144.168.118.90,,,com,
Character Swap,fiixit.com,69.16.230.43,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Swap,ifiixt.com,,?,,com,
Character Swap,ifixti.com,,?,,com,
Character Swap,ifxiit.com,,?,,com,
Character Swap,iifxit.com,,?,,com,
Character Replacement,idixit.com,91.121.155.120,FR,FRANCE,ovh1.idixit.com,com,
Character Replacement,ificit.com,209.99.64.43,US,UNITED STATES,,com,
Character Replacement,ifixir.com,199.34.228.50,IN,INDIA,,com,
Character Replacement,ifixiy.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Replacement,ifixot.com,,?,,com,
Character Replacement,ifixut.com,,?,,com,
Character Replacement,ifizit.com,141.8.224.93,US,UNITED STATES,,com,
Character Replacement,ifoxit.com,58.158.177.102,JP,JAPAN,,com,
Character Replacement,ifuxit.com,202.124.241.178,SG,SINGAPORE,,com,
Character Replacement,igixit.com,,?,,com,
Character Replacement,ofixit.com,23.236.62.147,,,com,
Character Replacement,ufixit.com,45.79.129.37,,aspmx.l.google.com,com,
Character Insertion,ifdixit.com,,?,,com,
Character Insertion,ifgixit.com,,?,,com,
Character Insertion,ifioxit.com,,?,,com,
Character Insertion,ifiuxit.com,,?,,com,
Character Insertion,ifixcit.com,,?,,com,
Character Insertion,ifixiot.com,,?,,com,
Character Insertion,ifixitr.com,,?,,com,
Character Insertion,ifixity.com,,?,,com,
Character Insertion,ifixiut.com,,?,,com,
Character Insertion,ifixzit.com,,?,,com,
Character Insertion,iofixit.com,,?,,com,
Character Insertion,iufixit.com,,?,,com,
Missing Dot,ifixitcom.com,,?,,com,
Missing Dot,wwwifixit.com,141.8.224.169,RU,RUSSIAN FEDERATION,,com,
Singular or Pluralise,ifixits.com,,?,,com,
Vowel Swap,ifaxat.com,,?,,com,
Vowel Swap,ifexet.com,,?,,com,
Vowel Swap,ifoxot.com,199.191.50.142,,,com,
Vowel Swap,ifuxut.com,,?,,com,
Homophones,ayefayexayet.com,,?,,com,
Homophones,eyefeyexeyet.com,,?,,com,
Bit Flipping,afixit.com,96.30.51.168,US,UNITED STATES,afixit.com,com,
