Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,iea.com,,?,,com,
Character Omission,ika.com,212.185.176.6,CA,CANADA,mailgw.ika.de,com,
Character Omission,ike.com,64.78.155.238,US,UNITED STATES,mail1.portalsxpress.com,com,
Character Omission,ikea.cm,185.53.178.8,,,cm,
Character Repeat,iikea.com,46.166.189.98,GB,UNITED KINGDOM,,com,
Character Repeat,ikeaa.com,165.160.15.20,US,UNITED STATES,,com,
Character Repeat,ikeea.com,199.115.115.116,US,UNITED STATES,,com,
Character Repeat,ikkea.com,199.115.115.119,US,UNITED STATES,,com,
Character Swap,ieka.com,69.172.201.153,CA,CANADA,,com,
Character Swap,ikae.com,216.87.148.114,US,UNITED STATES,,com,
Character Swap,kiea.com,72.9.105.30,US,UNITED STATES,,com,
Character Replacement,ijea.com,69.172.201.153,US,UNITED STATES,,com,
Character Replacement,ikes.com,104.25.97.14,,ikes-com.mail.protection.outlook.com,com,
Character Replacement,ikra.com,,?,,com,
Character Replacement,ikwa.com,69.172.201.153,US,UNITED STATES,,com,
Character Replacement,ilea.com,185.53.178.6,,mail.h-email.net,com,
Character Replacement,okea.com,185.53.179.7,,mail.h-email.net,com,
Character Replacement,ukea.com,72.52.4.120,US,UNITED STATES,localhost,com,
Character Insertion,ikeas.com,62.3.130.130,SE,SWEDEN,,com,
Character Insertion,ikera.com,192.64.147.150,,mx1.ikera.com,com,
Character Insertion,ikewa.com,47.89.58.32,CA,CANADA,,com,
Character Insertion,ikjea.com,165.160.15.20,,custmx.cscdns.net,com,
Character Insertion,iklea.com,208.91.196.94,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Insertion,iokea.com,199.191.50.73,,,com,
Character Insertion,iukea.com,,?,,com,
Missing Dot,ikeacom.com,165.160.15.20,US,UNITED STATES,custmx.cscdns.net,com,
Missing Dot,wwwikea.com,,?,,com,
Vowel Swap,ikaa.com,72.9.105.30,US,UNITED STATES,,com,
Vowel Swap,ikee.com,104.218.10.41,,ikee.com,com,
Vowel Swap,ikei.com,108.163.233.178,US,UNITED STATES,ikei.com,com,
Vowel Swap,ikeo.com,72.47.228.215,US,UNITED STATES,mail.ikeo.com,com,
Vowel Swap,ikeu.com,51.254.28.162,GB,UNITED KINGDOM,,com,
Vowel Swap,ikia.com,199.115.115.119,US,UNITED STATES,,com,
Vowel Swap,ikoa.com,,?,aspmx3.googlemail.com,com,
Vowel Swap,ikua.com,50.117.120.251,US,UNITED STATES,mail.skrimple.com,com,
Homophones,ayekea.com,,?,,com,
Homophones,eyekea.com,104.247.195.141,,,com,
Bit Flipping,akea.com,68.178.213.61,US,UNITED STATES,,com,
Bit Flipping,hkea.com,58.64.198.23,HK,HONG KONG,aspmx3.googlemail.com,com,
Bit Flipping,icea.com,181.224.138.39,,mail.icea.com,com,
Bit Flipping,iiea.com,5.79.23.228,GB,UNITED KINGDOM,iiea-com.mail.protection.outlook.com,com,
Bit Flipping,ikda.com,23.23.174.132,US,UNITED STATES,,com,
Bit Flipping,ikec.com,69.172.201.153,US,UNITED STATES,mail.b-io.co,com,
Bit Flipping,ikeq.com,51.254.28.162,GB,UNITED KINGDOM,,com,
Bit Flipping,ikga.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Bit Flipping,ikma.com,98.124.199.100,US,UNITED STATES,ikma-com.mail.protection.outlook.com,com,
Bit Flipping,ioea.com,162.243.10.151,,,com,
Bit Flipping,kkea.com,66.96.163.196,CA,CANADA,mx.kkea.com,com,
Bit Flipping,mkea.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Bit Flipping,ykea.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Homoglyphs,lkea.com,72.52.4.122,US,UNITED STATES,localhost,com,
Wrong TLD,ikea.ca,216.87.148.114,US,UNITED STATES,relay2.netnames.net,ca,
Wrong TLD,ikea.ch,216.87.148.114,US,UNITED STATES,,ch,
Wrong TLD,ikea.de,216.87.148.114,bé,,mx.ikea.de.cust.b.hostedemail.com,de,
Wrong TLD,ikea.edu,,?,,edu,
Wrong TLD,ikea.es,216.87.148.114,US,UNITED STATES,relay1.netnames.net,es,
Wrong TLD,ikea.fr,216.87.148.114,US,UNITED STATES,mail01.ikea.com,fr,
Wrong TLD,ikea.it,216.87.148.114,PR,PUERTO RICO,relay2.netnames.net,it,
Wrong TLD,ikea.jp,216.87.148.114,US,UNITED STATES,www.ikea.jp,jp,
Wrong TLD,ikea.net,209.207.204.3,US,UNITED STATES,relay2.netnames.net,net,
Wrong TLD,ikea.nl,216.87.148.114,US,UNITED STATES,relay1.netnames.net,nl,
Wrong TLD,ikea.no,216.87.148.114,US,UNITED STATES,relay1.netnames.net,no,
Wrong TLD,ikea.org,62.3.130.130,SE,SWEDEN,,org,
Wrong TLD,ikea.ru,216.87.148.114,US,UNITED STATES,mx.mastermail.ru,ru,
Wrong TLD,ikea.se,216.87.148.114,US,UNITED STATES,,se,
Wrong TLD,ikea.us,216.87.148.114,US,UNITED STATES,,us,

