Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,ilinois.edu,,?,,edu,
Character Omission,illinis.edu,,?,,edu,
Character Omission,illinoi.edu,,?,,edu,
Character Omission,illinois.eu,72.52.4.121,US,UNITED STATES,localhost,eu,
Character Omission,illinos.edu,,?,,edu,
Character Omission,illiois.edu,,?,,edu,
Character Omission,illnois.edu,,?,,edu,
Character Repeat,iillinois.edu,,?,,edu,
Character Repeat,illiinois.edu,,?,,edu,
Character Repeat,illinnois.edu,,?,,edu,
Character Repeat,illinoiis.edu,,?,,edu,
Character Repeat,illinoiss.edu,,?,,edu,
Character Repeat,illinoois.edu,,?,,edu,
Character Repeat,illlinois.edu,,?,,edu,
Character Swap,ililnois.edu,,?,,edu,
Character Swap,illinios.edu,,?,,edu,
Character Swap,illinosi.edu,,?,,edu,
Character Swap,illionis.edu,,?,,edu,
Character Swap,illniois.edu,,?,,edu,
Character Swap,lilinois.edu,,?,,edu,
Character Replacement,iklinois.edu,,?,,edu,
Character Replacement,ilkinois.edu,,?,,edu,
Character Replacement,illibois.edu,,?,,edu,
Character Replacement,illimois.edu,,?,,edu,
Character Replacement,illiniis.edu,,?,,edu,
Character Replacement,illinoia.edu,,?,,edu,
Character Replacement,illinoid.edu,,?,,edu,
Character Replacement,illinoos.edu,,?,,edu,
Character Replacement,illinous.edu,,?,,edu,
Character Replacement,illinpis.edu,,?,,edu,
Character Replacement,illonois.edu,,?,,edu,
Character Replacement,illunois.edu,,?,,edu,
Character Replacement,ollinois.edu,,?,,edu,
Character Replacement,ullinois.edu,,?,,edu,
Double Character Replacement,ikkinois.edu,,?,,edu,
Character Insertion,ilklinois.edu,,?,,edu,
Character Insertion,illinbois.edu,,?,,edu,
Character Insertion,illinmois.edu,,?,,edu,
Character Insertion,illinoios.edu,,?,,edu,
Character Insertion,illinoisa.edu,,?,,edu,
Character Insertion,illinoisd.edu,,?,,edu,
Character Insertion,illinoius.edu,,?,,edu,
Character Insertion,illinopis.edu,,?,,edu,
Character Insertion,illionois.edu,,?,,edu,
Character Insertion,illiunois.edu,,?,,edu,
Character Insertion,illkinois.edu,,?,,edu,
Character Insertion,iollinois.edu,,?,,edu,
Character Insertion,iullinois.edu,,?,,edu,
Missing Dot,illinoisedu.com,103.224.182.247,,park-mx.above.com,com,
Missing Dot,wwwillinois.edu,,?,,edu,
Vowel Swap,illanoas.edu,,?,,edu,
Vowel Swap,illenoes.edu,,?,,edu,
Vowel Swap,illinais.edu,,?,,edu,
Vowel Swap,illineis.edu,,?,,edu,
Vowel Swap,illinuis.edu,,?,,edu,
Vowel Swap,illonoos.edu,,?,,edu,
Vowel Swap,illunous.edu,,?,,edu,
Homophones,ayellayenoayes.edu,,?,,edu,
Homophones,eyelleyenoeyes.edu,,?,,edu,
