Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,idb.com,5.175.26.240,,mail4.xmx.net,com,
Character Omission,imb.com,204.79.182.53,ES,SPAIN,,com,
Character Omission,imd.com,209.197.73.216,US,UNITED STATES,mailwash6.pair.com,com,
Character Omission,imdb.cm,,?,,cm,
Character Repeat,iimdb.com,,?,,com,
Character Repeat,imdbb.com,,?,,com,
Character Repeat,imddb.com,50.63.202.58,US,UNITED STATES,mailstore1.secureserver.net,com,
Character Repeat,immdb.com,,?,,com,
Character Swap,idmb.com,72.21.210.29,US,UNITED STATES,smtp-fw-9101.amazon.com,com,
Character Swap,imbd.com,,?,,com,
Character Swap,midb.com,108.175.168.68,US,UNITED STATES,midb.com,com,
Character Replacement,imdn.com,141.8.224.25,CH,SWITZERLAND,,com,
Character Replacement,imdv.com,72.52.10.14,US,UNITED STATES,,com,
Character Replacement,imfb.com,72.9.105.30,US,UNITED STATES,,com,
Character Replacement,imsb.com,69.172.201.153,US,UNITED STATES,,com,
Character Replacement,indb.com,,?,,com,
Character Replacement,omdb.com,210.135.97.237,JP,JAPAN,mailhost.omdb.com,com,
Character Replacement,umdb.com,192.185.4.14,,,com,
Character Insertion,imdbn.com,72.52.10.14,US,UNITED STATES,,com,
Character Insertion,imdbv.com,72.52.10.14,US,UNITED STATES,,com,
Character Insertion,imdfb.com,72.52.10.14,US,UNITED STATES,,com,
Character Insertion,imdsb.com,72.52.10.14,US,UNITED STATES,,com,
Character Insertion,imndb.com,208.91.196.152,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Insertion,iomdb.com,72.52.10.14,US,UNITED STATES,,com,
Character Insertion,iumdb.com,72.52.10.14,DE,GERMANY,,com,
Missing Dot,imdbcom.com,185.53.178.6,,mail.h-email.net,com,
Missing Dot,wwwimdb.com,72.21.211.32,US,UNITED STATES,smtp-fw-4101.amazon.com,com,
Singular or Pluralise,imdbs.com,95.211.219.66,NL,NETHERLANDS,,com,
Homophones,ayemdb.com,72.52.10.14,US,UNITED STATES,,com,
Homophones,eyemdb.com,,?,,com,
Bit Flipping,amdb.com,98.124.245.24,US,UNITED STATES,mail.b-io.co,com,
Bit Flipping,hmdb.com,,?,,com,
Bit Flipping,i-db.com,77.72.0.110,GB,UNITED KINGDOM,mx2.cloudhosting.co.uk,com,
Bit Flipping,iedb.com,72.52.10.14,¸©,,,com,
Bit Flipping,iidb.com,72.9.105.30,US,UNITED STATES,,com,
Bit Flipping,ildb.com,191.235.177.30,,alt2.aspmx.l.google.com,com,
Bit Flipping,imdc.com,184.168.221.12,US,UNITED STATES,mailstore1.secureserver.net,com,
Bit Flipping,imdf.com,141.8.224.195,BB,BARBADOS,,com,
Bit Flipping,imdj.com,184.168.221.1,US,UNITED STATES,smtp.secureserver.net,com,
Bit Flipping,imdr.com,69.172.201.153,US,UNITED STATES,,com,
Bit Flipping,imeb.com,192.64.147.223,,,com,
Bit Flipping,imlb.com,72.52.4.121,US,UNITED STATES,localhost,com,
Bit Flipping,imtb.com,,?,,com,
Bit Flipping,iodb.com,72.52.10.14,US,UNITED STATES,,com,
Bit Flipping,kmdb.com,121.254.178.250,KR,KOREA REPUBLIC OF,,com,
Bit Flipping,mmdb.com,,?,,com,
Bit Flipping,ymdb.com,72.52.10.14,US,UNITED STATES,,com,
Homoglyphs,imclb.com,216.246.53.92,US,UNITED STATES,imclb.com,com,
Homoglyphs,irndb.com,,?,,com,
Homoglyphs,lmdb.com,87.98.137.74,FR,FRANCE,mxs3.magic.fr,com,
Wrong TLD,imdb.ca,,?,,ca,
Wrong TLD,imdb.ch,,?,,ch,
Wrong TLD,imdb.de,72.21.210.29,US,UNITED STATES,smtp-fw-4101.amazon.com,de,
Wrong TLD,imdb.edu,,?,,edu,
Wrong TLD,imdb.es,207.171.166.22,US,UNITED STATES,smtp-fw-2101.amazon.com,es,
Wrong TLD,imdb.fr,72.21.206.80,US,UNITED STATES,smtp-fw-4101.amazon.com,fr,
Wrong TLD,imdb.it,72.21.206.80,FR,FRANCE,,it,
Wrong TLD,imdb.jp,,?,,jp,
Wrong TLD,imdb.net,207.171.166.22,US,UNITED STATES,smtp-fw-2101.amazon.com,net,
Wrong TLD,imdb.nl,82.94.214.144,NL,NETHERLANDS,smtp1.byte.nl,nl,
Wrong TLD,imdb.no,194.63.248.70,NO,NORWAY,,no,
Wrong TLD,imdb.org,72.21.206.80,US,UNITED STATES,smtp-fw-2101.amazon.com,org,
Wrong TLD,imdb.ru,,?,,ru,
Wrong TLD,imdb.se,87.238.85.156,IE,IRELAND,,se,
Wrong TLD,imdb.us,,?,,us,

