Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,idianexpress.com,199.115.116.216,US,UNITED STATES,,com,
Character Omission,indanexpress.com,199.191.50.73,,,com,
Character Omission,indiaexpress.com,45.79.137.79,,mail.indiaexpress.com,com,
Character Omission,indianepress.com,103.224.212.233,,mx92.mb5p.com,com,
Character Omission,indianexpess.com,199.115.115.118,US,UNITED STATES,,com,
Character Omission,indianexpres.com,98.124.245.24,US,UNITED STATES,mail.b-io.co,com,
Character Omission,indianexpress.cm,34.196.13.28,US,UNITED STATES,mail.happyisp.com,cm,
Character Omission,indianexprss.com,,?,,com,
Character Omission,indianexress.com,162.210.196.166,,,com,
Character Omission,indianxpress.com,72.52.4.121,DE,GERMANY,localhost,com,
Character Omission,indinexpress.com,103.224.212.222,,mx92.m1bp.com,com,
Character Omission,inianexpress.com,,?,,com,
Character Repeat,iindianexpress.com,69.162.80.58,US,UNITED STATES,,com,
Character Repeat,inddianexpress.com,,?,,com,
Character Repeat,indiaanexpress.com,,?,,com,
Character Repeat,indianeexpress.com,,?,,com,
Character Repeat,indianexppress.com,,?,,com,
Character Repeat,indianexpreess.com,,?,,com,
Character Repeat,indianexpresss.com,35.165.255.15,UA,UKRAINE,,com,
Character Repeat,indianexprress.com,,?,,com,
Character Repeat,indianexxpress.com,213.247.47.190,NL,NETHERLANDS,mx7.indianexxpress.com,com,
Character Repeat,indiannexpress.com,,?,,com,
Character Repeat,indiianexpress.com,103.224.182.243,,mx92.m1bp.com,com,
Character Repeat,inndianexpress.com,,?,,com,
Character Swap,idnianexpress.com,,?,,com,
Character Swap,indainexpress.com,199.191.50.73,,,com,
Character Swap,indiaenxpress.com,,?,,com,
Character Swap,indianepxress.com,,?,,com,
Character Swap,indianexperss.com,,?,,com,
Character Swap,indianexprses.com,,?,,com,
Character Swap,indianexrpess.com,,?,,com,
Character Swap,indianxepress.com,,?,,com,
Character Swap,indinaexpress.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Character Swap,inidanexpress.com,,?,,com,
Character Swap,nidianexpress.com,,?,,com,
Character Replacement,ibdianexpress.com,,?,,com,
Character Replacement,imdianexpress.com,,?,,com,
Character Replacement,indiabexpress.com,,?,,com,
Character Replacement,indiamexpress.com,,?,,com,
Character Replacement,indianecpress.com,104.200.18.162,,mail.mxproc.com,com,
Character Replacement,indianexoress.com,141.8.224.169,CH,SWITZERLAND,,com,
Character Replacement,indianexpeess.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Replacement,indianexpreas.com,,?,,com,
Character Replacement,indianexpreds.com,,?,,com,
Character Replacement,indianexpresa.com,,?,,com,
Character Replacement,indianexpresd.com,,?,,com,
Character Replacement,indianexprrss.com,,?,,com,
Character Replacement,indianexprwss.com,,?,,com,
Character Replacement,indianexptess.com,173.239.8.164,US,UNITED STATES,mx7.indianexptess.com,com,
Character Replacement,indianezpress.com,,?,,com,
Character Replacement,indianrxpress.com,,?,,com,
Character Replacement,indianwxpress.com,213.247.47.190,NL,NETHERLANDS,mx7.indianwxpress.com,com,
Character Replacement,indisnexpress.com,,?,,com,
Character Replacement,indoanexpress.com,,?,,com,
Character Replacement,induanexpress.com,141.8.224.169,CH,SWITZERLAND,,com,
Character Replacement,infianexpress.com,,?,,com,
Character Replacement,insianexpress.com,,?,,com,
Character Replacement,ondianexpress.com,,?,,com,
Character Replacement,undianexpress.com,,?,,com,
Double Character Replacement,indianexpreaa.com,,?,,com,
Double Character Replacement,indianexpredd.com,,?,,com,
Character Insertion,inbdianexpress.com,,?,,com,
Character Insertion,indfianexpress.com,,?,,com,
Character Insertion,indianbexpress.com,,?,,com,
Character Insertion,indianerxpress.com,,?,,com,
Character Insertion,indianewxpress.com,,?,,com,
Character Insertion,indianexcpress.com,,?,,com,
Character Insertion,indianexporess.com,,?,,com,
Character Insertion,indianexprerss.com,,?,,com,
Character Insertion,indianexpresas.com,,?,,com,
Character Insertion,indianexpresds.com,,?,,com,
Character Insertion,indianexpressa.com,,?,,com,
Character Insertion,indianexpressd.com,,?,,com,
Character Insertion,indianexprewss.com,,?,,com,
Character Insertion,indianexprtess.com,,?,,com,
Character Insertion,indianexzpress.com,,?,,com,
Character Insertion,indianmexpress.com,,?,,com,
Character Insertion,indiasnexpress.com,,?,,com,
Character Insertion,indioanexpress.com,,?,,com,
Character Insertion,indiuanexpress.com,,?,,com,
Character Insertion,indsianexpress.com,,?,,com,
Character Insertion,inmdianexpress.com,,?,,com,
Character Insertion,iondianexpress.com,,?,,com,
Character Insertion,iundianexpress.com,,?,,com,
Missing Dot,indianexpresscom.com,,?,,com,
Missing Dot,wwwindianexpress.com,,?,,com,
Singular or Pluralise,indianexpresses.com,,?,,com,
Vowel Swap,indaanexpress.com,,?,,com,
Vowel Swap,indeanexpress.com,,?,,com,
Vowel Swap,indianaxprass.com,,?,,com,
Vowel Swap,indianixpriss.com,,?,,com,
Vowel Swap,indianoxpross.com,,?,,com,
Vowel Swap,indianuxpruss.com,,?,,com,
Vowel Swap,indienexpress.com,,?,,com,
Vowel Swap,indiinexpress.com,,?,,com,
Vowel Swap,indionexpress.com,,?,,com,
Vowel Swap,indiunexpress.com,,?,,com,
Homophones,ayendayeanexpress.com,,?,,com,
Homophones,eyendeyeanexpress.com,,?,,com,
Bit Flipping,andianexpress.com,,?,,com,
Bit Flipping,hndianexpress.com,,?,,com,
Bit Flipping,i.dianexpress.com,,?,,com,
Bit Flipping,ifdianexpress.com,,?,,com,
Bit Flipping,ijdianexpress.com,,?,,com,
Bit Flipping,ildianexpress.com,,?,,com,
Bit Flipping,indhanexpress.com,,?,,com,
Bit Flipping,india.express.com,,?,,com,
Bit Flipping,indiafexpress.com,,?,,com,
Bit Flipping,indiajexpress.com,,?,,com,
Bit Flipping,indialexpress.com,,?,,com,
Bit Flipping,indianaxpress.com,202.137.236.126,IN,INDIA,aspmx.l.google.com,com,
Bit Flipping,indiandxpress.com,,?,,com,
Bit Flipping,indiane8press.com,,?,,com,
Bit Flipping,indianehpress.com,,?,,com,
Bit Flipping,indianeppress.com,,?,,com,
Bit Flipping,indianex0ress.com,,?,,com,
Bit Flipping,indianexp2ess.com,,?,,com,
Bit Flipping,indianexpbess.com,,?,,com,
Bit Flipping,indianexppess.com,,?,,com,
Bit Flipping,indianexprass.com,,?,,com,
Bit Flipping,indianexprdss.com,,?,,com,
Bit Flipping,indianexpre3s.com,,?,,com,
Bit Flipping,indianexprecs.com,,?,,com,
Bit Flipping,indianexpreqs.com,,?,,com,
Bit Flipping,indianexprers.com,,?,,com,
Bit Flipping,indianexpres3.com,,?,,com,
Bit Flipping,indianexpresc.com,,?,,com,
Bit Flipping,indianexpresq.com,,?,,com,
Bit Flipping,indianexpresr.com,,?,,com,
Bit Flipping,indianexpresw.com,,?,,com,
Bit Flipping,indianexprews.com,,?,,com,
Bit Flipping,indianexprgss.com,,?,,com,
Bit Flipping,indianexprmss.com,,?,,com,
Bit Flipping,indianexpruss.com,,?,,com,
Bit Flipping,indianexpsess.com,,?,,com,
Bit Flipping,indianexpvess.com,,?,,com,
Bit Flipping,indianexpzess.com,,?,,com,
Bit Flipping,indianexqress.com,,?,,com,
Bit Flipping,indianexrress.com,,?,,com,
Bit Flipping,indianextress.com,,?,,com,
Bit Flipping,indianexxress.com,,?,,com,
Bit Flipping,indianeypress.com,,?,,com,
Bit Flipping,indiangxpress.com,,?,,com,
Bit Flipping,indianmxpress.com,,?,,com,
Bit Flipping,indianuxpress.com,,?,,com,
Bit Flipping,indiaoexpress.com,,?,,com,
Bit Flipping,indicnexpress.com,,?,,com,
Bit Flipping,indiqnexpress.com,,?,,com,
Bit Flipping,indkanexpress.com,,?,,com,
Bit Flipping,indmanexpress.com,,?,,com,
Bit Flipping,indyanexpress.com,,?,,com,
Bit Flipping,ineianexpress.com,,?,,com,
Bit Flipping,inlianexpress.com,,?,,com,
Bit Flipping,intianexpress.com,,?,,com,
Bit Flipping,iodianexpress.com,,?,,com,
Bit Flipping,kndianexpress.com,,?,,com,
Bit Flipping,mndianexpress.com,,?,,com,
Bit Flipping,yndianexpress.com,,?,,com,
Homoglyphs,inclianexpress.com,,?,,com,
Homoglyphs,indlanexpress.com,,?,,com,
Homoglyphs,lndianexpress.com,,?,,com,
Homoglyphs,lndlanexpress.com,,?,,com,
Wrong TLD,indianexpress.ca,,?,,ca,
Wrong TLD,indianexpress.ch,,?,,ch,
Wrong TLD,indianexpress.de,104.18.60.88,,mx1b.asco.de,de,
Wrong TLD,indianexpress.edu,,?,,edu,
Wrong TLD,indianexpress.es,185.14.59.134,,mail.indianexpress.es,es,
Wrong TLD,indianexpress.fr,,?,,fr,
Wrong TLD,indianexpress.it,,?,,it,
Wrong TLD,indianexpress.jp,,?,,jp,
