Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,ifowars.com,69.64.147.243,US,UNITED STATES,p.nsm.ctmail.com,com,
Character Omission,infoars.com,103.224.182.238,,mx92.mb5p.com,com,
Character Omission,infowar.com,208.72.84.7,US,UNITED STATES,aspmx4.googlemail.com,com,
Character Omission,infowars.cm,85.25.199.30,DE,GERMANY,,cm,
Character Omission,infowas.com,185.53.179.8,,mail.h-email.net,com,
Character Omission,infowrs.com,103.224.212.251,,mx92.mb5p.com,com,
Character Omission,infwars.com,23.22.147.222,US,UNITED STATES,,com,
Character Omission,inowars.com,103.224.212.237,,mx92.mb5p.com,com,
Character Repeat,iinfowars.com,,?,,com,
Character Repeat,inffowars.com,,?,,com,
Character Repeat,infoowars.com,,?,,com,
Character Repeat,infowaars.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Repeat,infowarrs.com,74.208.236.214,US,UNITED STATES,mx00.1and1.com,com,
Character Repeat,infowarss.com,103.224.212.222,,mx92.mb5p.com,com,
Character Repeat,infowwars.com,208.91.196.74,VG,VIRGIN ISLANDS (BRITISH),,com,
Character Repeat,innfowars.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Swap,ifnowars.com,184.168.221.32,AR,ARGENTINA,mailstore1.secureserver.net,com,
Character Swap,infoawrs.com,143.95.43.12,US,UNITED STATES,infoawrs.com,com,
Character Swap,infowasr.com,,?,,com,
Character Swap,infowras.com,103.224.212.241,,mx92.m1bp.com,com,
Character Swap,infwoars.com,,?,,com,
Character Swap,inofwars.com,37.48.65.136,RO,ROMANIA,,com,
Character Swap,nifowars.com,,?,,com,
Character Replacement,ibfowars.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Replacement,imfowars.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Replacement,indowars.com,67.55.92.184,US,UNITED STATES,mx7.indowars.com,com,
Character Replacement,infiwars.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Replacement,infoears.com,54.72.11.253,AU,AUSTRALIA,mail.h-email.net,com,
Character Replacement,infoqars.com,184.168.221.33,US,UNITED STATES,smtp.secureserver.net,com,
Character Replacement,infowaes.com,69.162.80.60,US,UNITED STATES,,com,
Character Replacement,infowara.com,103.224.182.250,,mx92.mb5p.com,com,
