Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,ig.com,195.234.39.132,NO,NORWAY,mail0.iggroup.com,com,
Character Omission,in.com,124.153.64.24,IN,INDIA,in-com.mail.protection.outlook.com,com,
Character Omission,ing.cm,,?,,cm,
Character Repeat,iing.com,23.253.58.227,,,com,
Character Repeat,ingg.com,185.26.230.129,,ingg-com.mail.protection.outlook.com,com,
Character Repeat,inng.com,162.243.10.151,,,com,
Character Swap,ign.com,54.236.136.176,®ˆ,,alt1.aspmx.l.google.com,com,
Character Swap,nig.com,89.151.119.18,CO,COLOMBIA,,com,
Character Replacement,ibg.com,,?,,com,
Character Replacement,img.com,64.30.129.165,US,UNITED STATES,us-smtp-inbound-2.mimecast.com,com,
Character Replacement,inf.com,122.98.132.26,IN,INDIA,bosgate02.inf.com,com,
Character Replacement,inh.com,69.172.201.153,US,UNITED STATES,,com,
Character Replacement,ong.com,72.194.134.19,US,UNITED STATES,mxa-00197902.gslb.pphosted.com,com,
Character Replacement,ung.com,192.186.227.91,,mail.ung.com,com,
Character Insertion,inbg.com,,?,,com,
Character Insertion,ingf.com,72.9.105.30,US,UNITED STATES,,com,
Character Insertion,ingh.com,72.9.105.30,US,UNITED STATES,,com,
Character Insertion,inmg.com,66.96.149.22,US,UNITED STATES,mx.inmg.com,com,
Character Insertion,iong.com,191.239.58.162,,,com,
Character Insertion,iung.com,209.61.212.154,US,UNITED STATES,smtp.getontheweb.com,com,
Missing Dot,ingcom.com,69.172.201.153,US,UNITED STATES,,com,
Missing Dot,wwwing.com,72.52.4.120,US,UNITED STATES,localhost,com,
Singular or Pluralise,ings.com,162.210.195.122,,,com,
Homophones,ayeng.com,52.71.185.125,UA,UKRAINE,,com,
Homophones,eyeng.com,218.150.79.88,KR,KOREA REPUBLIC OF,mail.eyeng.com,com,
Bit Flipping,ang.com,174.133.212.29,US,UNITED STATES,mail.ang.com,com,
Bit Flipping,hng.com,184.168.47.225,US,UNITED STATES,hng-com.mail.protection.outlook.com,com,
Bit Flipping,i.g.com,,?,,com,
Bit Flipping,ifg.com,75.126.100.19,US,UNITED STATES,,com,
Bit Flipping,ijg.com,203.78.142.12,IN,INDIA,,com,
Bit Flipping,ilg.com,12.42.131.208,US,UNITED STATES,ilg-com.mail.protection.outlook.com,com,
Bit Flipping,inc.com,151.101.194.58,US,UNITED STATES,mx1-us1.ppe-hosted.com,com,
Bit Flipping,ine.com,23.227.38.32,,alt2.aspmx.l.google.com,com,
Bit Flipping,ino.com,66.150.127.102,US,UNITED STATES,smtp.ino.com,com,
Bit Flipping,inw.com,75.126.101.252,ES,SPAIN,,com,
Bit Flipping,iog.com,208.73.211.70,CA,CANADA,,com,
Bit Flipping,kng.com,104.20.43.168,,aspmx2.googlemail.com,com,
Bit Flipping,mng.com,212.174.151.114,TR,TURKEY,posta.mng.com.tr,com,
Bit Flipping,yng.com,69.172.201.153,CN,CHINA,,com,
Homoglyphs,lng.com,206.130.145.25,US,UNITED STATES,mail3.sempraglobal.com,com,
Wrong TLD,ing.ca,64.15.138.8,CA,CANADA,,ca,
Wrong TLD,ing.ch,62.112.226.219,NL,NETHERLANDS,sho1nsmtp01.ing.ch,ch,
Wrong TLD,ing.de,62.112.226.219,US,UNITED STATES,mail1.ing-diba.de,de,
Wrong TLD,ing.edu,,?,,edu,
Wrong TLD,ing.es,193.41.234.29,AT,AUSTRIA,,es,
Wrong TLD,ing.fr,145.221.219.20,NL,NETHERLANDS,mail202.ing.net,fr,
Wrong TLD,ing.it,165.160.13.20,US,UNITED STATES,mail112.ing.net,it,
Wrong TLD,ing.jp,192.64.147.169,,,jp,
Wrong TLD,ing.net,,?,,net,
Wrong TLD,ing.nl,23.196.124.78,,mail103.ing.net,nl,
Wrong TLD,ing.no,194.63.248.97,NO,NORWAY,mx.domeneshop.no,no,
Wrong TLD,ing.org,104.25.18.104,,mx1.emailsrvr.com,org,
Wrong TLD,ing.ru,69.192.74.202,US,UNITED STATES,mail112.ing.net.ing.ru,ru,
Wrong TLD,ing.se,193.14.90.203,SE,SWEDEN,,se,
Wrong TLD,ing.us,165.160.13.20,US,UNITED STATES,,us,

