Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,inerpals.net,,?,,net,
Character Omission,intepals.net,208.91.196.102,VG,VIRGIN ISLANDS (BRITISH),,net,
Character Omission,interals.net,,?,,net,
Character Omission,interpal.net,,?,,net,
Character Omission,interpals.ne,,?,,ne,
Character Omission,interpas.net,185.110.226.50,,mailstore1.secureserver.net,net,
Character Omission,interpls.net,208.91.196.152,VG,VIRGIN ISLANDS (BRITISH),,net,
Character Omission,intrpals.net,,?,,net,
Character Omission,iterpals.net,208.91.196.20,VG,VIRGIN ISLANDS (BRITISH),,net,
Character Repeat,iinterpals.net,,?,,net,
Character Repeat,innterpals.net,,?,,net,
Character Repeat,inteerpals.net,,?,,net,
Character Repeat,interpaals.net,,?,,net,
Character Repeat,interpalls.net,199.191.50.73,,,net,
Character Repeat,interpalss.net,,?,,net,
Character Repeat,interppals.net,,?,,net,
Character Repeat,interrpals.net,,?,,net,
Character Repeat,intterpals.net,,?,,net,
Character Swap,inetrpals.net,103.224.212.222,,mx92.m1bp.com,net,
Character Swap,inteprals.net,,?,,net,
Character Swap,interapls.net,,?,,net,
Character Swap,interpasl.net,103.224.212.222,,park-mx.above.com,net,
Character Swap,interplas.net,103.224.212.251,,mx92.m1bp.com,net,
Character Swap,intrepals.net,,?,,net,
Character Swap,itnerpals.net,,?,,net,
Character Swap,niterpals.net,,?,,net,
Character Replacement,ibterpals.net,,?,,net,
Character Replacement,imterpals.net,103.224.212.222,,mx92.mb5p.com,net,
Character Replacement,inrerpals.net,,?,,net,
Character Replacement,inteepals.net,,?,,net,
Character Replacement,interoals.net,,?,,net,
Character Replacement,interpaks.net,,?,,net,
Character Replacement,interpala.net,,?,,net,
Character Replacement,interpald.net,,?,,net,
Character Replacement,interpsls.net,,?,,net,
Character Replacement,intetpals.net,,?,,net,
Character Replacement,intrrpals.net,,?,,net,
Character Replacement,intwrpals.net,54.217.222.113,US,UNITED STATES,mail.h-email.net,net,
Character Replacement,inyerpals.net,103.224.212.222,,mx92.m1bp.com,net,
Character Replacement,onterpals.net,,?,,net,
Character Replacement,unterpals.net,,?,,net,
Character Insertion,inbterpals.net,,?,,net,
Character Insertion,inmterpals.net,,?,,net,
Character Insertion,interepals.net,,?,,net,
Character Insertion,interpalks.net,,?,,net,
Character Insertion,interpalsa.net,,?,,net,
Character Insertion,interpalsd.net,,?,,net,
Character Insertion,interpasls.net,,?,,net,
Character Insertion,interpoals.net,,?,,net,
Character Insertion,intertpals.net,,?,,net,
Character Insertion,intewrpals.net,,?,,net,
Character Insertion,intrerpals.net,,?,,net,
Character Insertion,intyerpals.net,,?,,net,
Character Insertion,ionterpals.net,,?,,net,
Character Insertion,iunterpals.net,,?,,net,
Missing Dot,interpalsnet.com,103.224.212.222,,park-mx.above.com,com,
Missing Dot,wwwinterpals.net,,?,,net,
Vowel Swap,interpels.net,,?,,net,
Vowel Swap,interpils.net,,?,,net,
Vowel Swap,interpols.net,185.53.178.6,,mail.h-email.net,net,
Vowel Swap,interpuls.net,,?,,net,
Homophones,ayenterpals.net,,?,,net,
Homophones,eyenterpals.net,,?,,net,
Bit Flipping,anterpals.net,,?,,net,
Bit Flipping,hnterpals.net,,?,,net,
Bit Flipping,i.terpals.net,,?,,net,
Bit Flipping,ifterpals.net,,?,,net,
Bit Flipping,ijterpals.net,,?,,net,
Bit Flipping,ilterpals.net,,?,,net,
Bit Flipping,in4erpals.net,,?,,net,
Bit Flipping,inderpals.net,,?,,net,
Bit Flipping,inperpals.net,,?,,net,
Bit Flipping,intarpals.net,,?,,net,
Bit Flipping,intdrpals.net,,?,,net,
Bit Flipping,inte2pals.net,,?,,net,
Bit Flipping,intebpals.net,,?,,net,
Bit Flipping,inteppals.net,,?,,net,
Bit Flipping,inter0als.net,,?,,net,
Bit Flipping,interpads.net,,?,,net,
Bit Flipping,interpahs.net,,?,,net,
Bit Flipping,interpal3.net,,?,,net,
Bit Flipping,interpalc.net,,?,,net,
Bit Flipping,interpalq.net,,?,,net,
Bit Flipping,interpalr.net,,?,,net,
Bit Flipping,interpalw.net,,?,,net,
Bit Flipping,interpams.net,,?,,net,
Bit Flipping,interpans.net,,?,,net,
Bit Flipping,interpcls.net,,?,,net,
Bit Flipping,interpqls.net,,?,,net,
Bit Flipping,interqals.net,,?,,net,
Bit Flipping,interrals.net,,?,,net,
Bit Flipping,intertals.net,,?,,net,
Bit Flipping,interxals.net,,?,,net,
Bit Flipping,intespals.net,,?,,net,
Bit Flipping,intevpals.net,,?,,net,
Bit Flipping,intezpals.net,,?,,net,
Bit Flipping,intgrpals.net,,?,,net,
Bit Flipping,intmrpals.net,,?,,net,
Bit Flipping,inturpals.net,,?,,net,
Bit Flipping,inuerpals.net,,?,,net,
Bit Flipping,inverpals.net,,?,,net,
Bit Flipping,ioterpals.net,,?,,net,
Bit Flipping,knterpals.net,,?,,net,
Bit Flipping,mnterpals.net,,?,,net,
Bit Flipping,ynterpals.net,,?,,net,
Homoglyphs,interpa1s.net,,?,,net,
Homoglyphs,lnterpals.net,173.239.5.6,US,UNITED STATES,mx7.lnterpals.net,net,
Wrong TLD,interpals.ca,,?,,ca,
Wrong TLD,interpals.ch,,?,,ch,
Wrong TLD,interpals.com,54.229.64.26,US,UNITED STATES,aspmx3.googlemail.com,com,
Wrong TLD,interpals.de,72.52.179.175,US,UNITED STATES,mx156.hostedmxserver.com,de,
Wrong TLD,interpals.edu,,?,,edu,
Wrong TLD,interpals.es,,?,,es,
Wrong TLD,interpals.fr,185.53.177.29,,,fr,
Wrong TLD,interpals.it,,?,,it,
Wrong TLD,interpals.jp,,?,,jp,
Wrong TLD,interpals.nl,213.132.197.183,NL,NETHERLANDS,mailfilter.webguru.nl,nl,
Wrong TLD,interpals.no,,?,,no,
Wrong TLD,interpals.org,208.91.196.126,VG,VIRGIN ISLANDS (BRITISH),,org,
Wrong TLD,interpals.ru,194.85.61.76,RU,RUSSIAN FEDERATION,nomail.nic.ru,ru,
Wrong TLD,interpals.se,,?,,se,
Wrong TLD,interpals.us,,?,,us,

