Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,ich.io,89.31.143.1,ÃJ,,smx01.udag.de,io,
Character Omission,itc.io,208.85.208.162,US,UNITED STATES,in2-smtp.messagingengine.com,io,
Character Omission,ith.io,72.52.4.121,US,UNITED STATES,localhost,io,
Character Repeat,iitch.io,,?,,io,
Character Repeat,itcch.io,,?,,io,
Character Repeat,itchh.io,,?,,io,
Character Repeat,ittch.io,,?,,io,
Character Swap,icth.io,199.59.242.150,CN,CHINA,mx76.m2bp.com,io,
Character Swap,ithc.io,,?,,io,
Character Swap,tich.io,138.68.104.198,US,UNITED STATES,alt2.aspmx.l.google.com,io,
Character Replacement,irch.io,,?,,io,
Character Replacement,itcg.io,,?,,io,
Character Replacement,itcj.io,,?,,io,
Character Replacement,itvh.io,,?,,io,
Character Replacement,itxh.io,,?,,io,
Character Replacement,iych.io,,?,,io,
Character Replacement,otch.io,,?,,io,
Character Replacement,utch.io,,?,,io,
Character Insertion,iotch.io,,?,,io,
Character Insertion,itchg.io,,?,,io,
Character Insertion,itchj.io,,?,,io,
Character Insertion,itcvh.io,,?,,io,
Character Insertion,itcxh.io,,?,,io,
Character Insertion,itrch.io,,?,,io,
Character Insertion,itych.io,,?,,io,
Character Insertion,iutch.io,,?,,io,
Missing Dot,itchio.com,50.63.202.53,US,UNITED STATES,mailstore1.secureserver.net,com,
Missing Dot,wwwitch.io,,?,,io,
Singular or Pluralise,itches.io,,?,,io,
Vowel Swap,itch.ie,85.233.160.22,GB,UNITED KINGDOM,fwd1.hosts.co.uk,ie,
Bit Flipping,atch.io,,?,,io,
Bit Flipping,htch.io,192.185.162.212,,mail.htch.io,io,
Bit Flipping,i4ch.io,,?,,io,
Bit Flipping,idch.io,,?,,io,
Bit Flipping,ipch.io,,?,,io,
Bit Flipping,itah.io,,?,,io,
Bit Flipping,itbh.io,,?,,io,
Bit Flipping,itch.im,,?,,im,
Bit Flipping,itch.in,,?,,in,
Bit Flipping,itch.mo,,?,,mo,
Bit Flipping,itci.io,,?,,io,
Bit Flipping,itcl.io,104.27.142.1,,spool.mail.gandi.net,io,
Bit Flipping,itcx.io,107.22.174.103,US,UNITED STATES,mx1.itcsa.net,io,
Bit Flipping,itgh.io,,?,,io,
Bit Flipping,itkh.io,,?,,io,
Bit Flipping,itsh.io,,?,,io,
Bit Flipping,iuch.io,,?,,io,
Bit Flipping,ivch.io,,?,,io,
Bit Flipping,ktch.io,,?,,io,
Bit Flipping,mtch.io,104.199.122.45,,,io,
Bit Flipping,ytch.io,,?,,io,
Homoglyphs,ltch.io,,?,,io,
Wrong TLD,itch.ca,,?,,ca,
Wrong TLD,itch.ch,199.59.242.150,JP,JAPAN,mx76.m2bp.com,ch,
Wrong TLD,itch.com,23.21.132.41,US,UNITED STATES,aspmx3.googlemail.com,com,
Wrong TLD,itch.de,217.160.231.184,DE,GERMANY,mx01.schlund.de,de,
Wrong TLD,itch.edu,,?,,edu,
Wrong TLD,itch.es,79.170.44.151,GB,UNITED KINGDOM,mail.itch.es,es,
Wrong TLD,itch.fr,195.154.32.91,FR,FRANCE,,fr,
Wrong TLD,itch.it,62.149.128.151,IT,ITALY,mx.itch.it,it,
Wrong TLD,itch.jp,157.7.107.138,JP,JAPAN,mx01.lolipop.jp,jp,
Wrong TLD,itch.net,206.188.193.196,US,UNITED STATES,mx1.netsolmail.net,net,
Wrong TLD,itch.nl,145.131.10.178,NL,NETHERLANDS,maildrop1.argewebhosting.nl,nl,
Wrong TLD,itch.no,194.63.248.70,NO,NORWAY,alt1.aspmx.l.google.com,no,
Wrong TLD,itch.org,74.117.114.91,KY,CAYMAN ISLANDS,,org,
Wrong TLD,itch.ru,195.16.62.67,RU,RUSSIAN FEDERATION,mail.itch.ru,ru,
Wrong TLD,itch.se,195.74.38.142,SE,SWEDEN,,se,
Wrong TLD,itch.us,72.52.178.23,US,UNITED STATES,mx156.hostedmxserver.com,us,

