Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,jaanpost.jp,,?,,jp,
Character Omission,japanost.jp,,?,,jp,
Character Omission,japanpos.jp,,?,,jp,
Character Omission,japanpot.jp,,?,,jp,
Character Omission,japanpst.jp,,?,,jp,
Character Omission,japapost.jp,,?,,jp,
Character Omission,japnpost.jp,,?,,jp,
Character Omission,jpanpost.jp,,?,,jp,
Character Repeat,jaapanpost.jp,,?,,jp,
Character Repeat,japaanpost.jp,,?,,jp,
Character Repeat,japannpost.jp,,?,,jp,
Character Repeat,japanpoost.jp,,?,,jp,
Character Repeat,japanposst.jp,,?,,jp,
Character Repeat,japanpostt.jp,,?,,jp,
Character Repeat,japanppost.jp,,?,,jp,
Character Repeat,jappanpost.jp,,?,,jp,
Character Repeat,jjapanpost.jp,,?,,jp,
Character Swap,ajpanpost.jp,,?,,jp,
Character Swap,jaapnpost.jp,,?,,jp,
Character Swap,japanopst.jp,,?,,jp,
Character Swap,japanpots.jp,,?,,jp,
Character Swap,japanpsot.jp,,?,,jp,
Character Swap,japapnost.jp,,?,,jp,
Character Swap,japnapost.jp,,?,,jp,
Character Swap,jpaanpost.jp,,?,,jp,
Character Replacement,hapanpost.jp,,?,,jp,
Character Replacement,jaoanpost.jp,,?,,jp,
Character Replacement,japabpost.jp,,?,,jp,
Character Replacement,japampost.jp,,?,,jp,
Character Replacement,japanoost.jp,,?,,jp,
Character Replacement,japanpist.jp,,?,,jp,
Character Replacement,japanpoat.jp,,?,,jp,
Character Replacement,japanpodt.jp,,?,,jp,
Character Replacement,japanposr.jp,,?,,jp,
Character Replacement,japanpost.jo,,?,,jo,
Character Replacement,japanpost.kp,,?,,kp,
Character Replacement,japanposy.jp,,?,,jp,
Character Replacement,japanppst.jp,,?,,jp,
Character Replacement,japsnpost.jp,,?,,jp,
Character Replacement,jspanpost.jp,,?,,jp,
Character Replacement,kapanpost.jp,,?,,jp,
Character Insertion,japanbpost.jp,,?,,jp,
Character Insertion,japanmpost.jp,,?,,jp,
Character Insertion,japanpoist.jp,,?,,jp,
Character Insertion,japanpopst.jp,,?,,jp,
Character Insertion,japanposat.jp,,?,,jp,
Character Insertion,japanposdt.jp,,?,,jp,
Character Insertion,japanpostr.jp,,?,,jp,
Character Insertion,japanposty.jp,,?,,jp,
Character Insertion,japasnpost.jp,,?,,jp,
Character Insertion,japoanpost.jp,,?,,jp,
Character Insertion,jaspanpost.jp,,?,,jp,
Character Insertion,jhapanpost.jp,,?,,jp,
Character Insertion,jkapanpost.jp,,?,,jp,
Missing Dot,japanpostjp.com,,?,,com,
Missing Dot,wwwjapanpost.jp,,?,,jp,
Singular or Pluralise,japanposts.jp,,?,,jp,
Vowel Swap,japanpast.jp,,?,,jp,
Vowel Swap,japanpest.jp,,?,,jp,
Vowel Swap,japanpust.jp,,?,,jp,
Vowel Swap,jepenpost.jp,,?,,jp,
Vowel Swap,jipinpost.jp,,?,,jp,
Vowel Swap,joponpost.jp,,?,,jp,
Vowel Swap,jupunpost.jp,,?,,jp,
Bit Flipping,bapanpost.jp,,?,,jp,
Bit Flipping,ja0anpost.jp,,?,,jp,
Bit Flipping,japa.post.jp,,?,,jp,
Bit Flipping,japafpost.jp,,?,,jp,
