Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,j.com,,?,,com,
Character Omission,jd.cm,85.25.199.30,DE,GERMANY,,cm,
Character Repeat,jdd.com,,?,mail.jiangduoduo.com,com,
Character Repeat,jjd.com,100.0.46.53,US,UNITED STATES,mail.jjd.com,com,
Character Swap,dj.com,205.203.135.49,US,UNITED STATES,netcomsv.netcom.com,com,
Character Replacement,hd.com,50.63.202.56,US,UNITED STATES,,com,
Character Replacement,jf.com,,?,mxw.mxhichina.com,com,
Character Replacement,js.com,50.87.249.69,US,UNITED STATES,mail.js.com,com,
Character Replacement,kd.com,123.1.194.182,HK,HONG KONG,,com,
Character Insertion,jdf.com,212.95.74.23,FR,FRANCE,jdf-com.mail.protection.outlook.com,com,
Character Insertion,jds.com,74.208.236.71,US,UNITED STATES,alt1.aspmx.l.google.com,com,
Character Insertion,jhd.com,118.193.140.138,CN,CHINA,,com,
Character Insertion,jkd.com,111.20.247.66,CN,CHINA,qiye163mx02.mxmail.netease.com,com,
Missing Dot,jdcom.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Missing Dot,wwwjd.com,118.193.143.99,CN,CHINA,,com,
Bit Flipping,bd.com,184.154.210.187,US,UNITED STATES,mxa-0017d901.gslb.pphosted.com,com,
Bit Flipping,je.com,173.201.144.128,US,UNITED STATES,mailstore1.secureserver.net,com,
Bit Flipping,jl.com,205.178.189.131,US,UNITED STATES,mx2.lanlogic.net,com,
Bit Flipping,jt.com,210.128.210.211,JP,JAPAN,jt-com.mail.protection.outlook.com,com,
Bit Flipping,nd.com,50.63.202.16,US,UNITED STATES,alt3.aspmx.l.google.com,com,
Bit Flipping,zd.com,64.30.224.118,US,UNITED STATES,,com,
Homoglyphs,jcl.com,167.94.249.44,US,UNITED STATES,cust44724-1.in.mailcontrol.com,com,
Wrong TLD,jd.ca,158.69.152.98,US,UNITED STATES,jd.ca,ca,
Wrong TLD,jd.ch,,?,,ch,
Wrong TLD,jd.de,185.53.178.7,,mail.h-email.net,de,
Wrong TLD,jd.edu,,?,,edu,
Wrong TLD,jd.es,,?,,es,
Wrong TLD,jd.fr,,?,mx3.nameshield.com,fr,
Wrong TLD,jd.it,,?,,it,
Wrong TLD,jd.jp,,?,,jp,
Wrong TLD,jd.net,64.233.240.43,US,UNITED STATES,jd-net.mail.protection.outlook.com,net,
Wrong TLD,jd.nl,213.108.105.69,NL,NETHERLANDS,mail.jongedemocraten.nl,nl,
Wrong TLD,jd.no,,?,,no,
Wrong TLD,jd.org,184.168.221.50,US,UNITED STATES,mailstore1.secureserver.net,org,
Wrong TLD,jd.ru,202.77.129.181,HK,HONG KONG,mx.jd.ru,ru,
Wrong TLD,jd.se,96.45.82.57,US,UNITED STATES,,se,
Wrong TLD,jd.us,,?,,us,

