Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,jeebel.com,67.55.92.184,US,UNITED STATES,mx7.jeebel.com,com,
Character Omission,jezbel.com,70.32.1.32,US,UNITED STATES,park-mx.above.com,com,
Character Omission,jezebe.com,184.168.221.104,US,UNITED STATES,,com,
Character Omission,jezebel.cm,85.25.199.30,DE,GERMANY,,cm,
Character Omission,jezebl.com,103.224.212.244,,mx92.m1bp.com,com,
Character Omission,jezeel.com,72.52.179.175,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Omission,jzebel.com,67.55.92.187,US,UNITED STATES,mx7.jzebel.com,com,
Character Repeat,jeezebel.com,72.52.179.175,CA,CANADA,mx156.hostedmxserver.com,com,
Character Repeat,jezebbel.com,,?,,com,
Character Repeat,jezebeel.com,,?,,com,
Character Repeat,jezebell.com,208.91.197.128,H5,,alt1.aspmx.l.google.com,com,
Character Repeat,jezeebel.com,74.208.236.83,US,UNITED STATES,mx00.1and1.com,com,
Character Repeat,jezzebel.com,,?,,com,
Character Repeat,jjezebel.com,,?,,com,
Character Swap,ejzebel.com,,?,,com,
Character Swap,jeezbel.com,,?,,com,
Character Swap,jezbeel.com,,?,,com,
Character Swap,jezeble.com,204.11.56.37,,,com,
Character Swap,jezeebl.com,,?,,com,
Character Swap,jzeebel.com,,?,,com,
Character Replacement,hezebel.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Replacement,jexebel.com,72.52.179.175,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Replacement,jezebek.com,158.85.87.76,US,UNITED STATES,mail.jezebek.com,com,
Character Replacement,jezebrl.com,,?,,com,
Character Replacement,jezebwl.com,72.52.4.121,US,UNITED STATES,localhost,com,
Character Replacement,jezenel.com,,?,,com,
Character Replacement,jezevel.com,,?,,com,
Character Replacement,jezrbel.com,,?,,com,
Character Replacement,jezwbel.com,,?,,com,
Character Replacement,jrzebel.com,,?,,com,
Character Replacement,jwzebel.com,,?,,com,
Character Replacement,kezebel.com,,?,,com,
Character Insertion,jerzebel.com,,?,,com,
Character Insertion,jewzebel.com,,?,,com,
Character Insertion,jezebelk.com,,?,,com,
Character Insertion,jezeberl.com,,?,,com,
Character Insertion,jezebewl.com,,?,,com,
Character Insertion,jezebnel.com,,?,,com,
Character Insertion,jezebvel.com,,?,,com,
Character Insertion,jezerbel.com,,?,,com,
Character Insertion,jezewbel.com,,?,,com,
Character Insertion,jezxebel.com,,?,,com,
Character Insertion,jhezebel.com,,?,,com,
Character Insertion,jkezebel.com,,?,,com,
Missing Dot,jezebelcom.com,,?,,com,
Missing Dot,wwwjezebel.com,72.52.4.120,US,UNITED STATES,localhost,com,
Singular or Pluralise,jezebels.com,198.54.120.18,,smx1.web-hosting.com,com,
Vowel Swap,jazabal.com,,?,,com,
Vowel Swap,jizibil.com,,?,,com,
Vowel Swap,jozobol.com,,?,,com,
Vowel Swap,juzubul.com,,?,,com,
Bit Flipping,bezebel.com,,?,,com,
Bit Flipping,jazebel.com,69.162.80.55,US,UNITED STATES,,com,
Bit Flipping,jdzebel.com,,?,,com,
Bit Flipping,jejebel.com,,?,,com,
Bit Flipping,jerebel.com,,?,,com,
Bit Flipping,jezabel.com,69.172.201.153,DK,DENMARK,,com,
Bit Flipping,jezdbel.com,,?,,com,
Bit Flipping,jezebal.com,,?,,com,
Bit Flipping,jezebdl.com,,?,,com,
Bit Flipping,jezebed.com,,?,,com,
Bit Flipping,jezebeh.com,,?,,com,
Bit Flipping,jezebem.com,,?,,com,
Bit Flipping,jezeben.com,,?,,com,
Bit Flipping,jezebgl.com,,?,,com,
Bit Flipping,jezebml.com,,?,,com,
Bit Flipping,jezebul.com,,?,,com,
Bit Flipping,jezecel.com,,?,,com,
Bit Flipping,jezefel.com,,?,,com,
Bit Flipping,jezejel.com,,?,,com,
Bit Flipping,jezerel.com,52.73.71.92,US,UNITED STATES,,com,
Bit Flipping,jezgbel.com,,?,,com,
Bit Flipping,jezmbel.com,,?,,com,
Bit Flipping,jezubel.com,,?,,com,
Bit Flipping,jgzebel.com,,?,,com,
Bit Flipping,jmzebel.com,,?,,com,
Bit Flipping,juzebel.com,,?,,com,
Bit Flipping,nezebel.com,,?,,com,
Bit Flipping,zezebel.com,,?,,com,
Homoglyphs,jezebe1.com,,?,,com,
Wrong TLD,jezebel.ca,69.172.201.153,US,UNITED STATES,,ca,
Wrong TLD,jezebel.ch,195.160.191.9,CH,SWITZERLAND,mail.jezebel.ch,ch,
Wrong TLD,jezebel.de,72.52.4.121,US,UNITED STATES,localhost,de,
Wrong TLD,jezebel.edu,,?,,edu,
Wrong TLD,jezebel.es,165.160.15.20,US,UNITED STATES,custmx.cscdns.net,es,
Wrong TLD,jezebel.fr,,?,,fr,
Wrong TLD,jezebel.it,165.160.15.20,US,UNITED STATES,custmx.cscdns.net,it,
Wrong TLD,jezebel.jp,165.160.13.20,US,UNITED STATES,custmx.cscdns.net,jp,
Wrong TLD,jezebel.net,108.170.32.100,US,UNITED STATES,,net,
Wrong TLD,jezebel.nl,37.97.135.129,RO,ROMANIA,,nl,
Wrong TLD,jezebel.no,46.30.213.209,DK,DENMARK,mxcluster1.one.com,no,
Wrong TLD,jezebel.org,192.252.149.24,,mail.jezebel.org,org,
Wrong TLD,jezebel.ru,72.52.4.120,US,UNITED STATES,,ru,
Wrong TLD,jezebel.se,165.160.13.20,US,UNITED STATES,custmx.cscdns.net,se,
Wrong TLD,jezebel.us,72.52.4.121,US,UNITED STATES,localhost,us,

