Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,jst-eat.co.uk,,?,,co.uk,
Character Omission,jus-eat.co.uk,103.224.182.211,,mx92.m1bp.com,co.uk,
Character Omission,just-at.co.uk,,?,,co.uk,
Character Omission,just-ea.co.uk,199.59.242.150,CN,CHINA,mx76.m2bp.com,co.uk,
Character Omission,just-et.co.uk,,?,,co.uk,
Character Omission,justeat.co.uk,165.160.13.20,US,UNITED STATES,mxa-0027a501.gslb.pphosted.com,co.uk,
Character Omission,jut-eat.co.uk,,?,,co.uk,
Character Repeat,jjust-eat.co.uk,,?,,co.uk,
Character Repeat,jusst-eat.co.uk,,?,,co.uk,
Character Repeat,just--eat.co.uk,,?,,co.uk,
Character Repeat,just-eaat.co.uk,141.8.224.169,CH,SWITZERLAND,,co.uk,
Character Repeat,just-eatt.co.uk,,?,,co.uk,
Character Repeat,just-eeat.co.uk,,?,,co.uk,
Character Repeat,justt-eat.co.uk,,?,,co.uk,
Character Repeat,juust-eat.co.uk,,?,,co.uk,
Character Swap,jsut-eat.co.uk,103.224.212.222,,mx92.m1bp.com,co.uk,
Character Swap,jus-teat.co.uk,,?,,co.uk,
Character Swap,just-aet.co.uk,,?,,co.uk,
Character Swap,just-eta.co.uk,,?,,co.uk,
Character Swap,juste-at.co.uk,,?,,co.uk,
Character Swap,juts-eat.co.uk,,?,,co.uk,
Character Swap,ujst-eat.co.uk,,?,,co.uk,
Character Replacement,hust-eat.co.uk,,?,,co.uk,
Character Replacement,jist-eat.co.uk,,?,,co.uk,
Character Replacement,juat-eat.co.uk,,?,,co.uk,
Character Replacement,judt-eat.co.uk,103.224.182.243,,mx92.mb5p.com,co.uk,
Character Replacement,jusr-eat.co.uk,,?,,co.uk,
Character Replacement,just-ear.co.uk,103.224.182.251,,mx92.mb5p.com,co.uk,
Character Replacement,just-eay.co.uk,,?,,co.uk,
Character Replacement,just-est.co.uk,,?,,co.uk,
Character Replacement,just-rat.co.uk,,?,,co.uk,
Character Replacement,just-wat.co.uk,193.189.74.71,GB,UNITED KINGDOM,just-wat.co.uk,co.uk,
Character Replacement,just0eat.co.uk,,?,,co.uk,
Character Replacement,jusy-eat.co.uk,,?,,co.uk,
