Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,j.org,50.63.46.1,US,UNITED STATES,,org,
Character Repeat,jjw.org,208.73.211.70,US,UNITED STATES,,org,
Character Repeat,jww.org,50.116.82.44,US,UNITED STATES,alt1.aspmx.l.google.com,org,
Character Swap,wj.org,72.52.4.120,US,UNITED STATES,localhost,org,
Character Replacement,hw.org,,?,,org,
Character Replacement,je.org,188.117.29.94,FI,FINLAND,mail4.nebula.fi,org,
Character Replacement,jq.org,72.52.4.121,US,UNITED STATES,localhost,org,
Character Replacement,kw.org,206.214.166.157,US,UNITED STATES,mail.kw.org,org,
Character Insertion,jhw.org,69.172.201.153,US,UNITED STATES,,org,
Character Insertion,jkw.org,69.172.201.153,US,UNITED STATES,,org,
Character Insertion,jwe.org,192.64.147.150,,mail.b-io.co,org,
Character Insertion,jwq.org,72.52.4.121,US,UNITED STATES,localhost,org,
Missing Dot,jworg.com,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,com,
Missing Dot,wwwjw.org,199.191.50.73,,,org,
Singular or Pluralise,jws.org,208.73.210.202,US,UNITED STATES,,org,
Bit Flipping,bw.org,104.130.198.151,,mx1.emailsrvr.com,org,
Bit Flipping,j7.org,,?,,org,
Bit Flipping,jg.org,198.54.115.164,,smx3.web-hosting.com,org,
Bit Flipping,js.org,104.27.138.230,,mail.js.org,org,
Bit Flipping,ju.org,72.52.4.121,US,UNITED STATES,localhost,org,
Bit Flipping,jv.org,69.172.201.153,US,UNITED STATES,,org,
Bit Flipping,nw.org,40.71.216.68,GB,UNITED KINGDOM,nw-org.mail.protection.outlook.com,org,
Bit Flipping,zw.org,72.52.4.121,US,UNITED STATES,localhost,org,
Homoglyphs,jvv.org,75.126.100.23,US,UNITED STATES,,org,
Wrong TLD,jw.ca,216.40.47.17,CA,CANADA,,ca,
Wrong TLD,jw.ch,,?,,ch,
Wrong TLD,jw.com,34.202.44.193,US,UNITED STATES,us-smtp-inbound-2.mimecast.com,com,
Wrong TLD,jw.de,89.146.206.75,DE,GERMANY,mx.jobware.net,de,
Wrong TLD,jw.edu,,?,,edu,
Wrong TLD,jw.es,,?,,es,
Wrong TLD,jw.fr,95.142.101.112,NL,NETHERLANDS,mx02.nexthal.com,fr,
Wrong TLD,jw.it,,?,,it,
Wrong TLD,jw.jp,,?,,jp,
Wrong TLD,jw.net,,?,,net,
Wrong TLD,jw.nl,87.233.214.138,NL,NETHERLANDS,mail.jw.nl,nl,
Wrong TLD,jw.no,212.125.204.196,NO,NORWAY,,no,
Wrong TLD,jw.ru,72.52.4.121,US,UNITED STATES,localhost,ru,
Wrong TLD,jw.se,194.71.254.40,SE,SWEDEN,,se,
Wrong TLD,jw.us,,?,,us,

