Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,kaierpermanente.org,69.162.80.58,US,UNITED STATES,,org,
Character Omission,kaisepermanente.org,185.53.179.8,,,org,
Character Omission,kaiserermanente.org,68.178.213.61,US,UNITED STATES,,org,
Character Omission,kaiserpemanente.org,,?,,org,
Character Omission,kaiserperanente.org,51.254.28.160,GB,UNITED KINGDOM,,org,
Character Omission,kaiserpermaente.org,98.124.245.24,US,UNITED STATES,mail.b-io.co,org,
Character Omission,kaiserpermanene.org,,?,,org,
Character Omission,kaiserpermanent.org,,?,,org,
Character Omission,kaiserpermanete.org,185.53.178.8,,mail.h-email.net,org,
Character Omission,kaiserpermannte.org,,?,,org,
Character Omission,kaiserpermnente.org,,?,,org,
Character Omission,kaiserprmanente.org,,?,,org,
Character Omission,kaisrpermanente.org,199.59.242.150,CN,CHINA,mx76.mb1p.com,org,
Character Omission,kaserpermanente.org,185.53.178.8,,mail.h-email.net,org,
Character Omission,kiserpermanente.org,69.162.80.58,US,UNITED STATES,,org,
Character Repeat,kaaiserpermanente.org,,?,,org,
Character Repeat,kaiiserpermanente.org,,?,,org,
Character Repeat,kaiseerpermanente.org,,?,,org,
Character Repeat,kaiserpeermanente.org,,?,,org,
Character Repeat,kaiserpermaanente.org,,?,,org,
Character Repeat,kaiserpermaneente.org,,?,,org,
Character Repeat,kaiserpermanennte.org,,?,,org,
Character Repeat,kaiserpermanentee.org,,?,,org,
Character Repeat,kaiserpermanentte.org,,?,,org,
Character Repeat,kaiserpermannente.org,,?,,org,
Character Repeat,kaiserpermmanente.org,,?,,org,
Character Repeat,kaiserperrmanente.org,,?,,org,
Character Repeat,kaiserppermanente.org,,?,,org,
Character Repeat,kaiserrpermanente.org,,?,,org,
Character Repeat,kaisserpermanente.org,185.53.178.9,,mail.h-email.net,org,
Character Repeat,kkaiserpermanente.org,,?,,org,
Character Swap,akiserpermanente.org,,?,,org,
Character Swap,kaiesrpermanente.org,,?,,org,
Character Swap,kaiseprermanente.org,,?,,org,
Character Swap,kaisereprmanente.org,,?,,org,
Character Swap,kaiserpemranente.org,,?,,org,
Character Swap,kaiserperamnente.org,,?,,org,
Character Swap,kaiserpermaennte.org,,?,,org,
Character Swap,kaiserpermanenet.org,,?,,org,
Character Swap,kaiserpermanetne.org,,?,,org,
Character Swap,kaiserpermannete.org,,?,,org,
Character Swap,kaiserpermnaente.org,,?,,org,
Character Swap,kaiserpremanente.org,69.162.80.59,US,UNITED STATES,,org,
Character Swap,kaisrepermanente.org,,?,,org,
Character Swap,kasierpermanente.org,72.52.4.121,E¤,,localhost,org,
Character Swap,kiaserpermanente.org,69.162.80.53,US,UNITED STATES,,org,
Character Replacement,jaiserpermanente.org,,?,,org,
Character Replacement,kaiaerpermanente.org,,?,,org,
Character Replacement,kaiderpermanente.org,,?,,org,
Character Replacement,kaiseepermanente.org,,?,,org,
Character Replacement,kaiseroermanente.org,,?,,org,
Character Replacement,kaiserpeemanente.org,,?,,org,
Character Replacement,kaiserpermabente.org,,?,,org,
Character Replacement,kaiserpermamente.org,,?,,org,
Character Replacement,kaiserpermanebte.org,,?,,org,
Character Replacement,kaiserpermanemte.org,,?,,org,
Character Replacement,kaiserpermanenre.org,185.53.178.8,,mail.h-email.net,org,
Character Replacement,kaiserpermanentr.org,184.168.221.104,US,UNITED STATES,,org,
Character Replacement,kaiserpermanentw.org,,?,,org,
Character Replacement,kaiserpermanenye.org,208.91.197.91,VG,VIRGIN ISLANDS (BRITISH),,org,
Character Replacement,kaiserpermanrnte.org,,?,,org,
Character Replacement,kaiserpermanwnte.org,,?,,org,
Character Replacement,kaiserpermsnente.org,185.53.178.6,,mail.h-email.net,org,
Character Replacement,kaiserpernanente.org,69.162.80.55,US,UNITED STATES,,org,
Character Replacement,kaiserpetmanente.org,,?,,org,
Character Replacement,kaiserprrmanente.org,,?,,org,
Character Replacement,kaiserpwrmanente.org,,?,,org,
Character Replacement,kaisetpermanente.org,,?,,org,
Character Replacement,kaisrrpermanente.org,,?,,org,
Character Replacement,kaiswrpermanente.org,,?,,org,
Character Replacement,kaoserpermanente.org,69.64.147.242,CA,CANADA,,org,
Character Replacement,kauserpermanente.org,,?,,org,
Character Replacement,ksiserpermanente.org,,?,,org,
Character Replacement,laiserpermanente.org,,?,,org,
Character Insertion,kaioserpermanente.org,,?,,org,
Character Insertion,kaisaerpermanente.org,208.91.197.91,VG,VIRGIN ISLANDS (BRITISH),,org,
Character Insertion,kaisderpermanente.org,208.91.197.91,VG,VIRGIN ISLANDS (BRITISH),,org,
Character Insertion,kaiserepermanente.org,,?,,org,
Character Insertion,kaiserperemanente.org,,?,,org,
Character Insertion,kaiserpermanbente.org,,?,,org,
Character Insertion,kaiserpermanenbte.org,,?,,org,
Character Insertion,kaiserpermanenmte.org,,?,,org,
Character Insertion,kaiserpermanenter.org,158.69.143.112,US,UNITED STATES,,org,
Character Insertion,kaiserpermanentew.org,,?,,org,
Character Insertion,kaiserpermanentre.org,,?,,org,
Character Insertion,kaiserpermanentye.org,,?,,org,
Character Insertion,kaiserpermanernte.org,,?,,org,
Character Insertion,kaiserpermanewnte.org,,?,,org,
Character Insertion,kaiserpermanmente.org,,?,,org,
Character Insertion,kaiserpermasnente.org,,?,,org,
Character Insertion,kaiserpermnanente.org,,?,,org,
Character Insertion,kaiserpertmanente.org,,?,,org,
Character Insertion,kaiserpewrmanente.org,208.91.197.91,VG,VIRGIN ISLANDS (BRITISH),,org,
Character Insertion,kaiserpoermanente.org,,?,,org,
Character Insertion,kaisertpermanente.org,,?,,org,
Character Insertion,kaisewrpermanente.org,,?,,org,
Character Insertion,kaiuserpermanente.org,,?,,org,
Character Insertion,kasiserpermanente.org,,?,,org,
Character Insertion,kjaiserpermanente.org,,?,,org,
Character Insertion,klaiserpermanente.org,,?,,org,
Missing Dot,kaiserpermanenteorg.com,,?,,com,
Missing Dot,wwwkaiserpermanente.org,,?,,org,
Singular or Pluralise,kaiserpermanentes.org,,?,,org,
Common Misspelling,kaiserpermenante.org,72.52.10.14,US,UNITED STATES,,org,
Vowel Swap,kaaserpermanente.org,,?,,org,
Vowel Swap,kaeserpermanente.org,,?,,org,
Vowel Swap,kaisarparmananta.org,,?,,org,
Vowel Swap,kaisirpirmaninti.org,,?,,org,
Vowel Swap,kaisorpormanonto.org,,?,,org,
Vowel Swap,kaisurpurmanuntu.org,,?,,org,
Vowel Swap,keiserpermenente.org,,?,,org,
Vowel Swap,kiiserperminente.org,,?,,org,
Vowel Swap,koiserpermonente.org,,?,,org,
Vowel Swap,kuiserpermunente.org,,?,,org,
Homophones,kaayeserpermanente.org,,?,,org,
Homophones,kaeyeserpermanente.org,,?,,org,
Homophones,kaiserpermainnte.org,,?,,org,
Homophones,kaiserpurrmanente.org,,?,,org,
Bit Flipping,caiserpermanente.org,,?,,org,
Bit Flipping,iaiserpermanente.org,,?,,org,
Bit Flipping,kahserpermanente.org,,?,,org,
Bit Flipping,kai3erpermanente.org,,?,,org,
Bit Flipping,kaicerpermanente.org,,?,,org,
Bit Flipping,kaiqerpermanente.org,,?,,org,
Bit Flipping,kairerpermanente.org,,?,,org,
Bit Flipping,kaisarpermanente.org,185.53.178.8,,,org,
Bit Flipping,kaisdrpermanente.org,,?,,org,
Bit Flipping,kaise2permanente.org,,?,,org,
Bit Flipping,kaisebpermanente.org,,?,,org,
Bit Flipping,kaiseppermanente.org,,?,,org,
Bit Flipping,kaiser0ermanente.org,,?,,org,
Bit Flipping,kaiserparmanente.org,,?,,org,
Bit Flipping,kaiserpdrmanente.org,,?,,org,
Bit Flipping,kaiserpe2manente.org,,?,,org,
Bit Flipping,kaiserpebmanente.org,,?,,org,
Bit Flipping,kaiserpepmanente.org,,?,,org,
Bit Flipping,kaiserper-anente.org,,?,,org,
Bit Flipping,kaiserpereanente.org,,?,,org,
Bit Flipping,kaiserperianente.org,,?,,org,
Bit Flipping,kaiserperlanente.org,,?,,org,
Bit Flipping,kaiserperma.ente.org,89.31.143.1,DE,GERMANY,,org,
Bit Flipping,kaiserpermafente.org,,?,,org,
Bit Flipping,kaiserpermajente.org,,?,,org,
Bit Flipping,kaiserpermalente.org,,?,,org,
Bit Flipping,kaiserpermanante.org,,?,,org,
Bit Flipping,kaiserpermandnte.org,,?,,org,
Bit Flipping,kaiserpermane.te.org,72.52.4.119,US,UNITED STATES,localhost,org,
Bit Flipping,kaiserpermanefte.org,,?,,org,
Bit Flipping,kaiserpermanejte.org,,?,,org,
Bit Flipping,kaiserpermanelte.org,,?,,org,
Bit Flipping,kaiserpermanen4e.org,,?,,org,
Bit Flipping,kaiserpermanende.org,,?,,org,
Bit Flipping,kaiserpermanenpe.org,,?,,org,
Bit Flipping,kaiserpermanenta.org,,?,,org,
