Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,ke.com,69.172.201.153,US,UNITED STATES,,com,
Character Omission,key.cm,103.41.116.24,,,cm,
Character Omission,ky.com,165.160.15.20,US,UNITED STATES,,com,
Character Repeat,keey.com,,?,,com,
Character Repeat,keyy.com,185.53.179.8,,mail.h-email.net,com,
Character Repeat,kkey.com,185.53.178.7,,mail.h-email.net,com,
Character Swap,eky.com,45.33.14.247,,mailstore1.secureserver.net,com,
Character Swap,kye.com,47.88.28.14,CA,CANADA,,com,
Character Replacement,jey.com,72.52.4.121,US,UNITED STATES,localhost,com,
Character Replacement,ket.com,210.207.236.35,KR,KOREA REPUBLIC OF,spam.ket.com,com,
Character Replacement,keu.com,75.126.100.24,US,UNITED STATES,,com,
Character Replacement,kry.com,106.185.49.158,JP,JAPAN,,com,
Character Replacement,kwy.com,54.186.208.79,US,UNITED STATES,,com,
Character Replacement,ley.com,184.168.221.51,US,UNITED STATES,,com,
Character Insertion,kery.com,211.100.61.94,CN,CHINA,mx5x02.east.net,com,
Character Insertion,kewy.com,,?,,com,
Character Insertion,keyt.com,54.209.218.125,US,UNITED STATES,keyt.com.mx4.npgco.com,com,
Character Insertion,keyu.com,103.59.164.125,,keyu.com,com,
Character Insertion,kjey.com,185.53.178.8,,mail.h-email.net,com,
Character Insertion,kley.com,50.63.202.18,US,UNITED STATES,mailstore1.secureserver.net,com,
Missing Dot,keycom.com,98.124.199.21,US,UNITED STATES,,com,
Missing Dot,wwwkey.com,68.178.213.61,US,UNITED STATES,,com,
Singular or Pluralise,keys.com,,?,alt2.aspmx.l.google.com,com,
Vowel Swap,kay.com,198.70.201.51,US,UNITED STATES,,com,
Vowel Swap,kiy.com,75.126.101.252,US,UNITED STATES,,com,
Vowel Swap,koy.com,50.6.1.2,US,UNITED STATES,mxdomain.qq.com,com,
Vowel Swap,kuy.com,75.126.101.247,GB,UNITED KINGDOM,,com,
Bit Flipping,cey.com,205.235.26.22,US,UNITED STATES,park01.gkg.net,com,
Bit Flipping,iey.com,72.52.4.121,US,UNITED STATES,localhost,com,
Bit Flipping,kdy.com,209.237.151.17,US,UNITED STATES,,com,
Bit Flipping,ke9.com,203.78.142.12,IN,INDIA,,com,
Bit Flipping,kei.com,50.116.4.32,,aspmx3.googlemail.com,com,
Bit Flipping,keq.com,192.64.147.140,,mail.b-io.co,com,
Bit Flipping,kex.com,203.90.247.102,HK,HONG KONG,mxw.mxhichina.com,com,
Bit Flipping,kgy.com,69.172.201.153,US,UNITED STATES,,com,
Bit Flipping,kmy.com,185.53.178.7,,mail.h-email.net,com,
Bit Flipping,oey.com,69.172.201.153,US,UNITED STATES,,com,
Wrong TLD,key.ca,216.251.43.17,CH,SWITZERLAND,mx2c1.megamailservers.com,ca,
Wrong TLD,key.ch,,?,,ch,
Wrong TLD,key.de,72.52.4.122,US,UNITED STATES,localhost,de,
Wrong TLD,key.edu,,?,,edu,
Wrong TLD,key.es,95.130.52.72,ES,SPAIN,key-es.mail.protection.outlook.com,es,
Wrong TLD,key.fr,178.32.4.52,FR,FRANCE,mx5.dataxy.fr,fr,
Wrong TLD,key.it,185.160.120.54,,kwsrvmail01.keyworld.it,it,
Wrong TLD,key.jp,153.121.38.251,JP,JAPAN,mailhost.kaznd.net,jp,
Wrong TLD,key.net,104.210.40.37,,mailgw1.us.key.net,net,
Wrong TLD,key.nl,82.215.19.209,NL,NETHERLANDS,mail.cloud.tele2.nl,nl,
Wrong TLD,key.no,185.53.179.7,,,no,
Wrong TLD,key.org,216.231.131.113,US,UNITED STATES,postoffice.key.org,org,
Wrong TLD,key.ru,88.201.203.75,RU,RUSSIAN FEDERATION,email.key.ru,ru,
Wrong TLD,key.se,91.220.58.240,SE,SWEDEN,mx02.hostcontrol.com,se,
Wrong TLD,key.us,35.190.36.173,US,UNITED STATES,mxbiz2.qq.com,us,

