Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,kanacademy.org,158.69.145.48,US,UNITED STATES,,org,
Character Omission,khaacademy.org,37.48.65.143,AR,ARGENTINA,,org,
Character Omission,khanaademy.org,103.224.182.210,,mx92.mb5p.com,org,
Character Omission,khanacadem.org,98.124.245.24,DO,DOMINICAN REPUBLIC,mail.b-io.co,org,
Character Omission,khanacadey.org,185.53.178.6,,mail.h-email.net,org,
Character Omission,khanacadmy.org,185.53.178.6,,,org,
Character Omission,khanacaemy.org,185.53.178.6,,,org,
Character Omission,khanacdemy.org,68.178.213.61,IL,ISRAEL,,org,
Character Omission,khancademy.org,185.53.179.7,,,org,
Character Omission,khnacademy.org,158.69.145.48,US,UNITED STATES,,org,
Character Repeat,khaanacademy.org,174.137.132.42,US,UNITED STATES,mx7.khaanacademy.org,org,
Character Repeat,khanaacademy.org,185.53.179.7,,mail.h-email.net,org,
Character Repeat,khanacaademy.org,185.53.178.9,,,org,
Character Repeat,khanacaddemy.org,54.72.11.253,CO,COLOMBIA,mail.h-email.net,org,
Character Repeat,khanacadeemy.org,54.72.11.253,US,UNITED STATES,mail.h-email.net,org,
Character Repeat,khanacademmy.org,54.72.11.253,US,UNITED STATES,mail.h-email.net,org,
Character Repeat,khanacademyy.org,185.53.179.6,,mail.h-email.net,org,
Character Repeat,khanaccademy.org,103.224.212.240,,mx92.m1bp.com,org,
Character Repeat,khannacademy.org,103.224.212.245,,park-mx.above.com,org,
Character Repeat,khhanacademy.org,185.53.178.9,,mail.h-email.net,org,
Character Repeat,kkhanacademy.org,54.72.11.253,US,UNITED STATES,mail.h-email.net,org,
Character Swap,hkanacademy.org,185.53.178.8,,mail.h-email.net,org,
Character Swap,kahnacademy.org,52.216.163.90,GB,UNITED KINGDOM,,org,
Character Swap,khaancademy.org,184.168.221.57,US,UNITED STATES,,org,
Character Swap,khanaacdemy.org,54.72.11.253,US,UNITED STATES,mail.h-email.net,org,
Character Swap,khanacadeym.org,172.107.11.130,,,org,
Character Swap,khanacadmey.org,185.53.178.6,,mail.h-email.net,org,
Character Swap,khanacaedmy.org,,?,,org,
Character Swap,khanacdaemy.org,172.107.8.224,,,org,
Character Swap,khancaademy.org,172.107.11.48,,,org,
Character Swap,khnaacademy.org,,?,,org,
Character Replacement,jhanacademy.org,185.53.178.8,,mail.h-email.net,org,
Character Replacement,kganacademy.org,,?,,org,
Character Replacement,khabacademy.org,54.72.11.253,US,UNITED STATES,mail.h-email.net,org,
Character Replacement,khamacademy.org,185.53.178.7,,mail.h-email.net,org,
Character Replacement,khanacademt.org,185.53.178.6,,mail.h-email.net,org,
Character Replacement,khanacademu.org,185.53.178.7,,mail.h-email.net,org,
Character Replacement,khanacadeny.org,185.53.179.8,,,org,
Character Replacement,khanacadrmy.org,,?,,org,
Character Replacement,khanacadwmy.org,185.53.179.7,,mail.h-email.net,org,
Character Replacement,khanacafemy.org,185.53.178.7,,mail.h-email.net,org,
Character Replacement,khanacasemy.org,,?,,org,
Character Replacement,khanacsdemy.org,54.72.11.253,US,UNITED STATES,mail.h-email.net,org,
Character Replacement,khanavademy.org,185.53.179.7,,mail.h-email.net,org,
Character Replacement,khanaxademy.org,185.53.178.6,,mail.h-email.net,org,
Character Replacement,khanscademy.org,185.53.179.8,,mail.h-email.net,org,
Character Replacement,khsnacademy.org,185.53.178.9,,,org,
Character Replacement,kjanacademy.org,185.53.178.6,,mail.h-email.net,org,
Character Replacement,lhanacademy.org,185.53.178.7,,mail.h-email.net,org,
Character Insertion,khanacademny.org,54.72.11.253,US,UNITED STATES,mail.h-email.net,org,
Character Insertion,khanacademyt.org,,?,,org,
Character Insertion,khanacademyu.org,,?,,org,
Character Insertion,khanacadermy.org,185.53.179.8,,mail.h-email.net,org,
Character Insertion,khanacadewmy.org,,?,,org,
Character Insertion,khanacadfemy.org,,?,,org,
Character Insertion,khanacadsemy.org,,?,,org,
Character Insertion,khanacasdemy.org,185.53.179.8,,mail.h-email.net,org,
Character Insertion,khanacvademy.org,,?,,org,
Character Insertion,khanacxademy.org,,?,,org,
Character Insertion,khanascademy.org,185.53.178.7,,mail.h-email.net,org,
Character Insertion,khanbacademy.org,,?,,org,
Character Insertion,khanmacademy.org,,?,,org,
Character Insertion,khasnacademy.org,,?,,org,
Character Insertion,khganacademy.org,,?,,org,
Character Insertion,khjanacademy.org,185.53.178.8,,mail.h-email.net,org,
Character Insertion,kjhanacademy.org,,?,,org,
Character Insertion,klhanacademy.org,185.53.178.7,,mail.h-email.net,org,
Missing Dot,khanacademyorg.com,,?,,com,
Missing Dot,wwwkhanacademy.org,158.69.145.48,US,UNITED STATES,,org,
Singular or Pluralise,khanacademies.org,199.59.242.150,CN,CHINA,mx76.m2bp.com,org,
Vowel Swap,khanacadamy.org,185.53.178.9,,mail.h-email.net,org,
Vowel Swap,khanacadimy.org,103.224.212.239,,mx92.mb5p.com,org,
Vowel Swap,khanacadomy.org,72.52.4.122,US,UNITED STATES,localhost,org,
Vowel Swap,khanacadumy.org,72.52.4.122,US,UNITED STATES,localhost,org,
Vowel Swap,khenecedemy.org,,?,,org,
Vowel Swap,khinicidemy.org,,?,,org,
Vowel Swap,khonocodemy.org,,?,,org,
Vowel Swap,khunucudemy.org,,?,,org,
Bit Flipping,chanacademy.org,185.53.178.8,,,org,
Bit Flipping,ihanacademy.org,,?,,org,
Bit Flipping,kha.academy.org,,?,,org,
Bit Flipping,khafacademy.org,,?,,org,
Bit Flipping,khajacademy.org,,?,,org,
Bit Flipping,khalacademy.org,,?,,org,
Bit Flipping,khanaaademy.org,,?,,org,
Bit Flipping,khanabademy.org,,?,,org,
Bit Flipping,khanacaddmy.org,185.53.179.7,,mail.h-email.net,org,
Bit Flipping,khanacade-y.org,,?,,org,
Bit Flipping,khanacadeey.org,,?,,org,
Bit Flipping,khanacadeiy.org,,?,,org,
Bit Flipping,khanacadely.org,,?,,org,
Bit Flipping,khanacadem9.org,,?,,org,
Bit Flipping,khanacademi.org,158.69.145.48,US,UNITED STATES,,org,
Bit Flipping,khanacademq.org,,?,,org,
Bit Flipping,khanacademx.org,,?,,org,
Bit Flipping,khanacadeoy.org,,?,,org,
Bit Flipping,khanacadgmy.org,,?,,org,
Bit Flipping,khanacadmmy.org,,?,,org,
Bit Flipping,khanacaeemy.org,,?,,org,
Bit Flipping,khanacalemy.org,,?,,org,
Bit Flipping,khanacatemy.org,,?,,org,
Bit Flipping,khanaccdemy.org,,?,,org,
Bit Flipping,khanacedemy.org,103.224.182.210,,park-mx.above.com,org,
Bit Flipping,khanacidemy.org,,?,,org,
Bit Flipping,khanacqdemy.org,,?,,org,
Bit Flipping,khanagademy.org,,?,,org,
Bit Flipping,khanakademy.org,54.72.11.253,US,UNITED STATES,mail.h-email.net,org,
Bit Flipping,khanasademy.org,,?,,org,
Bit Flipping,khanccademy.org,,?,,org,
Bit Flipping,khanecademy.org,185.53.179.8,,,org,
Bit Flipping,khanicademy.org,,?,,org,
Bit Flipping,khanqcademy.org,185.53.178.8,,mail.h-email.net,org,
Bit Flipping,khaoacademy.org,,?,,org,
Bit Flipping,khcnacademy.org,,?,,org,
Bit Flipping,khenacademy.org,185.53.178.6,,,org,
Bit Flipping,khinacademy.org,,?,,org,
Bit Flipping,khqnacademy.org,,?,,org,
Bit Flipping,kianacademy.org,,?,,org,
Bit Flipping,klanacademy.org,185.53.179.7,,mail.h-email.net,org,
Bit Flipping,kxanacademy.org,,?,,org,
Bit Flipping,ohanacademy.org,,?,,org,
Homoglyphs,khanacaclemy.org,,?,,org,
Homoglyphs,khanacaderny.org,,?,,org,
Wrong TLD,khanacademy.ca,66.96.149.1,US,UNITED STATES,mx.khanacademy.ca,ca,
Wrong TLD,khanacademy.ch,,?,,ch,
Wrong TLD,khanacademy.com,23.23.224.106,US,UNITED STATES,aspmx2.googlemail.com,com,
Wrong TLD,khanacademy.de,185.53.179.8,,mail.h-email.net,de,
Wrong TLD,khanacademy.edu,,?,,edu,
Wrong TLD,khanacademy.es,52.216.160.234,US,UNITED STATES,,es,
Wrong TLD,khanacademy.fr,208.113.213.253,US,UNITED STATES,mx2.sub4.homie.mail.dreamhost.com,fr,
Wrong TLD,khanacademy.it,,?,,it,
Wrong TLD,khanacademy.jp,,?,,jp,
Wrong TLD,khanacademy.net,222.231.33.38,KR,KOREA REPUBLIC OF,,net,
Wrong TLD,khanacademy.nl,46.21.227.210,NL,NETHERLANDS,aspmx2.googlemail.com,nl,
Wrong TLD,khanacademy.no,194.63.248.52,NO,NORWAY,,no,
