Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,kdshealth.org,208.91.196.152,VG,VIRGIN ISLANDS (BRITISH),,org,
Character Omission,kidhealth.org,,?,,org,
Character Omission,kidsealth.org,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,org,
Character Omission,kidshalth.org,208.91.196.152,VG,VIRGIN ISLANDS (BRITISH),,org,
Character Omission,kidshealh.org,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,org,
Character Omission,kidshealt.org,208.91.196.105,KR,KOREA REPUBLIC OF,,org,
Character Omission,kidsheath.org,185.53.179.8,,mail.h-email.net,org,
Character Omission,kidshelth.org,192.64.147.208,,,org,
Character Omission,kishealth.org,216.157.88.26,US,UNITED STATES,,org,
Character Repeat,kiddshealth.org,172.107.8.127,,,org,
Character Repeat,kidsheaalth.org,172.107.8.129,,,org,
Character Repeat,kidsheallth.org,172.107.8.100,,,org,
Character Repeat,kidshealthh.org,172.107.8.252,,,org,
Character Repeat,kidshealtth.org,172.107.8.91,,,org,
Character Repeat,kidsheealth.org,185.53.178.6,,mail.h-email.net,org,
Character Repeat,kidshhealth.org,185.53.178.7,,mail.h-email.net,org,
Character Repeat,kidsshealth.org,72.52.4.122,US,UNITED STATES,localhost,org,
Character Repeat,kiidshealth.org,185.53.178.9,,mail.h-email.net,org,
Character Repeat,kkidshealth.org,,?,,org,
Character Swap,ikdshealth.org,,?,,org,
Character Swap,kdishealth.org,,?,,org,
Character Swap,kidhsealth.org,,?,,org,
Character Swap,kidsehalth.org,,?,,org,
Character Swap,kidshaelth.org,103.224.212.222,,park-mx.above.com,org,
Character Swap,kidshealht.org,172.107.8.136,,,org,
Character Swap,kidsheatlh.org,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,org,
Character Swap,kidshelath.org,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,org,
Character Swap,kisdhealth.org,208.91.196.105,VG,VIRGIN ISLANDS (BRITISH),,org,
Character Replacement,jidshealth.org,,?,,org,
Character Replacement,kidahealth.org,208.91.196.105,US,UNITED STATES,,org,
Character Replacement,kiddhealth.org,,?,,org,
Character Replacement,kidsgealth.org,,?,,org,
Character Replacement,kidsheakth.org,162.210.196.168,,,org,
Character Replacement,kidshealrh.org,185.53.179.6,,mail.h-email.net,org,
Character Replacement,kidshealtg.org,185.53.178.7,,mail.h-email.net,org,
Character Replacement,kidshealtj.org,172.107.11.35,,,org,
Character Replacement,kidshealyh.org,192.184.12.62,,mx92.m1bp.com,org,
Character Replacement,kidsheslth.org,208.91.196.152,VG,VIRGIN ISLANDS (BRITISH),,org,
Character Replacement,kidshralth.org,185.53.179.8,,mail.h-email.net,org,
Character Replacement,kidshwalth.org,172.107.11.165,,,org,
Character Replacement,kidsjealth.org,185.53.178.6,,mail.h-email.net,org,
Character Replacement,kifshealth.org,,?,,org,
Character Replacement,kisshealth.org,,?,,org,
Character Replacement,kodshealth.org,209.99.64.43,US,UNITED STATES,,org,
Character Replacement,kudshealth.org,172.107.8.146,,,org,
Character Replacement,lidshealth.org,,?,,org,
Character Insertion,kidfshealth.org,,?,,org,
Character Insertion,kidsahealth.org,185.53.178.8,,mail.h-email.net,org,
Character Insertion,kidsdhealth.org,,?,,org,
Character Insertion,kidshealkth.org,,?,,org,
Character Insertion,kidshealthg.org,,?,,org,
Character Insertion,kidshealthj.org,,?,,org,
Character Insertion,kidshealtrh.org,,?,,org,
Character Insertion,kidshealtyh.org,,?,,org,
Character Insertion,kidsheaslth.org,,?,,org,
Character Insertion,kidsheralth.org,185.53.179.6,,mail.h-email.net,org,
Character Insertion,kidshewalth.org,,?,,org,
Character Insertion,kidshgealth.org,,?,,org,
Character Insertion,kidshjealth.org,,?,,org,
Character Insertion,kiodshealth.org,185.53.178.8,,mail.h-email.net,org,
Character Insertion,kiudshealth.org,,?,,org,
Character Insertion,kjidshealth.org,,?,,org,
Character Insertion,klidshealth.org,,?,,org,
Missing Dot,kidshealthorg.com,,?,,com,
Missing Dot,wwwkidshealth.org,70.32.1.32,US,UNITED STATES,mx92.mb5p.com,org,
